"","X","...1","season","season_week","week_start_date","total_cases","air_temperature","relative_humidity","specific_humidity","precipitation_amount","DTR","total_cases1","total_cases2","total_cases3","total_cases4","total_cases5","air_temperature1","air_temperature2","air_temperature3","air_temperature4","air_temperature5","relative_humidity1","relative_humidity2","relative_humidity3","relative_humidity4","relative_humidity5","specific_humidity1","specific_humidity2","specific_humidity3","specific_humidity4","specific_humidity5","precipitation_amount1","precipitation_amount2","precipitation_amount3","precipitation_amount4","precipitation_amount5","DTR1","DTR2","DTR3","DTR4","DTR5","precipitation_amount6","precipitation_amount7","precipitation_amount8","precipitation_amount9","precipitation_amount10","precipitation_amount11","precipitation_amount12","total_cases6","total_cases7","total_cases8","total_cases9","total_cases10","total_cases11","total_cases12","total_cases13","total_cases14","total_cases15","total_cases16","total_cases17","total_cases18","total_cases19","total_cases20","relative_humidity6","relative_humidity7","relative_humidity8","relative_humidity9","relative_humidity10","relative_humidity11","relative_humidity12","relative_humidity13","relative_humidity14","relative_humidity15","relative_humidity16","relative_humidity17","relative_humidity18","relative_humidity19","relative_humidity20","air_temperature6","air_temperature7","air_temperature8","air_temperature9","air_temperature10","air_temperature11","air_temperature12","air_temperature13","air_temperature14","air_temperature15","air_temperature16","air_temperature17","air_temperature18","air_temperature19","air_temperature20","DTR6","DTR7","DTR8","DTR9","DTR10","DTR11","DTR12","DTR13","DTR14","DTR15","DTR16","DTR17","DTR18","DTR19","DTR20","precipitation_amount13","precipitation_amount14","precipitation_amount15","precipitation_amount16","precipitation_amount17","precipitation_amount18","precipitation_amount19","precipitation_amount20"
"1",1,1,"2000/2001",1,"7/1/2000",0,23.4514285714286,95.2242857142857,17.1828571428571,52,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,"2000/2001",2,"7/8/2000",0,22.7057142857143,93.7,16.14,55.27,6.97142857142857,0,NA,NA,NA,NA,23.4514285714286,NA,NA,NA,NA,95.2242857142857,NA,NA,NA,NA,17.1828571428571,NA,NA,NA,NA,52,NA,NA,NA,NA,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,3,"2000/2001",3,"7/15/2000",0,22.9485714285715,84.0314285714286,14.4514285714286,10.66,11.2857142857143,0,0,NA,NA,NA,22.7057142857143,23.4514285714286,NA,NA,NA,93.7,95.2242857142857,NA,NA,NA,16.14,17.1828571428571,NA,NA,NA,55.27,52,NA,NA,NA,6.97142857142857,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,"2000/2001",4,"7/22/2000",0,22.9571428571429,84.1742857142857,14.2657142857143,23.2,11.9285714285714,0,0,0,NA,NA,22.9485714285715,22.7057142857143,23.4514285714286,NA,NA,84.0314285714286,93.7,95.2242857142857,NA,NA,14.4514285714286,16.14,17.1828571428571,NA,NA,10.66,55.27,52,NA,NA,11.2857142857143,6.97142857142857,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,"2000/2001",5,"7/29/2000",0,25.1128571428572,76.14,14.75,25.4,12.4428571428571,0,0,0,0,NA,22.9571428571429,22.9485714285715,22.7057142857143,23.4514285714286,NA,84.1742857142857,84.0314285714286,93.7,95.2242857142857,NA,14.2657142857143,14.4514285714286,16.14,17.1828571428571,NA,23.2,10.66,55.27,52,NA,11.9285714285714,11.2857142857143,6.97142857142857,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,"2000/2001",6,"8/5/2000",0,23.8185714285714,85.7014285714286,15.5314285714286,15.68,12.0714285714286,0,0,0,0,0,25.1128571428572,22.9571428571429,22.9485714285715,22.7057142857143,23.4514285714286,76.14,84.1742857142857,84.0314285714286,93.7,95.2242857142857,14.75,14.2657142857143,14.4514285714286,16.14,17.1828571428571,25.4,23.2,10.66,55.27,52,12.4428571428571,11.9285714285714,11.2857142857143,6.97142857142857,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.2242857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4514285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,"2000/2001",7,"8/12/2000",0,24.7385714285715,76.1314285714286,14.4628571428571,4.03,13.0857142857143,0,0,0,0,0,23.8185714285714,25.1128571428572,22.9571428571429,22.9485714285715,22.7057142857143,85.7014285714286,76.14,84.1742857142857,84.0314285714286,93.7,15.5314285714286,14.75,14.2657142857143,14.4514285714286,16.14,15.68,25.4,23.2,10.66,55.27,12.0714285714286,12.4428571428571,11.9285714285714,11.2857142857143,6.97142857142857,52,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7057142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.97142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,"2000/2001",8,"8/19/2000",0,25.1828571428572,78.1828571428571,15.1528571428571,19.13,13.4428571428572,0,0,0,0,0,24.7385714285715,23.8185714285714,25.1128571428572,22.9571428571429,22.9485714285715,76.1314285714286,85.7014285714286,76.14,84.1742857142857,84.0314285714286,14.4628571428571,15.5314285714286,14.75,14.2657142857143,14.4514285714286,4.03,15.68,25.4,23.2,10.66,13.0857142857143,12.0714285714286,12.4428571428571,11.9285714285714,11.2857142857143,55.27,52,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.0314285714286,95.2242857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9485714285715,23.4514285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2857142857143,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,"2000/2001",9,"8/26/2000",0,28.0585714285715,58.9814285714286,13.1714285714286,1.6,15.8142857142857,0,0,0,0,0,25.1828571428572,24.7385714285715,23.8185714285714,25.1128571428572,22.9571428571429,78.1828571428571,76.1314285714286,85.7014285714286,76.14,84.1742857142857,15.1528571428571,14.4628571428571,15.5314285714286,14.75,14.2657142857143,19.13,4.03,15.68,25.4,23.2,13.4428571428572,13.0857142857143,12.0714285714286,12.4428571428571,11.9285714285714,10.66,55.27,52,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.1742857142857,93.7,95.2242857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9571428571429,22.7057142857143,23.4514285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9285714285714,6.97142857142857,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,"2000/2001",10,"9/2/2000",0,26.6414285714286,68.6585714285714,14.4228571428571,4.9,13.3285714285714,0,0,0,0,0,28.0585714285715,25.1828571428572,24.7385714285715,23.8185714285714,25.1128571428572,58.9814285714286,78.1828571428571,76.1314285714286,85.7014285714286,76.14,13.1714285714286,15.1528571428571,14.4628571428571,15.5314285714286,14.75,1.6,19.13,4.03,15.68,25.4,15.8142857142857,13.4428571428572,13.0857142857143,12.0714285714286,12.4428571428571,23.2,10.66,55.27,52,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.14,84.0314285714286,93.7,95.2242857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1128571428572,22.9485714285715,22.7057142857143,23.4514285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4428571428571,11.2857142857143,6.97142857142857,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
