"","h1","h2","h3","h4","h5","h6","h7","h8"
"t_cond=364",1.88920807435633,2.59764039952615,1.33149318857767,4.75406163622886,3.30416962903297,2.37564518311774,1.96678846860526,4.0867216374816
"t_cond=365",2.2803869820222,1.3860571666008,4.46330155875786,3.03263239744032,2.21572760298382,1.88762141011441,3.79106645195569,1.55566969459879
"t_cond=366",1.69596592382664,3.9085590072861,2.64735799005834,2.03994395230397,1.82074870858439,3.45440709107945,1.62001724748726,3.11672146200707
"t_cond=367",5.14782754751437,3.05170590599903,2.08831669232645,1.77643754373661,3.97863960276642,1.49098492376673,3.41822147674748,3.70063331625711
"t_cond=368",2.17648199551431,2.02138756981765,2.01848997372982,2.82255347261739,2.13342988622893,2.74032405916339,2.93441608657428,2.67732631878054
"t_cond=369",2.02232082705899,2.09793350724488,2.76795526561057,2.25630180558068,2.66639715978536,2.90956304473606,2.58658907389739,2.26865473946839
"t_cond=370",1.90852402547651,2.82625479797102,2.06479107647825,2.69714067161089,2.95605188096859,2.57489566392717,2.16815504314381,2.84449501766619
"t_cond=371",3.1900998868615,1.78765461572367,2.83923361071968,3.14063685574081,2.63258634467252,1.98897456704144,2.88449297962857,3.80816969461693
"t_cond=372",2.54549101164437,2.43196629515045,2.67972645309194,2.4287931855032,2.31565594257251,2.69402838472985,3.41771152288096,2.81508122907544
"t_cond=373",2.70450507441782,3.10771732550934,2.45892987171259,1.89773987596385,2.81060796919195,3.83512433607501,2.8297305251725,2.34537581828092
"t_cond=374",2.59324670368647,2.26790789860453,2.19371451341717,2.57677834361286,3.45010154256952,2.70751731730814,2.48297467363732,3.41380707708734
"t_cond=375",2.25206100194235,2.57461357914664,2.5191593133232,3.19081466512924,2.69779129360511,2.72186327947504,3.30709699915212,3.32557071924952
"t_cond=376",2.49358884184429,2.42454333895906,3.18418568214023,2.60945850648607,2.59970911686144,3.28038308955453,3.28284581316804,2.8422282680698
"t_cond=377",2.39381203581489,3.62946883254776,2.51869499950229,2.22603604207255,3.44081150582467,3.44420758750281,2.63754051664657,2.59204870189376
"t_cond=378",3.37127509631365,2.41937670981412,2.36901946280165,3.26473604378833,3.29592851370196,2.68508280902107,2.68293667148889,3.1805428600652
"t_cond=379",2.56075822832012,2.97790860463814,3.01523100495788,3.07043967826627,2.99588124875677,3.08646962001864,3.23297727309699,4.15259466576732
"t_cond=380",2.74329803529136,2.97633887119033,3.02869151368267,2.79181558084114,2.86241544911555,3.0781309322575,4.2106820088786,4.58428219734659
"t_cond=381",3.22903407322113,3.19796532013678,2.45515357343882,2.47365990084241,3.01165628921455,4.70003306493181,5.15011094436522,4.91716169208361
"t_cond=382",2.83782236877165,2.72095098153495,2.84358938939713,2.92389132016737,4.21023225962021,4.62338750578976,4.42498507834097,3.04298210441806
"t_cond=383",2.89479937087314,3.07367614895103,2.92172185000715,4.0775538896513,4.54011851620918,4.34297101565269,3.10220830380003,4.66882208868426
"t_cond=384",2.627320039533,2.74379632201091,4.60873790857298,5.11440542326691,4.76470303661541,2.83734716240884,5.07136908120919,7.23354269272372
"t_cond=385",2.72496374306538,5.50670035540594,6.12679912361357,5.5962046510034,2.7424950550505,5.59659124359227,8.04435717159634,5.19785721818993
"t_cond=386",5.40235035273068,5.96836434063462,5.29347575595396,2.69102918857406,5.44630127445055,8.22590318354803,5.05186757302548,6.15717467563306
"t_cond=387",4.19131394015077,4.00781601602275,3.22720504875159,4.28356633555703,6.26043200795664,4.17637207547789,4.99991000489581,4.85913952871883
"t_cond=388",3.62201317581558,3.92479059768346,3.91840745062498,5.5456862654396,3.92386273952613,4.57731372246695,4.50559808571267,4.69164666028602
"t_cond=389",4.23968944816426,3.80676379440642,5.42132543358955,3.83056924638142,4.48601049379202,4.38779194114365,4.54908276437166,3.77413414459441
"t_cond=390",4.13389972839757,7.04504011684941,4.02262011274914,5.09221960364692,4.93917326741482,5.10870994561098,3.89169797037001,4.6418060531282
"t_cond=391",6.16715536095389,3.72363774397008,4.55037719355598,4.49292623708834,4.63590963994644,3.72234505227946,4.28401554511806,4.15174573143459
"t_cond=392",3.91108101515559,4.06269671327422,4.06648197309331,4.16903255825588,3.91673976281635,4.07438805845819,4.00623419210723,3.97159528759072
"t_cond=393",3.99504380179548,3.98610382779601,4.12269349001198,3.74673912160265,4.00914089440717,3.90087408039741,3.88369885295794,3.58211936588861
"t_cond=394",3.89831465837724,4.02738690369404,3.78931521408262,3.93690402164701,3.87583729615153,3.84360611376829,3.73562259098845,4.22180652802966
"t_cond=395",3.94664326156473,3.78020568392299,3.87643625628779,3.81931376114913,3.79623102775924,3.79195475551425,4.36891635852937,3.77202427465551
"t_cond=396",3.84888580468833,3.81995202609288,3.77902499058405,3.7620382208085,3.84094629205782,4.65798781383258,3.85664226407604,3.75189057922105
"t_cond=397",3.71426285100956,3.6416292358337,3.64401664038429,3.56852692700707,4.17102246151688,3.49613767123362,3.39601362376584,3.50494175285102
"t_cond=398",3.58448144634935,3.57830610394722,3.64895728752061,4.43858872653687,3.66291004532641,3.52449456389427,3.76915613896221,4.29593981519241
"t_cond=399",3.50437386500594,3.70236824406711,4.64821852540846,3.69230941691814,3.47949871607068,3.79518637184792,4.38163007537856,3.50138576227428
"t_cond=400",3.70753177503476,4.75773623406124,3.73929811858185,3.55115344479966,3.89471989311034,4.46258768373868,3.51037498665744,3.98515058111952
"t_cond=401",4.08722952627543,3.18380607276412,3.06022173964226,3.27203432278129,3.67455574702498,3.0061761088832,3.30023633435111,3.07928659800457
"t_cond=402",2.6152944076391,2.53842720073116,2.53818175920266,2.7502253915655,2.36483603514989,2.52394266800659,2.35191369383992,2.57861178360284
"t_cond=403",2.3759195203993,2.31059325170891,2.49805174812236,2.18268850213883,2.2112892549308,2.15148009660914,2.25896960320805,2.10343750972433
"t_cond=404",2.23600796778914,2.43413817502196,2.07398353186364,2.17901926821034,2.109965245091,2.31602437510534,2.01398581236419,1.87624368300021
"t_cond=405",2.14826169347847,1.9159843246731,1.91944888200446,1.82722243967278,1.96338697242697,1.87002015342498,1.70746792241895,1.67983478585415
"t_cond=406",1.81344770707967,1.52088764200903,1.45257515835206,1.41024404658619,1.78322832706216,1.48122010655628,1.49757946783013,1.11777226680329
"t_cond=407",1.60141137150461,1.51835778678102,1.61403893839206,1.73012872303132,1.48827947431467,1.51088945663822,1.23373883600343,1.15214711917211
"t_cond=408",1.29970034064364,1.34377762684537,1.73200162163982,1.33414541671572,1.40077240710275,0.95808588477397,0.934689645663586,1.50650868764707
"t_cond=409",1.1823359955386,1.74496928055279,1.26198141370427,1.31587202863089,0.838782802203386,0.842712843875735,1.46877568774459,0.725671345860672
"t_cond=410",2.0736150239193,1.24466711368847,1.35345739948829,0.542714830870254,0.5090639123532,1.54309891681572,0.489057395928337,3.07673184871221
"t_cond=411",1.15299808910927,1.1992810813352,0.961528958178949,0.879665986893672,1.33710645116727,0.780365491377367,2.67791343472311,2.69546488881736
"t_cond=412",1.12984450962845,0.933478738150186,0.885658839036652,1.31040087349818,0.761762997491586,2.64766399607817,2.75184178794519,1.49285898097136
"t_cond=413",0.960530806106692,0.889471961447417,1.24379490274193,0.785299571546331,2.68957040365609,2.72703434514231,1.45999780311791,3.88777796085683
"t_cond=414",0.591323869229597,1.26943742820002,0.523984054463469,3.19686940720349,3.28460170414025,1.52239731352355,4.39757287266747,2.39947136481347
"t_cond=415",1.3918530457546,0.336459439809105,4.09561638794818,3.82901309092087,1.6577826510536,4.94787660848087,2.68225273492547,4.69895248998431
"t_cond=416",0.604701555884743,3.3595778778899,3.30630220378719,1.39618303646884,4.51363305171656,2.35912511689645,4.07763650529059,4.12536991150848
"t_cond=417",4.59055727471138,4.11770929707055,1.52179576653932,5.50461281245655,2.59070875992607,4.8794416443914,4.65362984339937,4.35573607335176
"t_cond=418",2.14483639138404,1.247971510329,3.38682537848569,1.78016943845272,3.23132514009168,3.22112453704197,3.12523115962794,4.46113356045337
"t_cond=419",1.43328565790201,2.88301446817619,1.65890439795208,2.85715016589836,2.8503914034633,2.88491140722066,4.10999362029666,5.739880176238
"t_cond=420",3.28245554791762,1.61644085685014,3.11921781711053,3.10738882542433,3.13580497349373,4.41326344652805,6.40715548438078,6.49950778221437
"t_cond=421",1.70940299325532,2.41790705620101,2.47444446016136,2.54322600537488,3.64156157997372,5.25874470789557,5.5167436082484,6.12771155470687
"t_cond=422",2.49311330374117,2.55198064460113,2.58033554637703,3.92101597291599,5.82587940793096,6.01527656144576,6.70845530320864,8.31830164534169
"t_cond=423",2.22988126768491,2.31434883715849,3.41837305171894,5.3073484694387,5.38796557563592,6.14408418893966,8.05597720436689,6.49045824489313
"t_cond=424",2.18030105782357,3.19846220717915,5.11792599447265,5.25866917278383,5.84805309805777,8.12304281947841,6.37633191851502,8.25966877536328
"t_cond=425",3.07059679187046,5.24406931014402,5.26847360353247,6.06999925575663,8.05773732581294,6.37791406220936,8.41482918750053,6.63511159090798
"t_cond=426",4.41838553770763,4.55040498609526,5.25979690121473,7.33479953811847,5.6914951952601,7.71732200304738,6.06815418991564,6.22249438213495
"t_cond=427",3.51517432164081,4.1115822446389,5.87564899642218,4.69730048940181,6.29214501200308,5.04802411814716,5.24641565259608,4.54081633389807
"t_cond=428",3.74893592260144,5.37525577227745,4.38016049563139,5.89063908111914,4.75973518536416,4.99923149683994,4.38577705620339,3.89709837220004
"t_cond=429",4.89546821803206,4.0692355040135,5.46582072517329,4.51934093505488,4.72155005392372,4.28567557289093,4.05723072614229,4.12326062753292
"t_cond=430",3.90231045993132,4.76515313764076,4.30538384267357,4.51493880464622,4.36573035358535,4.67401609031134,4.82345640778413,4.83836212956399
"t_cond=431",4.75859697098825,4.19995218101327,4.4228183150519,4.28607315991083,4.73565280578261,4.72942012417636,4.95098798503159,5.19721463266262
"t_cond=432",4.27337572383855,4.42774678029704,4.6154934925751,5.51071870051653,5.42856199723935,5.61370016449955,6.07008567630579,5.37014698888777
"t_cond=433",4.27046062684597,4.41591220490223,5.25640257543226,5.23539250269629,5.60952823791908,5.97620375072598,5.18789574060118,6.72039318714382
"t_cond=434",4.36126265152847,5.28925554023581,5.31148984052584,5.57206272423212,5.92160257385552,5.2835979697747,6.9457084539396,9.23812895797906
"t_cond=435",4.87729331304044,4.85517765681397,5.09502879193184,5.48782301058606,4.82626129496836,6.24154801939773,8.67405502709799,7.78103881249841
"t_cond=436",4.0417826523979,4.19947990914387,4.51075757107466,4.05546361331432,5.04513604687163,7.29437514331114,6.21898383142135,4.09649669980991
"t_cond=437",3.63099986557912,3.88499086519564,3.58547427652065,4.47670215423337,6.59179207851697,5.38199090822905,3.65523214926051,3.61086206828918
"t_cond=438",3.41215121329619,3.27610112461913,3.88781190077596,5.81826167352984,4.60776365673074,3.36116814416718,3.3624710345985,4.41431877008803
"t_cond=439",3.09939976090232,3.28437239643518,5.24269401593737,3.97691843347457,3.1115945452905,3.2220273217581,4.69837345005647,5.13441803984532
"t_cond=440",3.56177691885667,5.72659703750221,4.49899800987514,3.06828419465307,3.15024144700674,4.61502716533996,5.1802468514861,4.8138925013689
"t_cond=441",4.76555539129751,3.51505303526858,2.94079503308232,3.14894434455441,5.39853097651617,6.03571473212235,5.56589607735437,4.51361094868435
"t_cond=442",2.30265148000636,3.60511632240408,3.88533515381109,7.72458617754475,8.23794576406201,7.30570268879832,5.55492930997298,5.79888735992582
"t_cond=443",5.28891972509393,5.34853396680812,10.2620287214204,10.8725560730429,9.02533979416067,6.91158949308807,7.12992413137232,4.87741314702836
"t_cond=444",3.26703091785557,7.64854616724265,8.13602217302208,6.86644452424532,5.08037732822619,5.35744702393739,3.78264293030232,3.30706003727353
"t_cond=445",6.95470594743411,7.47935701279386,6.1188110732468,4.50284152916735,4.73168200011286,3.55931980159848,3.13711250737531,3.48759143233824
"t_cond=446",4.57897414761106,4.19342784368007,3.58809645159951,3.73334769124985,3.26289529165414,3.15298532699638,3.28142038400762,3.1856118471598
"t_cond=447",3.77654554264921,3.56640419676708,3.64528497494055,3.53129521441488,3.48584118435579,3.43440545108277,3.33833110167988,3.27804349525018
"t_cond=448",3.58792185304157,3.61232606209714,3.63614673757098,3.61860087396613,3.44998301223583,3.3949888760124,3.47003890381205,3.39763663429807
"t_cond=449",3.4633282113262,3.43827755644057,3.46013245753333,3.3356898449968,3.26120870386566,3.21416473308371,3.29406701443036,3.08402279568327
"t_cond=450",3.39211145926171,3.39160525259901,3.23193742129015,3.1790637328639,3.22196621994059,3.22458644073492,3.02205638328957,2.92963274165176
"t_cond=451",3.08946598911494,3.0160122606202,2.97903367249726,2.90755703936973,3.17273782624829,2.71201815958971,2.72824774039803,2.71691533128117
"t_cond=452",2.85048762772978,2.77841827829703,2.62566569952661,3.17055691034547,2.46446029297428,2.58579331801682,2.58413263123943,2.45890143623796
"t_cond=453",2.70229807353268,2.60704982463188,3.09817642162082,2.46075411826052,2.52338065651369,2.54445705830167,2.41350992630056,2.43256545087929
"t_cond=454",2.55673731254437,3.05327644980853,2.46756043753916,2.43136864687441,2.48602890824948,2.36929632008013,2.39918230640872,2.03558597344246
"t_cond=455",3.22948988020847,2.19922328138076,2.34919671753697,2.42252877887176,2.28746212808125,2.36230771379198,1.78127806187231,1.72019798119721
"t_cond=456",2.62565840738724,2.38171372791965,2.39524060437672,2.32812951153758,2.3363929130315,2.1675251193435,2.21546297896775,2.08701134764039
"t_cond=457",2.19131689375426,2.27790227868,2.17103753196142,2.23657008378757,1.81927920979372,1.79879755237998,1.90537007782439,2.24461547862626
"t_cond=458",2.18677983515844,2.10414278250346,2.16468942008678,1.8327777291257,1.90607759959118,1.89178722928313,2.18940208385815,2.24139443385188
"t_cond=459",2.03198560714875,2.09577677340683,1.90081253126781,2.13989704833455,1.84231180844919,2.14273784881451,2.21704845777405,2.8574727682338
