"","h1","h2","h3","h4"
"t=208",1.38353691243727,1.60415896493632,2.12441106251419,2.03138926545932
"t=209",1.58155103618572,2.15664414403683,2.00025496609672,2.10035998181557
"t=210",2.1913698816213,2.04876367846156,2.15442169511018,2.14839324543931
"t=211",2.11773372468891,2.11330144237189,2.18372117737018,2.19032008084727
"t=212",1.96230103597058,2.20750405888995,2.23426490494663,2.11243277268477
"t=213",2.30497755456806,2.20643036857221,2.10070127374533,2.06204009100755
"t=214",2.14585893196074,2.06258169422371,2.05742124673284,1.99048172492092
"t=215",1.89011642523888,2.11100702095085,1.97886291013382,2.06774343274966
"t=216",2.09345776353954,1.91338656228459,2.0538368595748,1.77815805211542
"t=217",1.76256206326281,2.06597858283459,1.68781247724125,1.64684820302607
"t=218",1.91894024218538,1.69155711665132,1.58533447236766,1.59599888272436
"t=219",1.61960688895961,1.49200422602609,1.57475479299422,1.83811291154989
"t=220",1.51155018804066,1.61571994646385,1.83067416603345,1.38966134485406
"t=221",1.54557727213961,1.76447304950011,1.36041904322503,1.47501211263701
"t=222",1.99019093765905,1.40269953996262,1.57487066133333,1.27885627792506
"t=223",1.25208210773765,1.2666042814858,1.11899771541335,1.39165997826303
"t=224",1.26407352677514,1.10584458122827,1.30695936618845,1.00518918010681
"t=225",1.05817530460531,1.30662202888295,1.06773563356494,0.989780218196655
"t=226",1.31932400348764,1.06799856383061,1.00672192969116,0.895216924782083
"t=227",1.08729068690724,1.04190523918707,0.955725739195147,0.768019094660959
"t=228",0.86499323800577,0.732651069041342,0.657831254501376,1.26902667944789
"t=229",0.553776886781543,0.583280228823671,1.28412713453472,1.03567632356045
"t=230",0.558508414958132,1.61009176280023,1.13153141946345,1.23636640019394
"t=231",1.63128092055334,1.2060316415212,1.15056788615757,0.537877609339077
"t=232",0.906772633649507,1.06470494987931,0.549744277268066,0.781468165925501
"t=233",1.13999250837601,0.520698664710478,0.781698809149588,0.933950061047304
"t=234",0.683121090069942,0.792621848191457,0.89746718068459,1.54048123525875
"t=235",0.846757796347323,1.12204424863844,1.69226702053956,0.665832987299526
"t=236",0.903574487782142,1.70344338995901,0.670425706305126,0.805724260049082
"t=237",1.7835476087837,0.725243669779244,0.82274763949673,0.723399880299955
"t=238",0.700143759765618,0.812442729509759,0.718332672407248,0.978399029475486
"t=239",0.824389739355323,0.727235339748206,0.952724277661813,0.706956071011337
"t=240",0.692000107710946,0.993082134274374,0.699286618423714,1.00897026555899
"t=241",1.09304215453321,0.706429100890511,1.00702258901859,1.10443256759507
"t=242",0.642203502977999,1.04529672648371,1.132514471693,1.02734720245759
"t=243",1.04152588814015,1.12867537090244,1.04014967558378,1.27456617633144
"t=244",1.03433669319943,0.995927354579332,1.26312776134263,1.18663852158817
"t=245",0.982944315462852,1.27567358861427,1.23202607231098,1.33376615102623
"t=246",1.27190370674161,1.22600762013155,1.32277270577392,1.30323723402025
"t=247",1.24679347572089,1.33331710039346,1.30740701070012,1.42240149130062
"t=248",1.1566190650264,1.22174224670394,1.39723472997791,1.58700755911247
"t=249",1.13426028020106,1.31845481625039,1.56617354679309,1.49703505214752
"t=250",1.27587335246714,1.50442834589141,1.4769683440785,1.69833936482859
"t=251",1.49360213667836,1.50679034765304,1.7469989613309,1.8290488285816
"t=252",1.44842159079881,1.76057992813951,1.85661414910346,1.83173672925285
"t=253",1.76196560043053,1.84616302703211,1.82199206399672,2.10489175729044
"t=254",1.94703738656278,1.66876974731054,2.0641266337582,2.14777039556325
