"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","noroBE",1,4,"ar1",204,8.75105912201577,28.4232298264442,5,12,1,22,8,2.5217822768988,0.475603693526637,0.555920026692298,2.69473591444171
"2","noroBE",2,4,"ar1",204,7.05390659584316,20.2058597606059,4,9,1,18,1,3.16510054323526,0.0152531174436735,0.0574630151247511,2.69473591444171
"3","noroBE",3,4,"ar1",204,8.89702633077743,30.2811444177366,5,12,1,22,2,3.12326885440747,0.0322847670735805,0.0762978278005172,2.69473591444171
"4","noroBE",4,4,"ar1",204,7.97084291146573,27.1582969683389,4,11,1,21,3,2.54681466704199,0.105530024642955,0.183860803290969,2.69473591444171
"5","noroBE",5,4,"ar1",204,8.60047723935139,27.4191170559105,5,11,1,21,3,2.73562886992199,0.0788522513694479,0.143705461413499,2.69473591444171
"6","noroBE",6,4,"ar1",204,7.3870802567244,22.1525003908158,4,10,1,19,4,2.32683869236355,0.203168185623118,0.300772001193974,2.69473591444171
"7","noroBE",7,4,"ar1",204,13.559722359623,60.0992154988967,8,18,3,32,8,2.83595709229686,0.222321242326761,0.280983595997135,2.69473591444171
"8","noroBE",8,4,"ar1",204,9.06296056804971,31.7327280392721,5,12,1,23,11,2.89291475087885,0.672507183840285,0.727921641489444,2.69473591444171
"9","noroBE",9,4,"ar1",204,7.85184937823125,26.2409859680194,4,10,1,20,5,2.34923652024953,0.279060953352323,0.374502955794525,2.69473591444171
"10","noroBE",10,4,"ar1",204,14.3878788106938,69.95323183944,8,19,3,35,14,3.00784180671107,0.534284140750259,0.583682315358999,2.69473591444171
"11","noroBE",11,4,"ar1",204,10.9401785597681,40.6982714798877,6,14,2,26,3,3.25273968832222,0.0409874871477527,0.0796556111197851,2.69473591444171
"12","noroBE",12,4,"ar1",204,9.41276993973688,33.6545479576403,5,12,1,24,4,2.66462371525742,0.121400715555929,0.191026263191937,2.69473591444171
"13","noroBE",1,3,"ar1",205,8.42004532747566,26.5220830641911,5,11,1,21,8,2.51538741518824,0.499948355367204,0.580779946121148,2.69239306875231
"14","noroBE",2,3,"ar1",205,6.82219867978888,18.811291198909,4,9,1,17,1,3.10535033154869,0.0162616605304319,0.0610704783970771,2.69239306875231
"15","noroBE",3,3,"ar1",205,8.52817613548489,28.4456140258847,5,11,1,22,2,3.03965626990799,0.0353418937968411,0.0831932284081857,2.69239306875231
"16","noroBE",4,3,"ar1",205,8.22165493488407,29.5620844602855,4,11,1,22,3,2.58352384937536,0.101659450869885,0.177166908626253,2.69239306875231
"17","noroBE",5,3,"ar1",205,8.47911854252956,26.5549759545338,5,11,1,21,3,2.71190697790177,0.0810195200792148,0.147429563480007,2.69239306875231
"18","noroBE",6,3,"ar1",205,7.64670617062406,23.5775779914978,4,10,1,20,4,2.36667940904112,0.190543359547467,0.284335013025359,2.69239306875231
"19","noroBE",7,3,"ar1",205,13.4163224414823,58.879941001368,8,17,3,32,8,2.8201643475809,0.22705366310137,0.286649810522756,2.69239306875231
"20","noroBE",8,3,"ar1",205,8.62222998886057,28.2274487180743,5,11,1,22,11,2.91581093384351,0.701995550420746,0.75615564338834,2.69239306875231
"21","noroBE",9,3,"ar1",205,7.43074627906587,22.7362951276949,4,10,1,19,5,2.30445021623588,0.300635161435478,0.400448822937445,2.69239306875231
"22","noroBE",10,3,"ar1",205,14.3112514114613,70.0705982313428,8,19,3,35,14,3.0113954638173,0.539233435796596,0.588456377773855,2.69239306875231
"23","noroBE",11,3,"ar1",205,10.8910286154751,39.4893715595544,6,14,2,26,3,3.25872285402103,0.0403643753501558,0.078801832276901,2.69239306875231
"24","noroBE",12,3,"ar1",205,9.59826423717566,34.874599524457,5,13,1,24,4,2.69289558141018,0.116717644467736,0.184402313349072,2.69239306875231
"25","noroBE",1,4,"ar1",205,7.78007738040794,23.3902966490497,4,10,1,20,9,2.66334624541779,0.632008023982515,0.701722572991877,2.47069085327902
"26","noroBE",2,4,"ar1",205,6.1798623969916,16.4840857671973,3,8,1,16,3,2.20737660631543,0.169438117253719,0.279426931578654,2.47069085327902
"27","noroBE",3,4,"ar1",205,7.81680844339496,24.9604783298865,4,10,1,20,4,2.387067704682,0.182488642065825,0.274387405553991,2.47069085327902
"28","noroBE",4,4,"ar1",205,7.39526036104773,24.5677747487142,4,10,1,20,2,2.67731504144599,0.0570484488159635,0.125795939554782,2.47069085327902
"29","noroBE",5,4,"ar1",205,7.6056695549018,22.055572651842,4,10,1,19,5,2.31064443248376,0.277595470571428,0.376792775563026,2.47069085327902
"30","noroBE",6,4,"ar1",205,6.83701113651362,19.7796639292621,4,9,1,18,4,2.23935747756483,0.235789550531494,0.342316478867835,2.47069085327902
"31","noroBE",7,4,"ar1",205,11.9700214938212,47.2957661107768,7,16,2,29,7,2.7258303896051,0.216282540232699,0.281774336657669,2.47069085327902
"32","noroBE",8,4,"ar1",205,7.96285363100852,25.8633010438725,4,11,1,20,5,2.35578324389756,0.266477238143557,0.361296449017879,2.47069085327902
"33","noroBE",9,4,"ar1",205,7.008169871935,22.3272382900032,4,9,1,19,3,2.34970289947253,0.139622624314787,0.23502012496821,2.47069085327902
"34","noroBE",10,4,"ar1",205,12.8380214482322,56.593992701396,7,17,2,31,16,3.24043308404092,0.70496588466353,0.744112822176864,2.47069085327902
"35","noroBE",11,4,"ar1",205,9.95433747956454,34.9465888441162,6,13,2,24,7,2.5308521684198,0.312702246334252,0.392293412634328,2.47069085327902
"36","noroBE",12,4,"ar1",205,8.54518561375445,29.0060168344769,5,11,1,22,7,2.45128410759216,0.410912025149294,0.497094872514784,2.47069085327902
"37","noroBE",1,2,"ar1",206,8.73689199991631,27.2619325685509,5,12,1,21,8,2.50870563381149,0.472544302182255,0.553917800391349,2.69300574997267
"38","noroBE",2,2,"ar1",206,7.1021482750698,19.5036404808473,4,9,1,18,1,3.2206370287104,0.0141181474680127,0.0540477613147006,2.69300574997267
