"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.58551494397348
"t=205",NA,NA,2.60786243672523,2.4481211205782
"t=206",NA,2.63660432185653,2.45585771726881,2.57716446188919
"t=207",2.63839736840111,2.46584445279663,2.58451115596337,3.02832993143869
"t=208",2.2970049791422,2.46704370531474,3.01462961424906,2.82597050301851
"t=209",2.46408345610959,3.02881385341122,2.81190001828312,2.92452043174885
"t=210",3.02546867629355,2.853844218518,2.95075999917004,3.0461456544393
"t=211",2.88530000514117,2.8746921238526,3.06718095098307,3.01616909828771
"t=212",2.77484338954106,3.02606864945284,3.02198215533746,2.92890795823829
"t=213",3.06482573414127,3.01006971609564,2.92627818531162,2.71180254472473
"t=214",2.97938821177275,2.90492728457559,2.71336423056159,2.80890439883687
"t=215",2.76629607092946,2.80235770499869,2.78626671033449,2.96084031592433
"t=216",2.82334482846313,2.72680190447431,2.95011004817196,2.56086780944521
"t=217",2.64767283551325,2.92912828598022,2.55008673977826,2.52855837347875
"t=218",2.79364849734516,2.51743455523574,2.47029645990426,2.48513972215142
"t=219",2.46168840009785,2.34614469519606,2.46214793741532,2.59447708695542
"t=220",2.35385573809883,2.52723449238174,2.57338514996693,2.26951352299138
"t=221",2.46006222950397,2.54997794691029,2.25636935496092,2.36270935034702
"t=222",2.67679293271891,2.3467429185168,2.42868171873347,2.13089188071945
"t=223",2.16675904253615,2.22225983226089,2.00023158142342,2.24998388153111
"t=224",2.2152877778162,1.96672367196017,2.20534591650523,1.71371261156563
"t=225",1.90802842462716,2.19614228237736,1.77801249262531,1.73166804895141
"t=226",2.203545721148,1.81686421439537,1.7676020082676,1.48938076709674
"t=227",1.81502782503636,1.81282855989957,1.54187086369981,1.56277916908493
"t=228",1.69118649024962,1.38743231830744,1.52874439710057,1.92656354458291
"t=229",1.25380097945886,1.51144806741663,1.92981342755808,1.72235547717165
"t=230",1.54590991807846,2.08318088715679,1.75660163966409,2.00978011678203
"t=231",2.07518613156012,1.81714794078343,1.96245070449943,1.33199308769278
"t=232",1.63954290024365,1.9276386157628,1.31680266077223,1.73729912251319
"t=233",1.98990643835015,1.29717540182293,1.74058089812641,1.74593451332946
"t=234",1.41432148932141,1.72772419899297,1.72359675325252,1.98584703529407
"t=235",1.75620936313395,1.82617210178864,2.05597709547783,1.66700949637476
"t=236",1.72876729005691,2.08419904435551,1.65350415251757,1.56681476609743
"t=237",2.1158148696167,1.6765223750046,1.59277826415048,1.39883911264834
"t=238",1.61751521670162,1.59414009943645,1.40614099529268,1.66697670795171
"t=239",1.60117863285494,1.41522600324302,1.66437967838107,1.69237229149857
"t=240",1.4032806188476,1.69758897655993,1.69454665260043,1.89563256520238
"t=241",1.72199403666036,1.72983406435435,1.89897174270746,1.99849951208391
"t=242",1.6988620133518,1.92279276983601,2.01489577418239,1.94114503686529
"t=243",1.93146746165781,2.01244701344797,1.94320986253309,2.18490228396641
"t=244",1.93452865833703,1.89250635606628,2.16679123135959,1.91359402922613
"t=245",1.84270343786977,2.16721655350293,1.94355904873534,2.05713506054689
"t=246",2.14517613995914,1.94942704826178,2.03926100680158,2.14799298844315
"t=247",1.97908627760725,2.04469642715506,2.13499447750454,2.29984724113223
"t=248",1.91771367797499,2.10177219019696,2.3042652914005,2.46293438264865
"t=249",2.06439440383699,2.27288338666334,2.45644052875124,2.42108432247712
"t=250",2.24648801455761,2.40341838182658,2.40170494277268,2.43342498880121
"t=251",2.39558018963778,2.40716135996223,2.49102482925706,2.6369356174528
"t=252",2.35505566437791,2.48732590239501,2.67012045400349,2.63082167756848
"t=253",2.51766609470664,2.69052573169416,2.6292610799275,2.89067672185159
"t=254",2.74899294484652,2.55805456870012,2.85520115286494,2.84818893851198
"t=255",2.4732496482436,2.8093071515688,2.85345210797775,3.2051221755516
"t=256",2.76334856782957,2.77796777100742,3.17933168650484,2.67225891674264
"t=257",2.69496933147791,3.12912575367216,2.65332660081205,2.59530037484924
"t=258",2.8892304095451,2.44954782948383,2.52398310146196,2.91589298654227
"t=259",2.32295433445867,2.58647157771395,2.93861325372896,2.44658358914171
"t=260",2.74161485086391,3.09742033886872,2.41204991766068,2.95627261283116
"t=261",2.79453088442726,2.43852514511954,2.90227584708807,2.48969471222296
"t=262",2.58473778273602,2.85274459805382,2.61013702040986,2.71177413762953
"t=263",2.85355585591615,2.40392864828005,2.6193575116689,2.61462599717336
"t=264",2.56441979237461,2.68939882045607,2.70407610906154,2.59136978718092
"t=265",2.61337183799973,2.59519779642377,2.50806715664693,2.70539077563435
"t=266",2.56027737529464,2.46461394512913,2.69153644731952,3.51190399956016
"t=267",2.42167427258658,2.73231176055808,3.57189296187207,3.08657817023005
"t=268",2.71452366469034,3.58759692246935,3.16672420844936,2.81903347996779
"t=269",3.54284858857271,3.10364358115924,2.78180430122795,2.61282993418027
"t=270",3.21397653546011,2.89603711516799,2.75310919072009,2.68237677694143
"t=271",2.71667792575956,2.67337236790399,2.68641252005507,2.4621125271336
"t=272",2.65095503928517,2.68188430247058,2.43716269513581,2.31858974707191
"t=273",2.60507097166057,2.38437074540346,2.27828588156749,2.52498413497763
"t=274",2.39500313412551,2.21883946186841,2.60785383504607,2.62592380810819
"t=275",2.1915095263397,2.57905584239068,2.7795391660497,1.83427813340349
"t=276",2.48890632887068,2.67885013163173,1.84085979570888,1.99944494109571
"t=277",2.57257939438311,1.74954710977282,1.96729640510332,2.47935253744321
"t=278",1.86883892649164,1.94285577006288,2.31192642360621,1.79608543748345
"t=279",1.96302904913638,2.42806742634356,1.80617772684647,1.61003761345786
"t=280",2.33206589079811,1.80128128413178,1.63987445562763,1.46672407064871
"t=281",1.68601048772653,1.69015553652137,1.49435699032273,1.42799976966102
"t=282",1.64969608472913,1.5203721180691,1.41244026843335,1.42863571284366
"t=283",1.57169168913425,1.37192655203834,1.38626225343056,1.90578192680952
"t=284",1.42372043875894,1.37975946159172,1.89571461944379,2.13289420052076
"t=285",1.37192433883523,1.87970976709657,2.13874168587182,1.90815148319301
"t=286",1.81604331288453,2.10252878303061,1.89124106835063,1.57821806834429
"t=287",1.97548955718698,1.83655439631403,1.52304820614943,1.36716685429871
"t=288",1.7503061122386,1.48446649829356,1.41415788821829,1.32588967627428
"t=289",1.43312569208027,1.39344812179656,1.32682782386475,1.42738516472824
"t=290",1.37297673637483,1.35090217095869,1.42719934822071,1.62140990849146
"t=291",1.29166479353919,1.35902315110801,1.61638458649434,2.170679106229
"t=292",1.34226154163259,1.63309391586154,2.20089448289268,1.7457513532503
"t=293",1.60327450362368,2.18881603856632,1.74540683521918,1.91836758448622
"t=294",2.16855066920101,1.75908919504196,1.90647909507884,2.34729215495613
"t=295",1.73550401738216,1.9174805049023,2.29791220519563,2.42395218896033
"t=296",1.90777956403233,2.24906617084404,2.43209789136317,2.10702616824662
"t=297",2.31660875679011,2.49652218135276,2.12376499440142,2.25776904544053
"t=298",2.46983389786609,2.07356561017162,2.21842138607781,3.33337592944076
"t=299",2.0409189594794,2.18658558783207,3.28759711123409,2.92844940117782
"t=300",2.17139488208404,3.28868168207979,2.92979247263011,3.19316988839632
"t=301",3.25220573365494,2.91018973479416,3.14422654742593,3.25202557809055
"t=302",2.80830146537806,2.96859781137745,3.00603385882026,3.61673184544596
"t=303",2.86361452510839,3.01151686069303,3.65315247521739,3.54968921717522
"t=304",2.90754154877801,3.64075939107876,3.52575004195873,3.67118194741903
"t=305",3.39042373685436,3.40276186440571,3.56806957300493,3.12194733782165
"t=306",3.12476154218896,3.3975451042249,3.1287513129929,3.19716619114714
"t=307",3.29947706064566,3.0944703682523,3.13992192486533,3.67410232849755
"t=308",3.05282975758149,3.1148971122293,3.63844393444904,3.12129835779759
"t=309",3.1613980127652,3.72070478032292,3.08148292264087,3.14477478123595
"t=310",3.72543076995747,3.19352461873602,3.08669000248849,3.18185694899802
"t=311",3.20999652240731,2.94270551388053,3.16771626297699,3.46006297160334
"t=312",3.02854885045069,3.22375477057867,3.44012185252116,3.10375384179328
"t=313",3.23177243695807,3.39659970267198,3.18642861382085,3.17832697179274
"t=314",3.32620978473784,3.26300515661823,3.18494608430897,3.11865050382565
"t=315",3.29568494729886,3.1075475366587,3.18150068427538,3.06561587491169
"t=316",3.09026061153275,3.19680502203769,2.98186676914737,2.94334800656113
"t=317",3.15204419823971,2.92178830447657,2.92512302018097,3.15645147490713
"t=318",2.90695623459177,2.88422963331355,3.15187606270767,3.05308621005186
"t=319",2.85508517387442,3.1937921158779,2.97834332137896,2.98995648476044
"t=320",3.14297147159846,2.95643470088283,2.93585538621386,2.81255734132007
"t=321",2.96672866088777,2.99458254256395,2.74848995205532,3.57621340570219
"t=322",2.99779314292567,2.8487908019729,3.67539907920133,2.57065305082138
"t=323",2.84802671550337,3.61433363793825,2.58087391940527,2.68792783454647
"t=324",3.63507043125042,2.66752028787122,2.69485490399963,2.61655049181069
"t=325",2.80514535604909,2.77319892694105,2.71145880884186,2.55095973033619
"t=326",2.46511351272497,2.53535171695476,2.58960743793412,2.46654686955398
"t=327",2.46764438275737,2.82829545548322,2.56772209030718,2.05429743226411
"t=328",2.76422251483368,2.55185235123093,2.01736184131357,2.7838951065319
"t=329",2.2164222492779,2.07330362676867,2.65054684723308,1.86964566253448
"t=330",2.01737966373481,2.38483984123196,1.80081182376667,1.72870399792827
"t=331",2.39650846600767,1.75927479893362,1.77393155959663,2.0758214735997
"t=332",1.67103257549338,1.83295252512946,1.97520588062771,1.86378887189128
"t=333",1.86354923850088,2.00628363390438,1.85327087216492,1.82094189084313
"t=334",1.97556453494141,1.8351009565695,1.8567995484291,1.52976624717115
"t=335",1.78816656476302,1.81635398555787,1.5383269865164,1.79762048387479
"t=336",1.78348319542935,1.59909008666348,1.74579489073587,1.39018169798996
"t=337",1.66659639350962,1.73437787361882,1.38723646573821,2.37752462320879
"t=338",1.79685517269795,1.38402437061036,2.48345739787861,2.15074489494797
"t=339",1.37067393047191,2.32774977275373,2.12108097090534,1.584318987269
"t=340",2.39968905426378,2.09550027126508,1.57500251137866,1.70239729365312
"t=341",1.97554514680031,1.6212414762688,1.75937983435495,1.50309644498553
"t=342",1.66479376727996,1.74337175723485,1.48693831416387,1.80806050876463
"t=343",1.7322876512966,1.46701523712299,1.78404430459278,1.72454694825414
"t=344",1.44971547967737,1.73873372099469,1.74280912976603,1.5591434491285
"t=345",1.77085683088788,1.76068687180881,1.55343167018377,1.87092688644463
"t=346",1.72121598517969,1.56208469467176,1.89119525179126,1.83390011714768
"t=347",1.57261690199656,1.93423123439397,1.83781866849736,2.19844207712709
"t=348",1.8895306298293,1.82115282655994,2.20049221549842,2.07340610135809
"t=349",1.80661859769421,2.19946073179666,2.07261218469216,2.72916258812977
"t=350",2.16167065696111,2.07104280308528,2.74439864353885,2.73220465485681
"t=351",2.0513182693964,2.74840556292757,2.68500672961803,2.50029840631317
"t=352",2.70033929654403,2.76720067349861,2.48900604334396,2.43547084380872
"t=353",2.73685061593349,2.40697485339159,2.45924373366989,2.62772783085615
"t=354",2.38499809203433,2.56279768407322,2.63986390165788,2.68619369134174
"t=355",2.55397068713401,2.62450872630349,2.65801025429061,3.16716611570521
"t=356",2.54492341303768,2.63984260021458,3.20450397034977,3.13030595047523
"t=357",2.65937032679311,3.20143255844289,3.12194256847381,2.90532132226728
"t=358",3.13653043388294,3.06785800116933,2.84491296728995,3.54194436078196
"t=359",2.91381574324748,2.79676011110864,3.42779383759933,3.76620045511527
"t=360",2.77966834428089,3.38113317250607,3.71009251307528,3.8601224806013
"t=361",3.46569636616501,3.79931914746535,4.04622368790127,NA
"t=362",3.58170048895561,4.02208904106143,NA,NA
"t=363",3.68809613801037,NA,NA,NA
