"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.69473591444171
"t=205",NA,NA,2.69239306875231,2.47069085327902
"t=206",NA,2.69300574997267,2.47793713536655,2.61489160953899
"t=207",2.71211428307358,2.47274245456368,2.61745079070082,3.05604466302322
"t=208",2.26190661981126,2.52094020779183,3.02793493230353,2.92682621087309
"t=209",2.54229230968757,3.03630737275834,2.91376477075965,3.07193387002104
"t=210",3.00643340014626,2.92081618275183,3.06956755472837,3.08193246012211
"t=211",2.93604284591634,3.0136656246143,3.09735016189436,3.08249095856996
"t=212",2.87410927357512,3.04662103397882,3.07521481033686,2.95771941968413
"t=213",3.04864323749045,3.03911785770474,2.94255655508174,2.72442347875685
"t=214",3.01602118258599,2.93624666528058,2.71392381530697,2.85878982853296
"t=215",2.75180069063916,2.74593347213709,2.85708824706394,3.02418551016659
"t=216",2.79012219733009,2.81654346992365,3.01313346742742,2.62783161400669
"t=217",2.74468423181369,2.9615859031171,2.60012791466093,2.61190829811596
"t=218",2.82173158409825,2.57995084094422,2.59281032915736,2.5300480883458
"t=219",2.4998553149392,2.51814635954404,2.51483622334179,2.75832781780119
"t=220",2.50342404067302,2.53084252318008,2.74678252431524,2.34687903289589
"t=221",2.42902059772441,2.70616808183654,2.33346417695998,2.48601594311872
"t=222",2.86524502156893,2.37318826117337,2.50073261757907,2.23216059966479
"t=223",2.1028853171881,2.37118529112523,2.17448528308714,2.26818904488949
"t=224",2.35609666789835,2.15287024296418,2.25345702128628,1.70264067628208
"t=225",2.01232763515055,2.23066650672419,1.72327079368368,1.68576613315544
"t=226",2.20210526863595,1.72239812786844,1.68343022080962,1.4833134115508
"t=227",1.76152049165395,1.72144206237011,1.50556217438878,1.55523879112986
"t=228",1.63979493378041,1.40887684478154,1.5482169995975,1.93469631661138
"t=229",1.29972136149755,1.52209488266408,1.93196103151241,1.75872150882331
"t=230",1.48275089585696,1.97682567511066,1.76011068719848,1.91147484528629
"t=231",2.00553935421181,1.79006104199957,1.90523517128814,1.3549120931258
"t=232",1.60204744883935,1.90091395414884,1.35839208415218,1.7235125295032
"t=233",1.99311322393184,1.33785286670211,1.72708842857416,1.73315300745542
"t=234",1.50217903588399,1.72416006193264,1.72146173700484,2.00604172592203
"t=235",1.78224977663278,1.77793774324095,2.03427293755188,1.69474437914122
"t=236",1.69374285748321,2.01898631858827,1.68582589303753,1.59916915620361
"t=237",2.04680976238257,1.70129207670598,1.60242160621394,1.37578668108777
"t=238",1.65859635743186,1.57969530016174,1.37856895328682,1.62430356192452
"t=239",1.59206215452392,1.38700731159436,1.61821399086696,1.72980846919117
"t=240",1.41263585111319,1.63907794507565,1.7347434203383,1.95811697751633
"t=241",1.63459685354543,1.75971366431905,1.97166302821491,2.01553599507839
"t=242",1.73245328686462,1.98295935449824,2.03146714722469,1.96476655817387
"t=243",1.96138089815978,2.0102527278657,1.95786500958908,2.15552294410827
"t=244",1.91027405647382,1.93445543766304,2.14819046585414,1.8310565514366
"t=245",1.86318496444833,2.1384450903465,1.84605516047149,1.99655530425905
"t=246",2.08868051848423,1.84524347316389,1.98735840714062,2.13897837540497
"t=247",1.93269585233138,1.99171703546623,2.13901126389613,2.33523677106562
"t=248",1.86349600792466,2.13158472873616,2.34020332681867,2.49655309216576
"t=249",2.08827258380317,2.31730045324694,2.492335424798,2.48320664624737
"t=250",2.29221917372874,2.46372374344688,2.47471770958741,2.4556482797033
"t=251",2.44509492704504,2.47403620583386,2.46498494077374,2.64884905358028
"t=252",2.39266144846263,2.45336881851167,2.65685864048781,2.63390585367686
"t=253",2.52469584496079,2.64797345787658,2.63808426320982,2.90534905114522
"t=254",2.79065369807914,2.57161663699599,2.89028216868119,2.94869834794739
"t=255",2.5289933435331,2.8551119723777,2.93679911670738,3.26420893223594
"t=256",2.81590423194955,2.86479420896625,3.21976891975745,2.7861946858555
"t=257",2.76109346625218,3.17786070477449,2.7627837460457,2.68098039919653
"t=258",2.83847236455745,2.60773596403437,2.63182962929668,2.88554158695534
"t=259",2.46785145286122,2.59051765322917,2.87288653524744,2.79268572264977
"t=260",2.61690434610885,2.8985011806044,2.71356211524374,2.94834928414113
"t=261",2.69055769902817,2.74897032984263,2.94729701288142,2.78135646144701
"t=262",2.84019139263358,2.92988086051279,2.80137512879122,2.81553880474969
"t=263",2.87611012333758,2.58989515250952,2.72091112938239,2.70922751098283
"t=264",2.79516202150533,2.79489921258828,2.75016936671005,2.65007703242515
"t=265",2.62166092108903,2.60240886188364,2.5692226227828,2.69340680674014
"t=266",2.6061626879587,2.54703746046525,2.68182996155506,3.41412659726958
"t=267",2.47201505035382,2.70079081682258,3.43949691597973,3.11209384583347
"t=268",2.65716700724496,3.44868458702137,3.12370811862467,2.85658352383135
"t=269",3.43829737032308,3.08921541844582,2.84048974144693,2.64179968428167
"t=270",3.25480788991758,2.89351239142505,2.68543467033784,2.66800954402846
"t=271",2.70674304590778,2.63714809516338,2.65808043819973,2.35724902292229
"t=272",2.65789487668865,2.65014785676104,2.34286354561533,2.21764610703216
"t=273",2.61856709371934,2.35171679260421,2.21450276603557,2.47191924612264
"t=274",2.40286964567189,2.19419941042508,2.50562959476063,2.55697938966691
"t=275",2.25024416819027,2.46846615946035,2.63287419958731,1.83869958190893
"t=276",2.4284913115761,2.54448124206238,1.84873950929286,1.97160890403374
"t=277",2.50748279902218,1.79538117282949,1.96288159038506,2.36226725102009
"t=278",2.00988748610053,1.96656230479125,2.26837044169005,1.81273488657572
"t=279",2.05816409276441,2.4218143962316,1.82562082259462,1.69853268889938
"t=280",2.21789471353878,1.81164071244242,1.70529760785075,1.47574052229252
"t=281",1.67971655955784,1.72294536713895,1.48952412011124,1.46233103406376
"t=282",1.62577193852747,1.49917090056712,1.45054726093152,1.46886437797649
"t=283",1.55449964455243,1.42320490144671,1.45032845234266,1.89522044349104
"t=284",1.48738825154667,1.45545591755587,1.89176578791883,2.11082210662595
"t=285",1.43788487856696,1.87851328267746,2.09366029713627,1.95706642197646
"t=286",1.83862800859954,2.06855197176197,1.94984152912732,1.58638137623706
"t=287",1.93518822168975,1.92813371757204,1.57270087743948,1.36023690218994
"t=288",1.76658644727871,1.5435800816388,1.38367248501668,1.34379568923422
"t=289",1.45621286107731,1.37315222083828,1.34122786151841,1.48226580645206
"t=290",1.35002669514929,1.35012417538721,1.48409436983798,1.65308662886823
"t=291",1.30385522093678,1.45908045236753,1.6526158460639,2.2906037990285
"t=292",1.43280497647547,1.65019035551343,2.30211667115276,1.83963483487408
"t=293",1.61712533095656,2.28822360722058,1.8461788234047,1.95519712088984
"t=294",2.27437798140035,1.83795354964543,1.95182658252108,2.40957927073267
"t=295",1.74978856928927,1.93718955217829,2.3931153433819,2.52914777740013
"t=296",1.90607892779918,2.34583750419612,2.52881391166904,2.16206335412779
"t=297",2.42672338816537,2.53602618347024,2.16363483893696,2.30301386480468
"t=298",2.46741502625979,2.12799430740175,2.28022578835357,3.47474156195002
"t=299",2.06942951686764,2.24169252309657,3.36953319554544,3.0530649048807
"t=300",2.22548774106053,3.37274779928716,3.07852195692586,3.34212567215571
"t=301",3.30861746563537,3.01339487105295,3.27292093391978,3.37718949857813
"t=302",2.85042455094479,3.10533476963256,3.22480286154139,4.004428067294
"t=303",2.95818698007376,3.18956826197303,3.88672035451657,3.91454614350817
"t=304",2.93335497265022,3.7869691451182,3.7776351260095,3.8254092244749
"t=305",3.46276537215328,3.61118766564918,3.74568114370618,3.19510526608441
"t=306",3.20148698610852,3.54541498980726,3.15602387759912,3.46851138276265
"t=307",3.33537255122779,3.08154808585956,3.3878436981851,3.74247908608503
"t=308",2.99588043568561,3.31701533067807,3.70340842275075,3.03184837617259
"t=309",3.38917072846154,3.78425462259062,3.04250717160167,3.23544352031781
"t=310",3.68007657251967,3.0653343676071,3.1301020392229,3.29091527155418
"t=311",3.11102428741767,3.05341376861969,3.27173513043042,3.34402974562488
"t=312",3.45095148264529,3.34561976388075,3.3240763392281,3.17539645448219
"t=313",3.25878929040727,3.33467176402945,3.22099862378452,3.12596357654408
"t=314",3.27283971689461,3.24482275005059,3.12933656139544,3.21306111921745
"t=315",3.26584872535248,3.09744194550969,3.22846623978287,2.99626161831092
"t=316",3.16620195182326,3.22300021307056,2.96935944782599,3.03497681985569
"t=317",3.20037321875288,2.94502468962809,3.02644340557327,3.18935902860269
"t=318",2.89401664801982,2.98218626824262,3.17333869774711,3.03998872828236
"t=319",2.94053492800308,3.21405888004659,3.01035043383345,3.25991467989159
"t=320",3.10659571022519,2.97321287746403,3.19279489228258,2.81737019309215
"t=321",3.02095071724152,3.19620575190975,2.78346970422274,3.50043895517055
"t=322",3.22318906991186,2.85405263791304,3.51993619114057,2.59036033150865
"t=323",2.7952749851678,3.42371957759477,2.57093216361451,2.53300028878569
"t=324",3.55951704812462,2.62592205865092,2.53252540228449,2.57093375404285
"t=325",2.81601015842656,2.6054947177411,2.625803728618,2.63083189295435
"t=326",2.3286748860685,2.51233570011686,2.6465760914218,2.4613231811352
"t=327",2.54107019518156,2.69270055708666,2.46915905841211,2.08573504018882
"t=328",2.55115633606743,2.45521001454101,2.07547270494605,2.63180214029502
"t=329",2.17606557038455,2.09707242511231,2.5978258784782,1.82138030255332
"t=330",2.04369157534905,2.43669047681101,1.80447666395226,1.77745691908245
"t=331",2.5659771889745,1.79476734682956,1.79158277110613,2.043547672589
"t=332",1.69429983946776,1.81340626164584,1.9964973331218,1.84193147455956
"t=333",1.86017943780838,2.02567505189559,1.84849423652896,1.84558774193424
"t=334",2.04219528697546,1.83542618485148,1.85803395612732,1.5362745561294
"t=335",1.78838247614118,1.82721484267949,1.53828692710889,1.76921599071541
"t=336",1.81227980843791,1.55798998091059,1.76187174789932,1.41097046792956
"t=337",1.65318598862938,1.75221285786376,1.41129506935945,2.37744700921649
"t=338",1.86215797511925,1.40338801557334,2.41832680073949,2.131206025978
"t=339",1.41151869889032,2.30846893031905,2.11942599406743,1.63560466261569
