"","index","Cases","week","year","mm","temperature","avg_hum","Cases01","Cases02","Cases03","Cases04","Cases05","Cases06","Cases07","Cases08","Cases09","Cases10","Cases11","Cases12","Cases13","Cases14","Cases15","Cases16","Cases17","Cases18","Cases19","Cases20","temperature01","temperature02","temperature03","temperature04","temperature05","temperature06","temperature07","temperature08","temperature09","temperature10","temperature11","temperature12","temperature13","temperature14","temperature15","temperature16","temperature17","temperature18","temperature19","temperature20","avg_hum01","avg_hum02","avg_hum03","avg_hum04","avg_hum05","avg_hum06","avg_hum07","avg_hum08","avg_hum09","avg_hum10","avg_hum11","avg_hum12","avg_hum13","avg_hum14","avg_hum15","avg_hum16","avg_hum17","avg_hum18","avg_hum19","avg_hum20","mm01","mm02","mm03","mm04","mm05","mm06","mm07","mm08","mm09","mm10","mm11","mm12","mm13","mm14","mm15","mm16","mm17","mm18","mm19","mm20","mm21","mm22","mm23","mm24"
"1","2012-01",0,"01",2012,0,21.0055555555556,23.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2012-02",0,"02",2012,0,20.3714285714286,21.2857142857143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2012-03",0,"03",2012,0,22.3214285714286,26.2857142857143,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3714285714286,21.0055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2857142857143,23.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2012-04",0,"04",2012,0,25.4714285714286,25.7142857142857,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3214285714286,20.3714285714286,21.0055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2857142857143,21.2857142857143,23.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2012-05",0,"05",2012,0,26.0571428571429,25.2857142857143,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4714285714286,22.3214285714286,20.3714285714286,21.0055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7142857142857,26.2857142857143,21.2857142857143,23.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2012-06",0,"06",2012,0,25.3928571428571,25.8571428571429,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0571428571429,25.4714285714286,22.3214285714286,20.3714285714286,21.0055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2857142857143,25.7142857142857,26.2857142857143,21.2857142857143,23.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2012-07",0,"07",2012,0,28.85,27.2857142857143,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3928571428571,26.0571428571429,25.4714285714286,22.3214285714286,20.3714285714286,21.0055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8571428571429,25.2857142857143,25.7142857142857,26.2857142857143,21.2857142857143,23.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2012-08",0,"08",2012,0,29.1285714285714,24.5714285714286,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.85,25.3928571428571,26.0571428571429,25.4714285714286,22.3214285714286,20.3714285714286,21.0055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2857142857143,25.8571428571429,25.2857142857143,25.7142857142857,26.2857142857143,21.2857142857143,23.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2012-09",0,"09",2012,0,28.95,20,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1285714285714,28.85,25.3928571428571,26.0571428571429,25.4714285714286,22.3214285714286,20.3714285714286,21.0055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5714285714286,27.2857142857143,25.8571428571429,25.2857142857143,25.7142857142857,26.2857142857143,21.2857142857143,23.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2012-10",0,"10",2012,0,28.2571428571429,14.7142857142857,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.95,29.1285714285714,28.85,25.3928571428571,26.0571428571429,25.4714285714286,22.3214285714286,20.3714285714286,21.0055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,24.5714285714286,27.2857142857143,25.8571428571429,25.2857142857143,25.7142857142857,26.2857142857143,21.2857142857143,23.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
