"","season","season_week","week_start_date","total_cases","mm","total_cases1","total_cases2","total_cases3","total_cases4","total_cases5","mm1","mm2","mm3","mm4","mm5"
"1","2000/2001",1,"7/1/2000",0,87.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2000/2001",2,"7/8/2000",0,17.04,0,NA,NA,NA,NA,87.29,NA,NA,NA,NA
"3","2000/2001",3,"7/15/2000",0,37.15,0,0,NA,NA,NA,17.04,87.29,NA,NA,NA
"4","2000/2001",4,"7/22/2000",0,30.93,0,0,0,NA,NA,37.15,17.04,87.29,NA,NA
"5","2000/2001",5,"7/29/2000",0,87.24,0,0,0,0,NA,30.93,37.15,17.04,87.29,NA
"6","2000/2001",6,"8/5/2000",0,53.04,0,0,0,0,0,87.24,30.93,37.15,17.04,87.29
"7","2000/2001",7,"8/12/2000",0,25.8,0,0,0,0,0,53.04,87.24,30.93,37.15,17.04
"8","2000/2001",8,"8/19/2000",0,47.4,0,0,0,0,0,25.8,53.04,87.24,30.93,37.15
"9","2000/2001",9,"8/26/2000",0,31.76,0,0,0,0,0,47.4,25.8,53.04,87.24,30.93
"10","2000/2001",10,"9/2/2000",0,29.19,0,0,0,0,0,31.76,47.4,25.8,53.04,87.24
"11","2000/2001",11,"9/9/2000",1,92.88,0,0,0,0,0,29.19,31.76,47.4,25.8,53.04
"12","2000/2001",12,"9/16/2000",0,49.83,1,0,0,0,0,92.88,29.19,31.76,47.4,25.8
"13","2000/2001",13,"9/23/2000",0,110.01,0,1,0,0,0,49.83,92.88,29.19,31.76,47.4
"14","2000/2001",14,"9/30/2000",0,36.61,0,0,1,0,0,110.01,49.83,92.88,29.19,31.76
"15","2000/2001",15,"10/7/2000",0,14.47,0,0,0,1,0,36.61,110.01,49.83,92.88,29.19
"16","2000/2001",16,"10/14/2000",1,66.87,0,0,0,0,1,14.47,36.61,110.01,49.83,92.88
"17","2000/2001",17,"10/21/2000",1,51.21,1,0,0,0,0,66.87,14.47,36.61,110.01,49.83
"18","2000/2001",18,"10/28/2000",0,45.54,1,1,0,0,0,51.21,66.87,14.47,36.61,110.01
"19","2000/2001",19,"11/4/2000",0,55.25,0,1,1,0,0,45.54,51.21,66.87,14.47,36.61
"20","2000/2001",20,"11/11/2000",0,63.2,0,0,1,1,0,55.25,45.54,51.21,66.87,14.47
"21","2000/2001",21,"11/18/2000",0,17.77,0,0,0,1,1,63.2,55.25,45.54,51.21,66.87
"22","2000/2001",22,"11/25/2000",0,29.12,0,0,0,0,1,17.77,63.2,55.25,45.54,51.21
"23","2000/2001",23,"12/2/2000",0,81.3,0,0,0,0,0,29.12,17.77,63.2,55.25,45.54
"24","2000/2001",24,"12/9/2000",0,34.48,0,0,0,0,0,81.3,29.12,17.77,63.2,55.25
"25","2000/2001",25,"12/16/2000",1,9.66,0,0,0,0,0,34.48,81.3,29.12,17.77,63.2
"26","2000/2001",26,"12/23/2000",0,115.11,1,0,0,0,0,9.66,34.48,81.3,29.12,17.77
"27","2000/2001",27,"1/1/2001",0,57.25,0,1,0,0,0,115.11,9.66,34.48,81.3,29.12
"28","2000/2001",28,"1/8/2001",0,145.4,0,0,1,0,0,57.25,115.11,9.66,34.48,81.3
"29","2000/2001",29,"1/15/2001",0,89.45,0,0,0,1,0,145.4,57.25,115.11,9.66,34.48
"30","2000/2001",30,"1/22/2001",0,61.52,0,0,0,0,1,89.45,145.4,57.25,115.11,9.66
"31","2000/2001",31,"1/29/2001",0,67.62,0,0,0,0,0,61.52,89.45,145.4,57.25,115.11
"32","2000/2001",32,"2/5/2001",0,60.31,0,0,0,0,0,67.62,61.52,89.45,145.4,57.25
"33","2000/2001",33,"2/12/2001",0,29.42,0,0,0,0,0,60.31,67.62,61.52,89.45,145.4
"34","2000/2001",34,"2/19/2001",0,36.15,0,0,0,0,0,29.42,60.31,67.62,61.52,89.45
"35","2000/2001",35,"2/26/2001",0,58.2,0,0,0,0,0,36.15,29.42,60.31,67.62,61.52
"36","2000/2001",36,"3/5/2001",0,137.7,0,0,0,0,0,58.2,36.15,29.42,60.31,67.62
"37","2000/2001",37,"3/12/2001",0,46.67,0,0,0,0,0,137.7,58.2,36.15,29.42,60.31
"38","2000/2001",38,"3/19/2001",0,92.79,0,0,0,0,0,46.67,137.7,58.2,36.15,29.42
"39","2000/2001",39,"3/26/2001",0,100.71,0,0,0,0,0,92.79,46.67,137.7,58.2,36.15
"40","2000/2001",40,"4/2/2001",0,80.45,0,0,0,0,0,100.71,92.79,46.67,137.7,58.2
"41","2000/2001",41,"4/9/2001",0,94.35,0,0,0,0,0,80.45,100.71,92.79,46.67,137.7
"42","2000/2001",42,"4/16/2001",1,63.98,0,0,0,0,0,94.35,80.45,100.71,92.79,46.67
"43","2000/2001",43,"4/23/2001",0,87.43,1,0,0,0,0,63.98,94.35,80.45,100.71,92.79
"44","2000/2001",44,"4/30/2001",0,65.75,0,1,0,0,0,87.43,63.98,94.35,80.45,100.71
"45","2000/2001",45,"5/7/2001",0,89.18,0,0,1,0,0,65.75,87.43,63.98,94.35,80.45
"46","2000/2001",46,"5/14/2001",0,34.39,0,0,0,1,0,89.18,65.75,87.43,63.98,94.35
"47","2000/2001",47,"5/21/2001",1,116.83,0,0,0,0,1,34.39,89.18,65.75,87.43,63.98
"48","2000/2001",48,"5/28/2001",1,112.9,1,0,0,0,0,116.83,34.39,89.18,65.75,87.43
"49","2000/2001",49,"6/4/2001",0,55.37,1,1,0,0,0,112.9,116.83,34.39,89.18,65.75
"50","2000/2001",50,"6/11/2001",0,33.77,0,1,1,0,0,55.37,112.9,116.83,34.39,89.18
"51","2000/2001",51,"6/18/2001",1,47.58,0,0,1,1,0,33.77,55.37,112.9,116.83,34.39
"52","2000/2001",52,"6/25/2001",0,14.29,1,0,0,1,1,47.58,33.77,55.37,112.9,116.83
"53","2001/2002",1,"7/2/2001",0,74.05,0,1,0,0,1,14.29,47.58,33.77,55.37,112.9
"54","2001/2002",2,"7/9/2001",0,35.97,0,0,1,0,0,74.05,14.29,47.58,33.77,55.37
"55","2001/2002",3,"7/16/2001",0,55.54,0,0,0,1,0,35.97,74.05,14.29,47.58,33.77
"56","2001/2002",4,"7/23/2001",0,31.42,0,0,0,0,1,55.54,35.97,74.05,14.29,47.58
"57","2001/2002",5,"7/30/2001",0,14.46,0,0,0,0,0,31.42,55.54,35.97,74.05,14.29
"58","2001/2002",6,"8/6/2001",0,5.14,0,0,0,0,0,14.46,31.42,55.54,35.97,74.05
"59","2001/2002",7,"8/13/2001",0,7.45,0,0,0,0,0,5.14,14.46,31.42,55.54,35.97
"60","2001/2002",8,"8/20/2001",0,27.58,0,0,0,0,0,7.45,5.14,14.46,31.42,55.54
"61","2001/2002",9,"8/27/2001",0,64.28,0,0,0,0,0,27.58,7.45,5.14,14.46,31.42
"62","2001/2002",10,"9/3/2001",0,21.7,0,0,0,0,0,64.28,27.58,7.45,5.14,14.46
"63","2001/2002",11,"9/10/2001",0,70.45,0,0,0,0,0,21.7,64.28,27.58,7.45,5.14
"64","2001/2002",12,"9/17/2001",0,18.82,0,0,0,0,0,70.45,21.7,64.28,27.58,7.45
"65","2001/2002",13,"9/24/2001",0,72.57,0,0,0,0,0,18.82,70.45,21.7,64.28,27.58
"66","2001/2002",14,"10/1/2001",0,49.42,0,0,0,0,0,72.57,18.82,70.45,21.7,64.28
"67","2001/2002",15,"10/8/2001",0,65.61,0,0,0,0,0,49.42,72.57,18.82,70.45,21.7
"68","2001/2002",16,"10/15/2001",0,68.97,0,0,0,0,0,65.61,49.42,72.57,18.82,70.45
"69","2001/2002",17,"10/22/2001",0,71.48,0,0,0,0,0,68.97,65.61,49.42,72.57,18.82
"70","2001/2002",18,"10/29/2001",0,84.25,0,0,0,0,0,71.48,68.97,65.61,49.42,72.57
"71","2001/2002",19,"11/5/2001",0,40.6,0,0,0,0,0,84.25,71.48,68.97,65.61,49.42
"72","2001/2002",20,"11/12/2001",0,64.49,0,0,0,0,0,40.6,84.25,71.48,68.97,65.61
"73","2001/2002",21,"11/19/2001",1,55.33,0,0,0,0,0,64.49,40.6,84.25,71.48,68.97
"74","2001/2002",22,"11/26/2001",1,44.89,1,0,0,0,0,55.33,64.49,40.6,84.25,71.48
"75","2001/2002",23,"12/3/2001",1,113.91,1,1,0,0,0,44.89,55.33,64.49,40.6,84.25
"76","2001/2002",24,"12/10/2001",2,51.28,1,1,1,0,0,113.91,44.89,55.33,64.49,40.6
"77","2001/2002",25,"12/17/2001",4,61.25,2,1,1,1,0,51.28,113.91,44.89,55.33,64.49
"78","2001/2002",26,"12/24/2001",1,97.65,4,2,1,1,1,61.25,51.28,113.91,44.89,55.33
"79","2001/2002",27,"1/1/2002",4,100.87,1,4,2,1,1,97.65,61.25,51.28,113.91,44.89
"80","2001/2002",28,"1/8/2002",11,14.22,4,1,4,2,1,100.87,97.65,61.25,51.28,113.91
"81","2001/2002",29,"1/15/2002",16,72.1,11,4,1,4,2,14.22,100.87,97.65,61.25,51.28
"82","2001/2002",30,"1/22/2002",23,105.5,16,11,4,1,4,72.1,14.22,100.87,97.65,61.25
"83","2001/2002",31,"1/29/2002",12,14.83,23,16,11,4,1,105.5,72.1,14.22,100.87,97.65
"84","2001/2002",32,"2/5/2002",14,66.41,12,23,16,11,4,14.83,105.5,72.1,14.22,100.87
"85","2001/2002",33,"2/12/2002",18,61.22,14,12,23,16,11,66.41,14.83,105.5,72.1,14.22
"86","2001/2002",34,"2/19/2002",8,54.74,18,14,12,23,16,61.22,66.41,14.83,105.5,72.1
"87","2001/2002",35,"2/26/2002",7,96.14,8,18,14,12,23,54.74,61.22,66.41,14.83,105.5
"88","2001/2002",36,"3/5/2002",10,73.31,7,8,18,14,12,96.14,54.74,61.22,66.41,14.83
"89","2001/2002",37,"3/12/2002",7,48.36,10,7,8,18,14,73.31,96.14,54.74,61.22,66.41
"90","2001/2002",38,"3/19/2002",10,102.23,7,10,7,8,18,48.36,73.31,96.14,54.74,61.22
"91","2001/2002",39,"3/26/2002",5,108.06,10,7,10,7,8,102.23,48.36,73.31,96.14,54.74
"92","2001/2002",40,"4/2/2002",11,56.16,5,10,7,10,7,108.06,102.23,48.36,73.31,96.14
"93","2001/2002",41,"4/9/2002",8,68.82,11,5,10,7,10,56.16,108.06,102.23,48.36,73.31
"94","2001/2002",42,"4/16/2002",18,111.87,8,11,5,10,7,68.82,56.16,108.06,102.23,48.36
"95","2001/2002",43,"4/23/2002",13,59.04,18,8,11,5,10,111.87,68.82,56.16,108.06,102.23
"96","2001/2002",44,"4/30/2002",9,63.86,13,18,8,11,5,59.04,111.87,68.82,56.16,108.06
"97","2001/2002",45,"5/7/2002",22,75.03,9,13,18,8,11,63.86,59.04,111.87,68.82,56.16
"98","2001/2002",46,"5/14/2002",10,59.85,22,9,13,18,8,75.03,63.86,59.04,111.87,68.82
"99","2001/2002",47,"5/21/2002",5,30.72,10,22,9,13,18,59.85,75.03,63.86,59.04,111.87
"100","2001/2002",48,"5/28/2002",13,77.8,5,10,22,9,13,30.72,59.85,75.03,63.86,59.04
"101","2001/2002",49,"6/4/2002",2,55.59,13,5,10,22,9,77.8,30.72,59.85,75.03,63.86
"102","2001/2002",50,"6/11/2002",11,65.49,2,13,5,10,22,55.59,77.8,30.72,59.85,75.03
"103","2001/2002",51,"6/18/2002",11,7.99,11,2,13,5,10,65.49,55.59,77.8,30.72,59.85
"104","2001/2002",52,"6/25/2002",3,1.03,11,11,2,13,5,7.99,65.49,55.59,77.8,30.72
"105","2002/2003",1,"7/2/2002",7,2.24,3,11,11,2,13,1.03,7.99,65.49,55.59,77.8
"106","2002/2003",2,"7/9/2002",7,65.02,7,3,11,11,2,2.24,1.03,7.99,65.49,55.59
"107","2002/2003",3,"7/16/2002",4,69.24,7,7,3,11,11,65.02,2.24,1.03,7.99,65.49
"108","2002/2003",4,"7/23/2002",5,71.16,4,7,7,3,11,69.24,65.02,2.24,1.03,7.99
