"","date","case","state","hum","l1.hum","l2.hum","l3.hum","l4.hum","l5.hum","newyears","christmas","O104period","l6.hum","l7.hum","l8.hum","l9.hum","l10.hum","l11.hum","l12.hum","l13.hum","l14.hum","l15.hum","l16.hum","l17.hum","l18.hum","l19.hum","l20.hum"
"53",2001-12-31,514,0,3.66162267554153,NA,NA,NA,NA,NA,0,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2002-01-07,913,0,5.22741825145503,3.66162267554153,NA,NA,NA,NA,1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2002-01-14,1023,0,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2002-01-21,887,0,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2002-01-28,815,0,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2002-02-04,792,0,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2002-02-11,803,0,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,0,0,FALSE,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2002-02-18,807,0,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,0,0,FALSE,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2002-02-25,692,0,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,0,0,FALSE,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2002-03-04,705,0,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,0,0,FALSE,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2002-03-11,700,0,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,0,0,FALSE,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2002-03-18,769,0,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,0,0,FALSE,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2002-03-25,589,0,5.77251434672362,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,0,0,FALSE,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA
"66",2002-04-01,493,0,6.04321326982207,5.77251434672362,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,0,0,FALSE,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA
"67",2002-04-08,718,0,7.11886539299247,6.04321326982207,5.77251434672362,8.29549818551675,7.50832998514864,7.25402371732974,0,0,FALSE,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA
"68",2002-04-15,823,0,8.929580366273,7.11886539299247,6.04321326982207,5.77251434672362,8.29549818551675,7.50832998514864,0,0,FALSE,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA
"69",2002-04-22,781,0,10.3027366370076,8.929580366273,7.11886539299247,6.04321326982207,5.77251434672362,8.29549818551675,0,0,FALSE,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA
"70",2002-04-29,797,0,10.3516032615679,10.3027366370076,8.929580366273,7.11886539299247,6.04321326982207,5.77251434672362,0,0,FALSE,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA
"71",2002-05-06,671,0,12.9073331618027,10.3516032615679,10.3027366370076,8.929580366273,7.11886539299247,6.04321326982207,0,0,FALSE,5.77251434672362,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA
"72",2002-05-13,849,0,12.7637633069751,12.9073331618027,10.3516032615679,10.3027366370076,8.929580366273,7.11886539299247,0,0,FALSE,6.04321326982207,5.77251434672362,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA
"73",2002-05-20,869,0,12.6900157434178,12.7637633069751,12.9073331618027,10.3516032615679,10.3027366370076,8.929580366273,0,0,FALSE,7.11886539299247,6.04321326982207,5.77251434672362,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153
"74",2002-05-27,1075,0,11.6786644554154,12.6900157434178,12.7637633069751,12.9073331618027,10.3516032615679,10.3027366370076,0,0,FALSE,8.929580366273,7.11886539299247,6.04321326982207,5.77251434672362,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503
"75",2002-06-03,1164,0,14.6726001999886,11.6786644554154,12.6900157434178,12.7637633069751,12.9073331618027,10.3516032615679,0,0,FALSE,10.3027366370076,8.929580366273,7.11886539299247,6.04321326982207,5.77251434672362,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823
"76",2002-06-10,1341,0,15.091348627323,14.6726001999886,11.6786644554154,12.6900157434178,12.7637633069751,12.9073331618027,0,0,FALSE,10.3516032615679,10.3027366370076,8.929580366273,7.11886539299247,6.04321326982207,5.77251434672362,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947
