"","X","date","case","state","hum","l1.hum","l2.hum","l3.hum","l4.hum","l5.hum","newyears","christmas","O104period","l6.hum","l7.hum","l8.hum","l9.hum","l10.hum","l11.hum","l12.hum","l13.hum","l14.hum","l15.hum","l16.hum","l17.hum","l18.hum","l19.hum","l20.hum","case1","case2","case3","case4","case5","case6","case7","case8","case9","case10","case11","case12","case13","case14","case15","case16","case17","case18","case19","case20"
"1",53,"2001-12-31",514,0,3.66162267554153,NA,NA,NA,NA,NA,0,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",54,"2002-01-07",913,0,5.22741825145503,3.66162267554153,NA,NA,NA,NA,1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",55,"2002-01-14",1023,0,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",56,"2002-01-21",887,0,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023,913,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",57,"2002-01-28",815,0,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,887,1023,913,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",58,"2002-02-04",792,0,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815,887,1023,913,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",59,"2002-02-11",803,0,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,0,0,FALSE,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792,815,887,1023,913,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",60,"2002-02-18",807,0,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,0,0,FALSE,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,792,815,887,1023,913,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",61,"2002-02-25",692,0,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,0,0,FALSE,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,807,803,792,815,887,1023,913,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",62,"2002-03-04",705,0,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,0,0,FALSE,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692,807,803,792,815,887,1023,913,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",63,"2002-03-11",700,0,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,0,0,FALSE,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705,692,807,803,792,815,887,1023,913,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",64,"2002-03-18",769,0,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,0,0,FALSE,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,705,692,807,803,792,815,887,1023,913,514,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",65,"2002-03-25",589,0,5.77251434672362,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,0,0,FALSE,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,NA,769,700,705,692,807,803,792,815,887,1023,913,514,NA,NA,NA,NA,NA,NA,NA,NA
"14",66,"2002-04-01",493,0,6.04321326982207,5.77251434672362,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,0,0,FALSE,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,NA,589,769,700,705,692,807,803,792,815,887,1023,913,514,NA,NA,NA,NA,NA,NA,NA
"15",67,"2002-04-08",718,0,7.11886539299247,6.04321326982207,5.77251434672362,8.29549818551675,7.50832998514864,7.25402371732974,0,0,FALSE,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,NA,493,589,769,700,705,692,807,803,792,815,887,1023,913,514,NA,NA,NA,NA,NA,NA
"16",68,"2002-04-15",823,0,8.929580366273,7.11886539299247,6.04321326982207,5.77251434672362,8.29549818551675,7.50832998514864,0,0,FALSE,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,NA,718,493,589,769,700,705,692,807,803,792,815,887,1023,913,514,NA,NA,NA,NA,NA
"17",69,"2002-04-22",781,0,10.3027366370076,8.929580366273,7.11886539299247,6.04321326982207,5.77251434672362,8.29549818551675,0,0,FALSE,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,NA,823,718,493,589,769,700,705,692,807,803,792,815,887,1023,913,514,NA,NA,NA,NA
"18",70,"2002-04-29",797,0,10.3516032615679,10.3027366370076,8.929580366273,7.11886539299247,6.04321326982207,5.77251434672362,0,0,FALSE,8.29549818551675,7.50832998514864,7.25402371732974,6.86821233449493,6.08548285080094,6.91730132784567,8.4338808831122,8.59339579449043,8.31111050639947,5.69028577113823,5.22741825145503,3.66162267554153,NA,NA,NA,781,823,718,493,589,769,700,705,692,807,803,792,815,887,1023,913,514,NA,NA,NA
