"max_lag","geom","pois","lin","unres"
1,5276.44069437492,5276.44069437492,5276.44069437492,5276.44069437492
2,5278.44352463594,5278.44352476452,5278.44352463594,5278.44352476452
3,5278.44352452111,5278.44352470677,5278.44352463597,5276.51709910351
4,5234.97895886581,5278.44352470677,5278.44352463597,5159.13517445065
5,5198.13707751015,5278.44352470708,5214.74420247275,5159.25546223326
6,5199.0107102381,5278.44352470708,5213.79133561699,5160.99536535122
7,5195.68112564108,5278.44352470707,5217.27868135589,5161.12170967224
8,5193.75639703592,5278.44352470706,5213.79133542159,5162.12389822196
9,5192.96052396646,5278.44352470706,5217.25355124627,5164.13458414022
10,5191.96164465492,5278.44352470707,5216.44509850168,5166.12528888361
