"max_lag","geom","pois","lin","unres"
1,2384.28076590324,2384.28076590324,2384.28076590324,2384.28076590324
2,2294.60991972957,2294.60991972957,2294.60991972957,2294.60991972957
3,2293.07229283746,2290.87152032581,2291.28900235472,2292.68771316194
4,2290.18363559992,2288.67614143754,2291.28900235472,2289.44626936089
5,2288.98642416344,2288.35781228956,2291.28900235472,2290.22838712708
6,2286.91752055553,2288.23496263564,2291.28900235472,2287.39946953614
7,2284.93341422345,2288.20703597254,2291.28900235472,2283.2891285798
8,2285.05047202116,2288.20627591434,2291.28900235472,2285.62145446538
9,2284.82847880577,2288.20608481006,2291.32951091958,2287.20605662896
10,2284.68775955832,2288.20606590479,2291.32951091958,2289.13219991991
