"max_lag","geom","pois","lin","unres"
1,1751.85943302312,1751.85943302312,1751.85943302312,1751.85943302312
2,1665.70821490509,1665.70821490509,1665.70821490509,1665.70821490509
3,1670.65007573749,1666.92786019629,1668.32356385847,1666.87136864384
4,1670.87945758275,1666.57538143134,1668.32356385847,1668.20133385514
5,1668.19118817822,1666.09449406692,1668.32356385847,1666.7123043347
6,1665.10993631096,1665.91489023052,1668.32356385847,1662.8856822932
7,1662.00941893865,1665.87021914632,1668.32356385847,1658.90041653453
8,1662.04459972978,1665.86896424877,1668.32356385847,1660.85345631723
9,1661.54771669463,1665.86865093875,1668.32356385847,1662.68963518635
10,1661.32844802056,1665.86862501237,1668.32356385847,1664.72009097922
