"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","dengue_sj",1,1,"geom",408,1100.75290824939,21748.4629256701,998,1196,830,1408,1168,6.07186468781964,0.686983475132778,0.689290342742393,6.07186468781964
"2","dengue_sj",1,2,"geom",408,1048.26235341229,22498.6199952704,944,1145,778,1363,1186,6.44758866055583,0.823068494684097,0.824652832626996,6.44758866055583
"3","dengue_sj",1,3,"geom",408,991.878742179411,22631.9946027688,887,1088,723,1311,1090,6.24040656323136,0.753412797454132,0.755361860398543,6.24040656323136
"4","dengue_sj",1,4,"geom",408,937.30898420316,22505.4430130353,832,1032,671,1258,1019,6.16557639172748,0.722399503508039,0.724500010808607,6.16557639172748
"5","dengue_sj",1,5,"geom",408,882.640324629687,22787.7742813262,776,978,618,1208,1112,7.17842044227396,0.92633849006076,0.927101361951918,7.17842044227396
"6","dengue_sj",1,6,"geom",408,832.000994539602,22998.3043281214,725,926,571,1163,1048,7.07901362092923,0.913813196322463,0.914655800187891,7.07901362092923
"7","dengue_sj",1,7,"geom",408,775.484521898539,22620.1354226181,670,865,520,1110,1021,7.39709509477589,0.937750656115178,0.938363687089167,7.39709509477589
"8","dengue_sj",1,8,"geom",408,722.596334534124,21807.0928591869,619,810,475,1054,1004,7.77540377721051,0.95805020591224,0.958470143786015,7.77540377721051
"9","dengue_sj",1,1,"geom",409,1071.59642565128,20596.7011633976,972,1165,808,1370,1186,6.28300931113443,0.791304990766795,0.793172762189962,6.28300931113443
"10","dengue_sj",1,2,"geom",409,1011.50282461591,20733.0799271818,911,1104,751,1314,1090,6.10838971905791,0.71849931674849,0.720723446152439,6.10838971905791
"11","dengue_sj",1,3,"geom",409,956.627176525887,21192.820509537,855,1049,697,1266,1019,6.0594925438567,0.682681086754719,0.685016672548938,6.0594925438567
"12","dengue_sj",1,4,"geom",409,909.299547072409,21006.5988288501,808,1001,653,1220,1112,6.98012495813809,0.911999430746655,0.912929617708166,6.98012495813809
"13","dengue_sj",1,5,"geom",409,858.976097281132,21432.3036476241,756,951,603,1174,1048,6.85785197489016,0.895316327106198,0.896367496553875,6.85785197489016
"14","dengue_sj",1,6,"geom",409,795.939249960265,21187.9247556686,694,885,545,1114,1021,7.21705276346504,0.929739135434571,0.930473097829693,7.21705276346504
"15","dengue_sj",1,7,"geom",409,743.525757791663,19928.3533521795,643,832,499,1050,1004,7.56006651568965,0.955752468841778,0.956273309440439,7.56006651568965
"16","dengue_sj",1,8,"geom",409,693.606725857681,19815.7143703935,594,779,456,1007,651,5.81882014519533,0.411339230093905,0.414310338648225,5.81882014519533
"17","dengue_sj",1,1,"geom",410,1054.85680146918,19908.9614394227,957,1146,796,1348,1090,5.93209742015372,0.612662110869009,0.615315022747556,5.93209742015372
"18","dengue_sj",1,2,"geom",410,996.794514223264,20220.1990509046,898,1088,741,1295,1019,5.90752480706431,0.5797100227189,0.582428931107185,5.90752480706431
"19","dengue_sj",1,3,"geom",410,946.805973227606,20781.2860069082,846,1039,689,1253,1112,6.65903264526252,0.871408637192116,0.872691023485136,6.65903264526252
"20","dengue_sj",1,4,"geom",410,899.325503698321,21073.2381642313,797,991,644,1211,1048,6.55520023965116,0.847685321879064,0.849108019837002,6.55520023965116
"21","dengue_sj",1,5,"geom",410,835.55675601205,20473.0403387236,735,925,587,1146,1021,6.8572629313397,0.896718416214119,0.897770205028779,6.8572629313397
"22","dengue_sj",1,6,"geom",410,775.683542252822,19884.1446983127,676,864,531,1082,1004,7.24714846775127,0.936124695592095,0.936836897956153,7.24714846775127
"23","dengue_sj",1,7,"geom",410,724.018811115614,18777.9492374067,627,810,487,1020,651,5.86742945149413,0.314614111976724,0.317444250977945,5.86742945149412
"24","dengue_sj",1,8,"geom",410,734.748991322204,19731.2196642106,635,821,495,1043,459,8.18116406484242,0.00917954010803704,0.00945941606470822,8.18116406484242
"25","dengue_sj",1,1,"geom",411,1010.57397868478,18310.5841419371,916,1098,762,1292,1019,5.83797527194776,0.540549373016964,0.543464111224502,5.83797527194776
"26","dengue_sj",1,2,"geom",411,959.908054077185,18810.7368057312,865,1048,714,1247,1112,6.55172619157788,0.864782226535123,0.866209875609389,6.55172619157788
"27","dengue_sj",1,3,"geom",411,908.387282461796,18719.5980590454,813,996,664,1198,1048,6.4688009336794,0.846328790534131,0.84787987500561,6.4688009336794
