"","h1","h2","h3","h4","h5","h6","h7","h8"
"t_cond=356",2.06355676767541,3.79588764688916,2.33700026834758,3.12838050511818,2.24266263983282,2.07082185930184,1.8168732301862,1.90679744430491
"t_cond=357",4.07432709681267,2.27815503600988,3.21936772290078,2.19762409319336,2.02881631305831,1.73718236997486,1.85206533555094,2.13875581271209
"t_cond=358",2.31334190799327,2.66943024330189,2.27359260095064,2.22784946104984,2.37020077036444,2.13201673533762,2.17928727474803,2.31732109404874
"t_cond=359",2.6584992583885,2.16661141920983,2.13516598322679,2.25529198507533,2.02521000906624,2.08634654583983,2.29601112632639,1.8897778929687
"t_cond=360",2.25941851172132,2.25722777928547,2.56172750717259,2.20866906333213,2.14867512085165,2.27585963828908,2.0692744198629,3.18027434255081
"t_cond=361",2.08393675511368,2.36491100778328,2.03269879500711,2.02797104994028,2.21807316144093,1.91796883697452,3.31503736843701,2.58386458389563
"t_cond=362",2.13595324582004,1.84819305648087,1.92661241173296,2.20357222134438,1.74213536784334,3.59415094505973,2.66380322080654,2.16090754111397
"t_cond=363",1.59996781135165,1.89382142317289,2.37399967435005,1.44685304737952,4.19246642212156,3.02060979918671,2.24245047180821,1.88556142557981
"t_cond=364",1.84923494543513,2.39285610233392,1.39501376335883,4.51283090672392,3.1185567796318,2.21378214259231,1.82783181545253,3.95232999018006
"t_cond=365",2.21105581396609,1.44892944227611,4.32745669102795,2.94087584104852,2.13858738739736,1.79449457653502,3.70017932637241,1.52394703796774
"t_cond=366",1.70737134195573,3.91508717402214,2.63203200664352,2.00027123552548,1.76187212278843,3.45904267309942,1.61288251750734,3.08307405698842
"t_cond=367",4.98389030723759,3.01360421312999,2.05640502564669,1.72522927817291,3.91019287305008,1.46977046462671,3.35849351643253,3.66728859175293
"t_cond=368",2.19025072205563,1.96757043833941,1.94624542719186,2.85759704376755,2.04317908971312,2.69068220723869,2.93767142348468,2.59075623552972
"t_cond=369",1.97817169469381,2.02816737748437,2.78157856577656,2.20480251604111,2.65086605860429,2.86611829167017,2.5436455980405,2.24076105547969
"t_cond=370",1.87884224408912,2.85109486577036,2.03122862691858,2.63723741594478,2.88551585709001,2.4979607398756,2.14129808338995,2.7863330657088
"t_cond=371",3.17137960884035,1.7827242937287,2.78832718029187,3.04712280239751,2.54297540642256,1.98746316259761,2.80681626827695,3.73747844417179
"t_cond=372",2.47245642191156,2.41788968484395,2.66046244421218,2.39589269287628,2.32873546118406,2.63429215324013,3.35154246604964,2.81767298456997
"t_cond=373",2.64385062974244,2.98934551413066,2.39352624127892,1.94154749672422,2.72397763860613,3.68899128831654,2.75406897422164,2.39219213088652
"t_cond=374",2.58356420764852,2.26087375297674,2.22379742165266,2.5534329568953,3.38407994872448,2.68603709829793,2.50851570602036,3.35522744652748
"t_cond=375",2.25298870420172,2.56285143355566,2.51101360976294,3.16990828088491,2.68085704447239,2.79211281993105,3.26354832880537,3.30365992456618
"t_cond=376",2.48880441167599,2.42382374624704,3.16576909488154,2.59725367282085,2.67734334204014,3.22806853481104,3.23104816312021,2.90267311323261
"t_cond=377",2.37142443818525,3.56265039065354,2.4882784205439,2.28708520448256,3.32488187545045,3.33199355875947,2.63552738142681,2.65539893912416
"t_cond=378",3.35404406663237,2.41492871904812,2.4110997416763,3.20255534267691,3.23838254877387,2.69809788945965,2.77169519898996,3.13186476477548
"t_cond=379",2.57036779469903,3.04069654961288,2.99955280267856,3.05873769648384,3.04706250918374,3.20486514675253,3.21673572212985,4.05804422752757
"t_cond=380",2.79328360394478,2.95169783710657,3.01839703816229,2.81086319667449,2.98056550030054,3.08636068550018,4.14395113495254,4.47144020903548
"t_cond=381",3.15825402378076,3.14402664396647,2.49490320704541,2.56308287722442,2.96690477700022,4.59104924059222,4.94165105543799,4.74001109791607
"t_cond=382",2.83907648064333,2.77662524658155,2.94031774293849,2.93969578941467,4.1709097504316,4.52292694647721,4.37545792660291,3.07077482201977
"t_cond=383",2.91731339271632,3.13763083686205,2.94225672922196,3.995857011832,4.46833886730475,4.32114196434021,3.0965409404868,4.51631522952305
"t_cond=384",2.69545338750811,2.75049128370719,4.52264691838876,5.03546585592623,4.68618166573878,2.85638386418886,4.94157239031652,7.15485294470583
"t_cond=385",2.70049675545665,5.38201353494218,5.97120224352907,5.39592673657297,2.72825527603726,5.47423864128882,7.9887278134345,5.11961894430142
"t_cond=386",5.31499073810993,5.83902574348226,5.14755402151635,2.69844688063396,5.40917084214931,8.10644685724035,5.02730584772235,6.08764538262465
"t_cond=387",4.17965841256978,3.995885875343,3.24854207864315,4.26729373676632,6.39703513865552,4.1847771103414,5.02581072396495,4.87694535705977
"t_cond=388",3.6293034544384,3.89048557761256,3.93012838659944,5.62464009985714,3.91466097154435,4.57562044204665,4.48396802396809,4.66322082266488
"t_cond=389",4.18974553345335,3.81754716852557,5.50037685246023,3.81678598211931,4.47236052108117,4.37374868488244,4.55905814345666,3.72344486068656
"t_cond=390",4.15240000610461,7.08358579670861,4.01993657729872,5.05273137896702,4.87315995797337,5.04451031414256,3.80514185714127,4.58013919090583
"t_cond=391",6.26985363604419,3.7290976629653,4.55555884210626,4.45262869629267,4.66713163939305,3.65686838663437,4.24795811656514,4.07357602235286
"t_cond=392",3.88261512395554,4.05972002940394,4.05976742860064,4.15645148020129,3.85673382339626,4.01675806531613,3.95520867566749,3.90397309307423
"t_cond=393",4.00528824221122,3.98480776522825,4.1428450131289,3.7035660211382,3.96116534868541,3.84031003506398,3.81634901790776,3.6063689652438
"t_cond=394",3.90232710496124,4.03798404105173,3.73307589111763,3.90700265929768,3.82814668323552,3.79377587333896,3.78691925513259,4.40127127094579
"t_cond=395",3.95631628119397,3.74994745587925,3.85156826519441,3.77832684597483,3.76920517301258,3.78273306238421,4.64212210943078,3.80717596649513
