"","h1","h2","h3","h4","h5","h6","h7","h8"
"t_cond=408",6.07186468781964,6.44758866055583,6.24040656323136,6.16557639172748,7.17842044227396,7.07901362092923,7.39709509477589,7.77540377721051
"t_cond=409",6.28300931113443,6.10838971905791,6.0594925438567,6.98012495813809,6.85785197489016,7.21705276346504,7.56006651568965,5.81882014519533
"t_cond=410",5.93209742015372,5.90752480706431,6.65903264526252,6.55520023965116,6.8572629313397,7.24714846775127,5.86742945149412,8.18116406484242
"t_cond=411",5.83797527194776,6.55172619157788,6.4688009336794,6.69686105167283,7.17339951704607,5.89785963287279,8.44174474078243,6.17134259649082
"t_cond=412",6.53479599220962,6.45511181977359,6.72683825229527,7.18632909870859,5.86876038931595,8.79331629480055,6.16925589104239,7.39935192772571
"t_cond=413",6.07367887000595,6.26415926371766,6.64072022794309,6.25353804040436,10.0969570779376,6.341355772712,7.09954388124488,5.97168352021048
"t_cond=414",6.06015382102543,6.36368831503242,6.55160807912685,11.1578075629209,6.50996354434592,6.91575924010761,5.96481183374214,6.11719826452331
"t_cond=415",6.13008091203481,7.01691721016139,12.561120184289,6.67405922837934,6.74639209065232,5.99127494160107,6.29695286409748,6.46176091742009
"t_cond=416",7.74410249484089,14.1236442390649,6.94149782584148,6.59405367769446,6.02274627557373,6.44391526545667,6.75322353572073,6.68384994125203
"t_cond=417",12.3459812155366,6.43803527119463,7.0259820464403,5.90594054150907,6.02225988094767,6.22500607956603,6.18452480650105,6.03293686023871
"t_cond=418",5.93922018661472,8.45551677474193,6.22795370054003,5.81713862707801,5.76613286683763,5.78360931946917,5.82491670086764,5.95932202300305
"t_cond=419",8.96434923118365,6.3060698201861,5.74392555037059,5.68331583669223,5.70171990625089,5.75006776748835,5.98846676042326,7.0062574723017
"t_cond=420",5.72752067365613,5.94671484536091,6.18360566305913,6.23488136482707,6.05244537839176,5.82521681574471,6.11582456207676,6.14040204933159
"t_cond=421",5.93665787175826,6.17435263385017,6.20574213240156,6.05848470960527,5.77514063895033,6.09935191248403,6.0935643778627,6.56527618458566
"t_cond=422",5.92148926476798,6.06189386862649,5.87695500427498,5.65833311406932,6.21347280518604,6.16581393324035,6.69954193716653,6.8644901941769
"t_cond=423",5.59623745533965,5.53605524524705,5.66437236301875,6.75547788709839,6.63531462245065,7.2653494625533,7.45561554086086,6.2030502449109
"t_cond=424",5.49154584702501,5.62763416005536,7.0608505529504,6.84893403073756,7.65200022164996,7.72507003718516,6.17712014200456,6.16002129687077
"t_cond=425",5.67749107234045,7.50522931935321,7.25306329843052,8.11516958227136,8.01139326054257,6.29484163780157,6.04644686617323,6.93994431669665
"t_cond=426",7.11317200061412,6.84860093957268,7.74806262574838,7.70602800851169,6.03524470185001,6.28035858089642,6.68020552689643,6.24797375185882
"t_cond=427",6.1969271379789,6.90272610053591,6.96905668200502,5.71716608405008,7.31054200075751,6.23977396351123,6.00946551960957,6.12544532619461
"t_cond=428",6.53083064046113,6.56527919384779,5.69484753414617,8.29881055897505,6.00281941964901,6.00618844865241,6.22746322932112,6.31139513173529
"t_cond=429",6.15985656495681,5.83933305769291,9.50858676474432,5.9124323601186,6.19162124971286,6.53308762762725,6.56359701435395,7.54942414460136
"t_cond=430",6.23527549830875,10.9207463682609,6.04527897134363,6.57447197545247,7.00277573059988,7.05775849316588,8.26140268707256,7.31207870001751
"t_cond=431",7.424558635891,6.37900839843822,6.17262071978332,6.20139123671277,6.31592884427047,6.46085472601171,6.56517215795105,6.64994674915977
"t_cond=432",6.03476732083895,5.78144782157383,5.87244691292288,5.97772429815447,6.37036823031822,6.25893933203328,6.48052534398883,7.49272920603735
"t_cond=433",5.78538949379026,5.9663532115942,5.94984707540599,6.64490536043018,6.36883392776735,6.71842305562045,7.16552190167196,7.11725041207424
"t_cond=434",5.89244237569921,5.89725641701657,6.59666217429231,6.29518576366257,6.63113305426465,7.25929609779701,7.1668678754956,7.60599262711849
"t_cond=435",5.82438219058951,6.41541350292859,6.14643503848202,6.42600711620402,7.53863587241703,7.44304885272255,7.83904427701421,7.28766638544595
"t_cond=436",6.39290300307468,6.11384967950476,6.40325047162641,7.68885184116766,7.47417132173556,7.96289080813686,7.32484996209434,7.25876294491358
"t_cond=437",5.96220759721855,6.165005313383,8.38959713343194,8.16621852637429,8.72562079869074,7.75687623356953,7.61595592542524,8.11817244979382
"t_cond=438",6.08695417804127,8.75968592512644,8.43523248041316,9.22770751865026,7.99016224158846,7.69914210258612,8.24837034624272,7.97937954789935
"t_cond=439",9.39865320491034,8.98435457289315,10.0261304518605,8.46055394382371,8.18697735859557,8.67256206491619,8.30284572431607,8.45124808917692
"t_cond=440",7.51026262875036,8.1151285376972,7.09898555609554,7.00055753170732,7.25446217823652,7.22933020128735,7.29680701773422,7.4518276068
"t_cond=441",7.46649837615586,6.71144246207742,6.65292734590416,6.82837361429596,6.82387876940262,6.97502627844292,7.02656839311788,6.88099999266184
"t_cond=442",6.64364242793093,6.93819736742482,7.15208201119497,7.2443592179719,7.34831086487368,7.48326061469047,7.38655795515646,7.44770778911241
"t_cond=443",6.5175773499149,6.61816760364546,6.66735430701893,6.71218967313796,6.80062652570541,6.82928999970628,6.84455303334332,6.90748635704881
"t_cond=444",6.7154358114069,6.9833599265413,7.2039129205775,7.37078146217362,7.29333174162658,7.38609504127091,7.61089978618655,7.43955421916158
"t_cond=445",6.63706233166445,6.97350141216306,7.21954020775733,7.19978087276378,7.26208392108056,7.47735235951271,7.35870264033542,7.27860215665937
"t_cond=446",6.67096307264566,7.0490104673892,7.07143825252864,7.21297501617057,7.47539309669468,7.30381679410673,7.30429063273518,7.0990457181337
"t_cond=447",6.61457979974391,6.63430508743489,6.65346996872659,6.70810396322219,6.70099369590145,6.74472857293428,6.90256498668225,7.03694688669151
"t_cond=448",6.66530856373691,6.91727034503283,7.17866716290355,7.14458681262142,7.15851150807161,7.04913500246754,6.95510805899197,7.04813611776575
"t_cond=449",6.63145165596672,7.14558548702451,7.07039235234822,7.09693660345056,6.99097189591236,6.91758582726429,6.98792272335177,6.92889851372744
"t_cond=450",6.61072574608719,6.53132330473393,6.54266446741134,6.71230247078501,6.92923677041809,6.62874841178655,6.6582481756689,6.70138405336262
"t_cond=451",6.53131571206781,6.54645671506781,6.78884613762014,7.05200327909278,6.71674235593433,6.67636250044268,6.71306742644358,6.5643531766488
"t_cond=452",6.47342024392301,6.7285444944144,6.96195695012947,6.62869517969872,6.61343118985676,6.67418545440592,6.54474250159724,6.68003023857629
"t_cond=453",6.64558414157411,6.90332333212909,6.54307412622579,6.5033534850698,6.53854232064344,6.47020967114055,6.54701137808342,6.47922792784335
"t_cond=454",6.67119261953784,6.37617871263753,6.36134036134497,6.36521982043213,6.41668159366032,6.40121692618857,6.47063210631257,6.42170229091324
"t_cond=455",6.29009655294933,6.27300245452225,6.2598059608746,6.47548817045947,6.26910915685418,6.53384245447027,6.42614235254478,6.97696049566425
"t_cond=456",6.23265656902394,6.21629343174039,6.48081526650241,6.22002169943625,6.53663411605768,6.41867578965304,7.01993902239562,7.63495097197235
"t_cond=457",6.18998332251224,6.4607351116952,6.16119444244099,6.48460943828995,6.40054137364383,7.04124896747003,7.73709514141365,6.87009697270951
"t_cond=458",6.44683822532786,6.12533693604766,6.47991171114227,6.31756150919619,7.14802306101681,7.7450397171579,6.89963299421566,6.58731277578792
"t_cond=459",6.1171700395087,6.33323309426873,6.20990440325932,6.8306032347352,7.45412160227056,6.68387489393362,6.43455627666135,6.3590559839903
"t_cond=460",6.33977135278391,6.19803818055945,6.91372734232535,7.62790508637198,6.78818460430924,6.47103510636995,6.38926843776909,6.29259754120219
"t_cond=461",6.11700526668648,6.72596520720876,7.40032355496112,6.57870090573943,6.29341728302294,6.2393087529794,6.15671042910954,6.20511140423707
"t_cond=462",6.64330935798652,7.33574726430145,6.47643164348927,6.18086853592313,6.16117492150883,6.10105696490371,6.33481675608307,7.51421440696924
"t_cond=463",6.96733996897523,6.23781780143998,6.04075767480464,6.00501035874384,5.9589817223071,6.71619497712999,8.17512069821422,8.2761866037272
"t_cond=464",6.07070895715037,5.99829752504953,5.99350671147325,6.02218416020099,7.50933483916424,9.25317737459907,8.84127208101011,6.24080487165722
"t_cond=465",5.97802954151916,5.97674496212968,6.01225394182389,7.78000451891432,9.51128160054366,9.19075442879818,6.23629094659243,6.04799948146042
"t_cond=466",5.92731201411443,5.93671511212685,7.78719702798873,9.79294086112698,9.20814538207357,6.20773267093643,6.01312281878274,6.49650883970378
"t_cond=467",5.87986268415055,7.71153166866501,9.83773654895888,9.13282679151619,6.16614216536062,5.98409108206988,6.5317433671597,6.241654965977
"t_cond=468",7.08465654081427,8.78461219135432,5.92511790844094,9.71016186740993,6.29574246277495,5.79535522560123,5.75644078124878,6.19164518615548
"t_cond=469",8.705941115629,8.28436568574191,6.14098107972858,5.97927958771049,5.94431219705925,5.91479497613603,6.04451328788933,6.06140667082456
"t_cond=470",6.91976521598207,11.385193105641,6.52183423382715,5.75472492668341,5.75667081453843,6.23470944463098,6.11203331448884,5.79773849252147
"t_cond=471",10.1906713672468,6.24547082132367,5.80060771553981,5.75497828978858,6.19320122026234,6.1022692323359,5.7856301102294,6.1331753157725
"t_cond=472",6.10088122565367,5.63280296710053,5.72031802525232,6.53830481201645,6.53850647178029,6.16643419256772,6.76046366555567,6.27495171820985
"t_cond=473",5.65767994418047,5.62862449698028,6.18520524759295,6.16449703448426,5.93033608663036,6.45789571078253,6.0636575256106,6.02042973140035
"t_cond=474",5.57879543178569,6.3651042970774,6.31787802360088,5.97221020979716,6.66837980967972,6.06600604928212,6.1427518339776,6.13606519674865
"t_cond=475",6.16335808567182,6.10065126278331,5.78504010945058,6.14111194364839,5.83820492419512,5.85223300830338,5.93940539765805,5.88587357656919
"t_cond=476",5.90585879372688,5.66124388481515,6.17637856527063,5.79151193778829,5.81596408996758,5.91869582843128,5.90088161369869,6.04080367323718
