"","h1","h2","h3","h4"
"t=208",1.33139503719838,1.5983550444716,2.14828870823451,2.08911836500565
"t=209",1.65004286010646,2.15994959786223,2.08388227810711,2.19091348520116
"t=210",2.15279544238171,2.09444449294821,2.20177407208897,2.18920385606386
"t=211",2.13898725542633,2.19384903013814,2.20562573487614,2.24169945187386
"t=212",2.00841559780104,2.19605663173396,2.25319694985488,2.15088706511106
"t=213",2.24829706639947,2.21824882455584,2.14122474780895,2.08692660872345
"t=214",2.13759048038996,2.09298121038706,2.05765933366905,2.02271061949871
"t=215",1.89915637278457,2.10939078496408,2.02368688563574,2.07071641038534
"t=216",2.06837176473652,1.95119315948014,2.03914875215243,1.79376987513752
"t=217",1.9189369812061,2.0576288287981,1.69592918787252,1.66921247319156
"t=218",1.88494170388114,1.736871036359,1.67010557718264,1.63200146401096
"t=219",1.63238240425961,1.62005711875596,1.62505061170923,1.9083281152525
"t=220",1.64290743942741,1.65953116045233,1.90775041903946,1.41902421546788
"t=221",1.52867983721921,1.86081936145586,1.39496201134723,1.5420787234741
"t=222",2.43273161742222,1.41310915752972,1.61372463117706,1.29671386189317
"t=223",1.22704746437005,1.36984315760599,1.21529574631813,1.387502706475
"t=224",1.3882367672078,1.21464175614287,1.36158896209507,0.981581303344686
"t=225",1.10805555112139,1.34832315161877,1.04582182311964,0.940207108754217
"t=226",1.34352272166731,1.04011817885301,0.946429740097379,0.829156664439144
"t=227",1.09854447917872,0.986480482111694,0.87436486875008,0.729292836525275
"t=228",0.747118320069857,0.670874512401021,0.654617245238057,1.31834881177299
"t=229",0.524931626582412,0.6135260265669,1.32826668222753,1.00964486565654
"t=230",0.56170510803058,1.49950219621797,1.02021078860663,1.06078649152286
"t=231",1.44582046503638,1.03821460045524,1.03260455882908,0.576838398319189
"t=232",0.867534857699767,1.00088823708829,0.586164778062038,0.758196060874864
"t=233",1.09861394163449,0.548288546742928,0.758136856805207,0.887717824116927
"t=234",0.758090908883038,0.758526204422597,0.866174704641943,1.52645235484651
"t=235",0.832112740840164,0.999265784888704,1.60743008069836,0.671577085498253
"t=236",0.822617244196755,1.53795345035346,0.674982139446667,0.823509097271767
"t=237",1.61379717128107,0.69519375733322,0.829776345112319,0.729212012438644
"t=238",0.67334755399177,0.824318462613132,0.723124144820146,0.94351087308777
"t=239",0.822578275673604,0.727530909505394,0.939507633640522,0.705752455732683
"t=240",0.685581987377908,0.944791291059864,0.700656212453266,1.03313798510991
"t=241",1.00234077272578,0.690608205370359,1.02799411222027,1.11793638727809
