"","h1","h2","h3","h4"
"t=208",1.37024787069261,1.61963952031031,2.11487647425348,2.03460072319373
"t=209",1.60104345071621,2.13497509152959,2.00411346638456,2.0936720371136
"t=210",2.17842639174502,2.0436059512478,2.14394522776569,2.14949557508803
"t=211",2.11201175032015,2.10127303877696,2.18288252874691,2.18155311888754
"t=212",1.95134924943117,2.20439752010443,2.22956014717983,2.10202339926462
"t=213",2.30869486800394,2.19803702475491,2.08949218550987,2.04849297007097
"t=214",2.13886389916189,2.05783412295088,2.0494895467385,1.98008011865381
"t=215",1.87969021188126,2.1014011421138,1.97118629205471,2.06517810671564
"t=216",2.08482249735323,1.91253045681143,2.05403276460047,1.77109033247799
"t=217",1.76528731296722,2.05162344216892,1.68156511354145,1.63918145846114
"t=218",1.91432096239467,1.69213372837785,1.58056714131863,1.59427723938177
"t=219",1.62216297142979,1.49123376378517,1.56931167273146,1.82994096096899
"t=220",1.51378633178187,1.60760941884126,1.81920845854003,1.37672780231488
"t=221",1.54008067024498,1.75484213017125,1.35117707137578,1.46053142106302
"t=222",1.97420781666242,1.3850704012503,1.54465939010739,1.26315581992552
"t=223",1.24263076178248,1.27330194399452,1.11107522256052,1.38900430972048
"t=224",1.27797743940109,1.1025964752169,1.30581340520884,1.00017697870893
"t=225",1.04964583373564,1.30615368219938,1.06053476880978,0.98876326140794
"t=226",1.31677779567235,1.06162018550912,1.00562921721648,0.89781816950829
"t=227",1.08400015578868,1.0396211507751,0.959437375873506,0.769606396279365
"t=228",0.867865324159527,0.761522805931815,0.667178176829955,1.25228396403888
"t=229",0.587120319577133,0.592844134972315,1.25128431866843,1.02942620218925
"t=230",0.541383993460203,1.5160575350269,1.11977172723199,1.23593766211145
"t=231",1.56694811505463,1.19305557225138,1.16449490878244,0.534093820694292
"t=232",0.88983508939729,1.08485020862642,0.540340968743292,0.789609370701688
"t=233",1.15897805803917,0.517080361328924,0.789268873731698,0.95425981380044
"t=234",0.6897290247072,0.793571152934364,0.915085524131761,1.56131033404749
"t=235",0.859644290030883,1.1276303960627,1.71461112405315,0.66164782306804
"t=236",0.892088893869405,1.70913162515995,0.666180158400692,0.800209892629928
"t=237",1.79906205781027,0.717088559124148,0.817058873942119,0.721494684671984
"t=238",0.69173830692842,0.808524952646358,0.718731952191214,0.978114697448512
"t=239",0.821221464083178,0.728144087627149,0.953111218893988,0.704416791957591
"t=240",0.692923059900827,0.988926493879329,0.69766239908271,1.00367088882382
"t=241",1.08012557084479,0.700896252026289,1.00180582842551,1.10572299491338
"t=242",0.636007988555218,1.03573478391507,1.13572174156738,1.03076237767712
"t=243",1.03564854990849,1.13252157150055,1.04382125083488,1.27692749283376
"t=244",1.03578087775364,1.00224526160988,1.26468850860045,1.1901639575585
"t=245",0.987317042477185,1.27629919044186,1.23488121249148,1.33907555547636
"t=246",1.27304605853929,1.2294039087189,1.32843466822302,1.30617049847884
"t=247",1.25159448435242,1.34008202965759,1.3105898803349,1.42389453557895
"t=248",1.15946415973698,1.22939536268678,1.39734173296038,1.58941408380314
"t=249",1.13665560557084,1.32194684718525,1.57013244869171,1.496219250896
"t=250",1.27785880640756,1.51244404281371,1.47413157580698,1.699365744745
"t=251",1.49940136266639,1.50096268222453,1.74349458427239,1.82488474294681
"t=252",1.43957553768707,1.75569603696738,1.8540696188783,1.82999564561851
"t=253",1.75942875453698,1.84500129956357,1.82307281409066,2.10205427065624
"t=254",1.95210084801505,1.6789756353146,2.06269517896275,2.15009463352657
"t=255",1.6395358633485,2.04749295715636,2.10209761166972,2.81101799577105
"t=256",1.98418754405945,2.00981200740888,2.74442794177543,1.82966993847388
"t=257",1.89410028479871,2.62321206313334,1.77738831802723,1.79322958123098
"t=258",2.13010716183817,1.5768091921712,1.63774297024529,2.07151370919785
"t=259",1.44785333696783,1.72273897220688,2.15719218048357,1.72577439966428
"t=260",2.05335437229558,2.41106099319125,1.65616894284361,1.88727989476489
"t=261",1.84659254917882,1.73887235577132,1.86714719994363,1.83943483565529
"t=262",1.91625305282319,1.87445671091815,1.98910531712404,1.95301620336246
"t=263",1.82725472859905,1.7115304935061,1.76691378046989,1.84375660763347
"t=264",1.90598176573296,1.87149796116064,1.95247445021238,1.88820418139053
"t=265",1.67724986218089,1.78660513826195,1.71456772450018,1.74523166851048
"t=266",1.72003272302357,1.67104557035727,1.70774863877591,2.81911214292898
"t=267",1.55582604790922,1.72629176894987,2.96765230762286,2.41326214715956
"t=268",1.71240068104813,3.07404888572727,2.5078334683748,1.96957716296065
"t=269",2.98636046757733,2.35723275599094,1.8779741642311,1.94719186342312
"t=270",2.47784137854951,2.10457608177119,2.08580308297157,1.7777427120267
"t=271",1.83661915500373,2.0187877085261,1.80604296143025,1.75553706193329
"t=272",1.93041874698146,1.79643323044897,1.71693332257545,1.54412348520922
"t=273",1.65505173892602,1.6970975544191,1.49615493582185,1.81897831753301
"t=274",1.69667334937049,1.43518019726676,1.89731882159428,2.25764975344012
"t=275",1.35727063702643,2.07468868169709,2.72240581756775,1.06719519884687
"t=276",1.84847768911448,2.34972197312311,1.05235217308333,1.14660989603606
"t=277",1.9735229498414,0.970232407909453,1.09405538228636,2.46328558847209
"t=278",1.13587497576644,1.08343828481707,1.79213837938884,0.999801967948671
"t=279",1.11188891739054,2.13453112117579,1.01830286195926,0.911064284839979
"t=280",1.7856294957071,0.976394368694118,0.950325504255079,0.59316456694947
"t=281",0.800328684710849,0.989506663519658,0.666426726319107,0.617843003351368
"t=282",0.922371819330421,0.661027897410265,0.600344656328506,0.565773807172653
"t=283",0.662478870068846,0.524338687328378,0.480605898320663,1.61095566936155
"t=284",0.5688674018945,0.495020045467473,1.54370521893215,2.17545139225424
"t=285",0.455391900396568,1.52429711609394,2.09259625505005,1.08076315450458
"t=286",1.38141301694416,1.98602537290021,1.05920671803932,0.733766436790971
"t=287",1.59848654111449,0.98428746563546,0.64167098273883,0.804372277583552
"t=288",0.849973839077365,0.613926889829133,0.839808903895762,0.642385336198892
"t=289",0.513780796541297,0.813579289489459,0.650230632294094,0.648889540608338
"t=290",0.777897508290618,0.665484437106961,0.654044874014491,0.81954122004997
"t=291",0.51542971199462,0.54777629628737,0.794964449879187,1.17277369409392
"t=292",0.462107068727468,0.782517465436946,1.20342791908486,0.924755484356983
"t=293",0.75670664798045,1.21434514699849,0.920696374243959,1.00714049075709
"t=294",1.22941931595677,0.943860190981073,0.996245401652239,1.49107515309822
"t=295",0.904490186157503,1.01906454344756,1.40418095106265,1.47574585451786
"t=296",1.0473039553648,1.32206163580438,1.4747856597375,1.10822186019987
"t=297",1.42703403819849,1.56433826738537,1.13278997153529,1.25410210180939
"t=298",1.57664670741796,1.10988174281094,1.22123675402626,2.83042499746128
"t=299",1.13364000190488,1.23401287272405,2.79625248707445,1.94157419437916
"t=300",1.2152543269536,2.73648670442225,1.96575156763563,2.24868286032136
"t=301",2.56817625781975,1.95166999280525,2.18184911128481,2.23541298576919
"t=302",1.88833314259368,2.03323021314037,1.96805899147845,2.93957412670511
"t=303",1.89144381524304,1.97942716727405,3.07494059556984,2.72059413222078
"t=304",1.90476886175954,2.91943934719415,2.71823634639616,2.9238438201549
"t=305",2.49907550423819,2.45849378138531,2.72200937116187,2.19114106484476
"t=306",2.14112584309952,2.43564610204326,2.25103615686218,2.22954617983999
"t=307",2.32428209945087,2.25826770351261,2.21447702705688,2.69091265866481
"t=308",2.21873720048645,2.17777351738102,2.67474940771704,2.39396201196246
"t=309",2.16776081182674,2.79468659052366,2.37000808838431,2.29796094414672
"t=310",2.76810101887481,2.42489902805199,2.25587415954178,2.27605753908434
"t=311",2.36492134882898,2.07825820203384,2.26359534824897,2.87423133732255
"t=312",2.14540212713771,2.24419757931365,2.9291438423522,2.22133558375351
"t=313",2.3770627300676,2.77675161161019,2.31614358416154,2.38176761480464
"t=314",2.78754764692657,2.39141979275541,2.39146418494797,2.23638919647777
"t=315",2.46060109505313,2.26200645914169,2.27774901190491,2.297253533358
"t=316",2.21850972133804,2.31777102124139,2.1763960536949,1.97771611052878
"t=317",2.27377824517355,2.10754644187549,1.99086040158774,2.30777733516134
"t=318",2.10971741631399,1.96869752789399,2.34039382320514,2.31859049859517
"t=319",1.90278274966798,2.40366411320829,2.20513324157112,2.27081483384586
"t=320",2.34203990432854,2.15567962374967,2.13610153924823,1.95061593154077
"t=321",2.21855817879391,2.15200908623976,1.88508605994914,3.25189582384167
"t=322",2.19719837436683,1.95686112044092,3.44129482333,1.81874057489335
"t=323",1.95568016459877,3.28347629087821,1.83320015668989,1.86552694320046
"t=324",3.57043634397955,1.86784066129166,1.87166973639697,1.76992480692752
"t=325",2.07447976778191,1.86843007501993,1.82648522941261,1.74336595966867
"t=326",1.66139702791728,1.70701545182998,1.91306523649366,1.62246391785686
"t=327",1.71646455820982,2.7373434653391,1.87087192663872,1.25605941638567
"t=328",2.31441526310561,1.87984684239807,1.2458214389174,4.75384012056891
"t=329",1.36247446825068,1.39807615173745,3.96846819792108,0.940465068423297
"t=330",1.26326424520852,2.61995287364247,0.84664960081788,0.814179598068117
"t=331",2.5444084429428,0.775397263512451,0.851253293414168,1.41453969598594
"t=332",0.710070448626957,0.897130016298497,1.22237215161551,1.06176289316668
"t=333",0.965543678990574,1.27232374687222,1.05504737666948,1.0139625375989
"t=334",1.12879463743689,1.05980319921219,1.0772355194332,0.729853471116264
"t=335",0.987738515061907,1.02488689879255,0.739929496881187,0.945150992560522
"t=336",1.00744656321002,0.802896396055807,0.857627021946247,0.582329701031386
"t=337",0.873379661792182,0.832221028396268,0.584604193796165,1.81540553244023
"t=338",0.920863129767057,0.564991077968081,1.98699138470922,1.67636455975416
"t=339",0.571298071443512,1.61255751901765,1.62361884091385,0.822094073153394
"t=340",1.75204473248435,1.58355601208845,0.815068381894145,0.967303672214242
"t=341",1.26956665259137,0.880115552628632,1.02354646736231,0.736688421590277
"t=342",0.928897280623578,0.972778755707909,0.731016933170746,1.02556768779129
"t=343",0.985992141456844,0.677297403284213,0.994254799426923,0.819095172610505
"t=344",0.665284753978614,0.955541230761655,0.821743780006376,0.770357176453667
"t=345",0.960789453528069,0.805993872858723,0.741489026050825,0.948811948170587
"t=346",0.741935881687621,0.731923681140008,0.949041076979306,0.924694958433879
"t=347",0.716168581010692,0.989033818318132,0.920775201563667,1.305387355514
"t=348",0.935877754594474,0.88117662138756,1.29773072014776,1.2094063137029
"t=349",0.872482901043577,1.2852062914179,1.20311483086433,1.7283194816654
"t=350",1.22203242666848,1.19448942518825,1.75680883063867,1.82673925049649
"t=351",1.13690121473175,1.76202085984821,1.7604200248282,1.57464632305398
"t=352",1.68468206479894,1.91733050062818,1.55508239682238,1.57792972133569
"t=353",1.88773212331203,1.50828586682743,1.64380006611542,1.68801410702626
"t=354",1.51989210180027,1.72583069433574,1.72409122923636,1.86134026992833
"t=355",1.70323593206683,1.71421275653666,1.84278746562436,2.17296828620788
"t=356",1.60068094046273,1.77251673104048,2.23998415739106,2.15510309891015
"t=357",1.79276605984207,2.24047265233065,2.14941880156577,1.98572784737598
"t=358",2.23403251655597,2.06491808183213,1.89615434229616,2.62585380027275
"t=359",1.92098077945043,1.91859095966984,2.55228929366943,2.95646696790532
"t=360",1.8969762800558,2.53025129003361,2.88816936434609,4.66235524262607
"t=361",2.70925051680835,3.05479220069738,4.94273203054487,NA
"t=362",2.76179689954194,4.50221173803688,NA,NA
"t=363",3.23109776605984,NA,NA,NA
