"","h1","h2","h3","h4"
"t=208",1.3984741071784,1.60881288037417,2.12578044352398,2.03210208112767
"t=209",1.57950724844278,2.16410323963156,2.00025008728825,2.1025472515038
"t=210",2.1986353183789,2.0512295134254,2.15957050360863,2.14616741775303
"t=211",2.11793086807724,2.11641519411211,2.1830658336365,2.19073200398524
"t=212",1.96933265329519,2.20854204079841,2.23470720416286,2.1099911852913
"t=213",2.30334550393404,2.2106308856017,2.09901796574128,2.06397951493083
"t=214",2.15299108074933,2.06049648070588,2.05932906735512,1.99003290245664
"t=215",1.89461031330533,2.11363611893051,1.97717280947714,2.06755387206816
"t=216",2.09639811476671,1.91070580868291,2.05453053011968,1.77825194018858
"t=217",1.75936693948628,2.0710902377021,1.69032345667581,1.64711231623247
"t=218",1.92864750556721,1.69130997634823,1.58300947003566,1.59587548618223
"t=219",1.61970881100739,1.48559604596514,1.57380040398659,1.84025385626269
"t=220",1.50400173334276,1.61526563248498,1.83148346984488,1.39129407183616
"t=221",1.54865958034063,1.76653938581268,1.36179171024994,1.47772868095341
"t=222",1.96994579729143,1.40763478129027,1.58089619884927,1.27896582196454
"t=223",1.25891565077744,1.26491430672401,1.11458777975216,1.39251850276217
"t=224",1.25802847747063,1.09868582421018,1.30347573940434,1.01000550566707
"t=225",1.05738730123464,1.30282122230678,1.07331291438337,0.994252927508522
"t=226",1.31584786767381,1.07351259481055,1.01110806744893,0.900605534259164
"t=227",1.09017970743346,1.04609443292705,0.96190729030264,0.770041229777244
"t=228",0.874632428008671,0.734937128905159,0.655783889038832,1.26571238984577
"t=229",0.560401455025875,0.580141263996668,1.28064753606056,1.04024139178848
"t=230",0.564292371632845,1.63884275945037,1.14682612231542,1.24536781778543
"t=231",1.65253491553427,1.22678465439571,1.15272260993167,0.537836804675973
"t=232",0.922559878710269,1.06344337236626,0.550487453948546,0.784148849240784
"t=233",1.12849943028297,0.521155376298039,0.784018239919543,0.933263146372298
"t=234",0.670824468577982,0.797595330002123,0.89737502376265,1.5398721258822
"t=235",0.845435782826491,1.12682641581297,1.6945298739848,0.666112761567879
"t=236",0.914814954801346,1.71852017485005,0.670841687422656,0.806408728849821
"t=237",1.79736319704043,0.729203922322937,0.823396227761753,0.720640219470157
"t=238",0.702579296552261,0.813316811177797,0.716271923081273,0.981012614083135
"t=239",0.826110770169471,0.725372192715432,0.951991244804315,0.7083338882991
"t=240",0.692489989164981,0.997396284478314,0.700954567652456,1.0089599121123
"t=241",1.09839158878098,0.713182451892516,1.00849857865757,1.10063741508675
"t=242",0.646676107593768,1.05200695646642,1.13058237383446,1.02477425990641
"t=243",1.0459198341645,1.12821039543045,1.03817957601356,1.2727413264833
"t=244",1.03788952064866,0.992262257160401,1.26031355361855,1.18638623483547
"t=245",0.979309931167039,1.27446817582703,1.2315094469119,1.3335962067278
"t=246",1.27127965065585,1.22687443979272,1.32338122806606,1.30286437226934
"t=247",1.2449351322139,1.3323978267733,1.30624496980132,1.42156605319602
"t=248",1.16455599022895,1.21837336459292,1.39587295607773,1.58527420635679
"t=249",1.13463511430165,1.31457318165725,1.56343411002781,1.49396026337546
"t=250",1.27373820318122,1.49802490636365,1.47319226550518,1.70202248483868
"t=251",1.48921927646836,1.5050927249327,1.75235359635151,1.82905716762337
"t=252",1.45229023352228,1.766921291955,1.85764560833282,1.83489271815852
"t=253",1.76589086249271,1.8483242161028,1.82420549904097,2.1059295981606
"t=254",1.93254735691799,1.66850998505464,2.06478859834352,2.1505977019499
"t=255",1.62044002305753,2.04414635441574,2.10105051471921,2.81609502689458
"t=256",1.98497605210922,2.00364844931436,2.74257759370305,1.83627861131399
"t=257",1.89536569883903,2.6192429647574,1.78018809176137,1.79178626010718
"t=258",2.16012216922647,1.5596370358237,1.63296335525611,2.07322506255533
"t=259",1.43200563611339,1.75918968611736,2.16207668673209,1.70437393381766
"t=260",2.06756353059719,2.43613323613783,1.64105687173858,1.88975974619541
"t=261",1.88981295740913,1.72204081112381,1.87290537070762,1.8564648046502
"t=262",1.90035279266017,1.88630234583675,2.02075919741653,1.97538921248156
"t=263",1.81637046051631,1.73030287776317,1.78532304524534,1.86281287802471
"t=264",1.88575059557701,1.88126247869831,1.96140925010852,1.89924643619723
"t=265",1.69023117317032,1.78025442320501,1.71552945603108,1.74040997569396
"t=266",1.70852438510719,1.65353901783672,1.70258240666108,2.80087906155783
"t=267",1.55711314319721,1.72745238496425,2.9346846575984,2.38147265262926
"t=268",1.7218608091306,3.07468540777962,2.48389716176921,1.95886306330803
"t=269",2.97836910802119,2.35368236494079,1.87484925023431,1.94223550390273
"t=270",2.45824910289698,2.12607150519823,2.07498954967844,1.75078232917234
"t=271",1.871198979662,2.01935023904333,1.79219960595897,1.75781589815284
"t=272",1.92813678189478,1.78663742989616,1.71052083625569,1.53956750659572
"t=273",1.65474419047654,1.68352975526162,1.47891351431766,1.83066136163787
"t=274",1.68642748150218,1.41146507407389,1.91280057845715,2.26161316608366
"t=275",1.33985108618386,2.13080175603156,2.74244851157073,1.05577456025768
"t=276",1.88324862785356,2.34531369144002,1.03666928992312,1.14740001855015
"t=277",1.97178388878975,0.948922525374002,1.10075252836173,2.49226544876473
"t=278",1.11426201786581,1.09625040153352,1.81321377472522,1.02441215892022
"t=279",1.10868348919569,2.24209758895383,1.04520208730971,0.914477672844058
"t=280",1.91946094167845,0.99950009284182,0.947312396393938,0.59249263447967
"t=281",0.812792366125519,1.00300310794318,0.672770857835271,0.619009773718457
"t=282",0.944297172567209,0.66712680702493,0.59942910056059,0.569789448022743
"t=283",0.658069911743698,0.506361772837723,0.475554116200408,1.59529988853682
"t=284",0.553975892064523,0.490199479363836,1.5261598069566,2.18002326079905
"t=285",0.459428753324739,1.4964436083085,2.08293575562227,1.07462801538614
"t=286",1.37060195648501,1.9560429346882,1.05605849314588,0.739563754718873
"t=287",1.59662288654079,0.970612537244722,0.644829393178301,0.814560492398392
"t=288",0.852295195419052,0.619126027903923,0.853000706406012,0.64729983935646
"t=289",0.530385217853477,0.822788891959135,0.65274059264231,0.653598432838078
"t=290",0.78463738465405,0.665008305004048,0.655479144367482,0.814866499312915
"t=291",0.51628116562763,0.530947568078511,0.789804826796753,1.17395199050987
"t=292",0.447226016290739,0.776381519620713,1.2067838283908,0.93410672983653
"t=293",0.753650370185317,1.21222384290283,0.930043802499163,1.00393705617261
"t=294",1.22027747937164,0.957318994531645,0.994679431780808,1.49236880579358
"t=295",0.91852686909182,1.02329187584287,1.40658667019579,1.46714357273769
"t=296",1.04659032186833,1.31126496775191,1.46838985012262,1.10879963480618
"t=297",1.40973094256934,1.57901549750604,1.13235364730358,1.25552228764399
"t=298",1.584537297086,1.10813195336084,1.2204874617188,2.80723895204174
"t=299",1.12437338477476,1.23998353683719,2.77287703168327,1.94937776689645
"t=300",1.22297839798632,2.73426885157217,1.9723817198081,2.27131180558518
"t=301",2.56320931966398,1.96478995286797,2.20406097754845,2.2438528822482
"t=302",1.88891438066513,2.04344119803627,1.96625519756591,2.90088610698012
"t=303",1.89801044588942,1.97231155040821,3.02372189227734,2.69386772419001
