"","h1","h2","h3","h4"
"t=208",1.38165432809677,1.61852941193175,2.12307239939005,2.03078454021993
"t=209",1.59559900343396,2.14884664547152,1.99841011200998,2.10061498508036
"t=210",2.19818281065982,2.04517950837356,2.16014412983179,2.14716310815793
"t=211",2.11257374466102,2.11648680398163,2.18581659940853,2.19015926402634
"t=212",1.96759643835407,2.20779311280151,2.23930244539106,2.10975297466971
"t=213",2.30923532083772,2.21129728325383,2.09514346904759,2.0622425523678
"t=214",2.15709560884091,2.06218993773718,2.05826233413577,1.98835495014847
"t=215",1.8870352727634,2.10990231563154,1.97674965047249,2.06761210970211
"t=216",2.09155333892456,1.91450166969132,2.05394191827309,1.77713558724512
"t=217",1.76344345420126,2.05824899359504,1.68968484704214,1.64457393247418
"t=218",1.92123742833815,1.69497397757379,1.57996618392158,1.59548054643951
"t=219",1.61925779576795,1.4901431509459,1.5699900482276,1.84121922372277
"t=220",1.51414355951192,1.61114015645833,1.83416229506488,1.38860434787112
"t=221",1.54180122784238,1.76658405584315,1.3579373374182,1.47466247600241
"t=222",1.96938906238991,1.39609076623893,1.58268978110055,1.27567244706283
"t=223",1.24825345480069,1.28035156369318,1.10938873713796,1.39282941674726
"t=224",1.27996050668579,1.09862567275368,1.30193760838146,1.00358795616823
"t=225",1.05414472063595,1.30044515782093,1.07185799779097,0.991031252961695
"t=226",1.30925039815553,1.07137121710305,1.00731784788691,0.895954885204416
"t=227",1.09312298924495,1.04144946916342,0.96224601679087,0.76833428519301
"t=228",0.865336243924474,0.750091937527887,0.653493034242305,1.26899174612646
"t=229",0.574218016674049,0.584871306562803,1.27361840994772,1.03670911424086
"t=230",0.560994465085182,1.59216039493781,1.14545674905031,1.23831329823711
"t=231",1.60467418548568,1.21298746263603,1.14790958686114,0.538436069018915
"t=232",0.901132477484019,1.06514250821672,0.549447711237454,0.783627517518445
"t=233",1.12878533745812,0.523595549872127,0.782695604675709,0.936727275079639
"t=234",0.685492788897727,0.788511016814842,0.900564767432348,1.54548393327683
"t=235",0.851089578444858,1.10697851839021,1.71506845025906,0.666252208467062
"t=236",0.891183806529409,1.7101628679327,0.671024980792077,0.807196773337909
"t=237",1.80626006304423,0.722566741976938,0.824197846322241,0.72197016467402
"t=238",0.695797554585801,0.816738827515758,0.719758844006212,0.976786818664824
"t=239",0.829102090775346,0.727987718202635,0.948877922125616,0.70615167280245
