"","h1","h2","h3","h4"
"t=208",1.33184412340052,1.70128906650857,2.17783122708155,2.18191541321855
"t=209",1.71519347026844,2.18959555994119,2.1751332243656,2.33395010638669
"t=210",2.16286398493581,2.1579934918393,2.32784642145907,2.19712396986972
"t=211",2.17279812230024,2.29353516248868,2.20126963194263,2.30333391132413
"t=212",2.07336236206109,2.18106826266172,2.30913650540982,2.1291289102345
"t=213",2.22958071891648,2.24754208518284,2.10887005360828,2.082217707376
"t=214",2.18558663623328,2.08960803713348,2.07535159969357,2.04260009631727
"t=215",1.87513350083393,2.10516217887962,2.03589255060992,2.10688099410197
"t=216",2.06631286488151,1.99169865308199,2.1002183982423,1.88055101744744
"t=217",1.86147643693297,2.05519292187533,1.81081589867229,1.77512898390068
"t=218",1.94194676925288,1.80509432842445,1.7519895999338,1.68065437493729
"t=219",1.66366919596294,1.67165942620295,1.6560187570119,2.13839616427625
"t=220",1.67839993899986,1.67923515826423,2.10659336819024,1.45205041918232
"t=221",1.53774717381759,2.0553941505908,1.43705391404598,1.72786568998985
"t=222",2.3614542069994,1.45110193609334,1.74814383578535,1.40888860054366
"t=223",1.19224173240949,1.49923172773231,1.32704107626517,1.38500563476524
"t=224",1.47603871222765,1.3177355110798,1.35726927103413,1.00810140581393
"t=225",1.15305943056956,1.33785729590617,1.03672567389962,0.97309877282897
"t=226",1.31131763075853,1.02480011730277,0.971979739257736,0.906668326256262
"t=227",1.07962655001291,1.01616851075864,0.948070284340421,0.768816179098044
"t=228",0.821582660723128,0.796724261066153,0.71900764364755,1.23967955060619
"t=229",0.639612203458914,0.670971495131899,1.23477539533085,1.0271625937464
"t=230",0.515955980651961,1.36050561985418,1.04337760736103,0.994132021455665
"t=231",1.46216204396995,1.09003386479295,0.989534903972589,0.620448833032618
"t=232",0.847379313719039,0.983567180821385,0.628461942445577,0.785998195644522
"t=233",1.11069258501637,0.586612072212031,0.784460395381743,0.859977531146635
"t=234",0.760740872941604,0.811228324634233,0.853484848616407,1.47075344984084
"t=235",0.858309762491008,0.932556708179012,1.55686929946556,0.684832123865738
"t=236",0.865489328673501,1.47762816365543,0.685761273874681,0.872548611735512
"t=237",1.55306018408923,0.716887971774963,0.86737532465057,0.711600435901077
"t=238",0.741046517122978,0.837954053387471,0.713910418842035,0.90983946541076
"t=239",0.850081195262304,0.725543858246178,0.905641183946965,0.727952717483962
"t=240",0.704352304182055,0.9273104054239,0.727385749865575,1.10108553717433
"t=241",0.993053898556955,0.737274350406697,1.11841423579688,1.12639647064721
"t=242",0.699731049972908,1.1577556208478,1.1367123448005,1.03053619216743
"t=243",1.07346510581634,1.12113718816094,1.03241174174627,1.25641441814154
"t=244",0.997141923702275,1.00795625989544,1.2441077140506,1.12316341076863
"t=245",0.988542247091321,1.24080334820824,1.14530074372024,1.26273656681574
"t=246",1.20506349819702,1.1439901736046,1.2593773779948,1.29423982240129
"t=247",1.1944154212801,1.27361287712456,1.29769775310361,1.4299750777353
"t=248",1.06546139909858,1.25321959383512,1.42316802660151,1.63020382024787
"t=249",1.17482823036605,1.37534308703825,1.62782297991582,1.56570205702063
"t=250",1.3408270116181,1.58184640276346,1.55557612654851,1.74365121426503
"t=251",1.55602959898977,1.57160671986878,1.75859190314779,1.84623038501424
"t=252",1.48479758542867,1.76676266806595,1.8595426038976,1.85368886459248
"t=253",1.77908908856979,1.84033039313965,1.8514899964663,2.12238768569366
"t=254",2.05059550541393,1.73491608383156,2.10664793156682,2.21640492604995
"t=255",1.73053870031084,2.09306066941206,2.18717271988416,2.73337279149207
"t=256",2.0460396942964,2.11693066675626,2.71718011740522,1.99152042803068
"t=257",1.98313408128722,2.62147236961251,1.9683804841535,1.93124265786063
"t=258",2.08935014200345,1.84031684103254,1.86638532732522,2.08565375602675
"t=259",1.65126122134957,1.84166740031415,2.07324485419537,2.13747815285046
"t=260",1.86966311320827,2.08961337016714,2.06204617201775,2.02124358303947
"t=261",1.78877758407249,2.10216227364308,2.02903449509293,2.20523867090303
"t=262",2.17796194838856,2.02824866438453,2.23181671225372,2.1245666527571
"t=263",1.82978771970421,1.97072962260365,1.9847017833466,2.03163099324039
"t=264",2.14482620910209,2.06049026233346,2.08333626337427,2.00875523831714
"t=265",1.69728755102126,1.85830476226227,1.8639974459774,1.8215287728087
"t=266",1.78475130943677,1.82721842990115,1.79591542305896,2.6245150699949
"t=267",1.64285373975789,1.77481226342583,2.6800594923627,2.30746522468374
"t=268",1.68943173901525,2.73990487116468,2.34850087224151,1.98587312698054
"t=269",2.78265284125452,2.27697373144589,1.95048370662483,1.9512912652677
"t=270",2.44175540491268,2.12051251354353,2.0079754303903,1.74071509330665
"t=271",1.80358551549479,1.96924352452793,1.74331493363774,1.6843325048006
"t=272",1.90152950083946,1.72723532290318,1.65023763954566,1.3716427963376
"t=273",1.61857936480642,1.69699306850383,1.35725531406309,1.79981857562891
"t=274",1.69902642118876,1.37228064005752,1.82750697428052,2.08200894341809
"t=275",1.37814061302205,1.89545151044956,2.2984013345908,1.0917484732511
"t=276",1.71207834753484,2.0087387046419,1.10054658407254,1.11303024198247
"t=277",1.82459668866983,1.03288153827849,1.09901298743081,2.07282351581074
"t=278",1.26764686910504,1.1208398466551,1.76421589285717,1.03807279109245
"t=279",1.26261207187633,2.27982608323178,1.06582437639794,0.991897043807009
"t=280",1.62663189452495,1.01439040904667,1.01294748758057,0.658006794839324
