"","h1","h2","h3","h4"
"t=208",1.36121819449866,1.68593148643874,2.10029708657468,2.11548891659456
"t=209",1.67398835759837,2.11709774990687,2.0840755989766,2.23072460051319
"t=210",2.14558530538251,2.09566993602755,2.25842947413667,2.13329881525983
"t=211",2.15192548609867,2.18705653270468,2.17551009229016,2.18266728773459
"t=212",2.0045116207545,2.17441315336845,2.22644138317791,2.05791151853464
"t=213",2.28322747068341,2.16693653455343,2.02153322158278,2.04508633462461
"t=214",2.13514224794728,2.01421875508563,2.05614511382254,2.00052445786624
"t=215",1.84507458490168,2.09174291287667,1.98540724305527,2.10069874177989
"t=216",2.07335906015466,1.93226184514697,2.10705604689128,1.85795794285619
"t=217",1.78917406249419,2.07651712216374,1.80087865616207,1.72074474337976
"t=218",1.96686509900773,1.76758271399852,1.63883071400418,1.60889022453107
"t=219",1.65913096517531,1.51178432628491,1.55917667089449,2.02836335534467
"t=220",1.51526196603746,1.58694406484503,1.95123891275816,1.41173859962877
"t=221",1.52396973199657,1.88033124162846,1.39093463042022,1.5984255280795
"t=222",2.06134902862859,1.44266878393705,1.68068575787889,1.39840210604999
"t=223",1.23865253242668,1.33395082025384,1.18310596573,1.35085395724837
"t=224",1.32719715000356,1.16400763928708,1.26581409913694,0.99432104633477
"t=225",1.07747610441174,1.27473061797179,1.04350156231829,0.986572104017528
"t=226",1.28234311998519,1.03777472731626,0.995046911393694,0.932077664599893
"t=227",1.05189049744482,1.03617025673307,0.998773607090425,0.789768674534956
"t=228",0.898421379684292,0.831384823388355,0.713255476305635,1.13237135790466
"t=229",0.672302435167135,0.635895854983173,1.10052575014841,0.974926298079853
"t=230",0.528060631671907,1.30514085638109,1.08095799010303,1.09612984755057
"t=231",1.5122253384289,1.26279099314614,1.08946986611153,0.561058330463055
"t=232",0.885588601209161,1.07819148032776,0.578320298666317,0.785224138952917
"t=233",1.15693668293001,0.559138588805738,0.778209474025923,0.90578930897075
"t=234",0.688561016023112,0.827165820581039,0.907720590987893,1.5477765485473
"t=235",0.877752165536422,1.08326722704659,1.74048529051993,0.664695046607563
"t=236",0.922940591937441,1.68927094439671,0.664102240143662,0.817000463942496
"t=237",1.82239204027635,0.736783441289934,0.817886189807248,0.705802606565831
"t=238",0.739702193195181,0.778507663964084,0.723180557660966,0.968122953811992
"t=239",0.78842469081701,0.739938186617314,0.93306718024955,0.72217252023733
"t=240",0.727634015527224,0.998166216538663,0.729020361827765,1.03249932005279
"t=241",1.1008514665064,0.755271229103667,1.0770014391609,1.11480561568631
"t=242",0.696199732698008,1.19180435203342,1.1715554213267,1.03789806395852
"t=243",1.09971652160733,1.14560080779856,1.04427702249153,1.2588816682859
"t=244",1.02932701178107,0.997604180641221,1.21979251687524,1.15722112849867
"t=245",0.972835440365809,1.23019326008611,1.19396112995417,1.31337981557294
"t=246",1.21329200325337,1.1956679985815,1.30825016923891,1.30154591816091
"t=247",1.21125455810616,1.30770862256089,1.29761039778637,1.42852907945673
"t=248",1.12820433677435,1.23430714189194,1.4024399301827,1.62813173125169
"t=249",1.17084419797744,1.33209366368357,1.63036387618543,1.53583691819044
"t=250",1.30482351664345,1.53441663429064,1.49485836265407,1.74773916436542
"t=251",1.51608718081138,1.52473886268064,1.78013514511953,1.84109557416931
"t=252",1.46380915748985,1.79361375674122,1.88270422307918,1.88622922298965
"t=253",1.79699253173788,1.86533456345175,1.88250765270512,2.13296878790473
"t=254",1.96204808672567,1.7493702221951,2.10579222004915,2.25090551375509
"t=255",1.68301461205009,2.07030207680751,2.14772541197123,2.67949812659601
"t=256",2.01966564132372,2.04161316975945,2.59822451152205,1.8124540225735
"t=257",1.92965861503308,2.49402008170238,1.76882725842089,1.85991663613145
"t=258",2.0838159585821,1.59248983268232,1.7949597808446,2.09605037197265
"t=259",1.3943109861624,2.09418532108693,2.20211850391546,1.91421791295121
"t=260",2.48806377696689,2.26518179215978,1.84382130169344,1.92406062893615
"t=261",1.81266516626847,1.91481544218843,1.91296020426257,2.04197238506073
"t=262",1.97888756909224,1.90609637736421,2.09841412068045,2.03239115239409
"t=263",1.8022533667702,1.84327019053644,1.86724168503992,1.9351575617686
"t=264",1.9484929795831,1.92997970687553,2.00408765499866,1.93980201083953
"t=265",1.73634216142059,1.8447099246792,1.78722338170171,1.79429408225527
"t=266",1.74481733663659,1.71129648307575,1.7318276722047,2.74566547521246
"t=267",1.58553842983972,1.75231519477356,2.83213333859878,2.39607518772382
