"","h1","h2","h3","h4"
"t=208",1.39074063526323,1.67574687537343,2.09559926065416,2.09659911836761
"t=209",1.65609097794151,2.1199881337628,2.06282919219777,2.22670414067427
"t=210",2.14838177740804,2.08095984958591,2.25468601085842,2.1322410462841
"t=211",2.14276503966857,2.19052439842367,2.17593171526454,2.20059325341432
"t=212",2.02358556173803,2.17863962698416,2.23610713405126,2.06436446353222
"t=213",2.27314153699851,2.18842204190649,2.03112519929109,2.04906406592423
"t=214",2.16022499481165,2.0209199301535,2.05578039247838,1.99582786325144
"t=215",1.86671883785512,2.09560041395197,1.98083331748601,2.08982426220296
"t=216",2.07881331195152,1.9226380992095,2.09365582871822,1.85241490539608
"t=217",1.7787237277496,2.064876758821,1.79186817694671,1.7212366376451
"t=218",1.96735998716626,1.74470223767673,1.64034564339095,1.61163170966097
"t=219",1.64703594194525,1.50856595447857,1.56122778871169,2.04800698723049
"t=220",1.51190481752288,1.59065282542012,1.97323197131981,1.41140085473605
"t=221",1.52483759622834,1.90675207397834,1.39216553465968,1.63831541575755
"t=222",2.05398848650747,1.44828645020141,1.7229243579877,1.3992907175562
"t=223",1.25389130302736,1.35321143885285,1.1932025565284,1.35686373727807
"t=224",1.32616190657647,1.16194797277738,1.27292597886792,1.00088714948429
"t=225",1.09171592617117,1.27297601247048,1.05604589392172,0.99566676300029
"t=226",1.27697148642276,1.05132194679951,1.00389020979373,0.943035665144367
"t=227",1.06590188762641,1.0459600354309,1.01034942590644,0.796947584642845
"t=228",0.905771553691137,0.816372063317944,0.709424089178624,1.15441123785618
"t=229",0.656855228774668,0.624959590951544,1.13530302096687,1.00019732907535
"t=230",0.536548976170093,1.41519708289681,1.13087606931678,1.09250599701339
"t=231",1.60570811894204,1.33363889659538,1.07520186584727,0.571347987021975
"t=232",0.932124132709819,1.05422603422514,0.599220798805061,0.785591286418987
"t=233",1.12727602892413,0.567578216907272,0.780550374327394,0.884754000484544
"t=234",0.681261965200514,0.836502522576616,0.891135092721731,1.49441405007291
"t=235",0.888328541308075,1.08242410565077,1.7262478783397,0.674410030370196
"t=236",0.942541503145095,1.68063502544489,0.673569017970065,0.826296912062069
"t=237",1.80895037158262,0.755977772091917,0.823781928048834,0.710046395941499
