"","h1","h2","h3","h4"
"t=208",1.37932636862024,1.67075761156303,2.10013165457467,2.10337525996168
"t=209",1.65533503513711,2.12288780430542,2.07128745966198,2.23276327941132
"t=210",2.14807659251414,2.08810734913623,2.2587229547162,2.1348659895912
"t=211",2.14849257191904,2.1923624803984,2.17532050447395,2.19994547020581
"t=212",2.01716859446359,2.17578251239741,2.23636348231907,2.06913082381776
"t=213",2.27172115356677,2.18299652134739,2.03628965976374,2.04991557454801
"t=214",2.14908095663642,2.02387516003874,2.05674191964802,2.00100312145819
"t=215",1.86238152321752,2.0952297099696,1.98491320927032,2.09318045597332
"t=216",2.07698278357697,1.92650805647565,2.09661265969835,1.85706322289032
"t=217",1.78106089992395,2.06717851705273,1.79618651416631,1.72414143948032
"t=218",1.96199383759457,1.7515029789671,1.64442743006895,1.61239352125968
"t=219",1.64873837183305,1.51276521588517,1.56395935886482,2.04683989804868
"t=220",1.51563361727943,1.59391464722891,1.97362138834288,1.41542643494453
"t=221",1.52538365241405,1.9046051717475,1.39550664813859,1.63451472163293
"t=222",2.07088437168145,1.4506876062748,1.71611780217794,1.40461344783964
"t=223",1.24920796650412,1.34417084061907,1.2002053152684,1.35687661819557
"t=224",1.32388303448602,1.171334764143,1.27636918830097,1.00060776403178
"t=225",1.09322286671692,1.27881995629175,1.05233800053958,0.993743142352827
"t=226",1.28407721988593,1.04637614425243,1.00104904058822,0.939166179239596
"t=227",1.06081025287145,1.04355624747869,1.00440992701181,0.795097228495197
"t=228",0.89975514428465,0.812853610926828,0.712223182512087,1.15405580802205
"t=229",0.649373867877048,0.627290424554941,1.13533492572352,0.996309215579423
"t=230",0.531891222879715,1.3930562066324,1.11132602260301,1.08843062924552
"t=231",1.59740589693728,1.30656697558456,1.07380925119969,0.571081602391131
"t=232",0.917926070985695,1.05676430569874,0.596167333272017,0.78333475871581
"t=233",1.14048090477365,0.565544358113834,0.777803343177288,0.885795382390253
"t=234",0.685867295092939,0.836316233685344,0.890368858032272,1.50469069101865
"t=235",0.886190322840103,1.07698429765251,1.71230422037568,0.673672548508831
"t=236",0.938173910726124,1.66958745633363,0.672812637079833,0.825693077041179
"t=237",1.79780250051562,0.752526597026392,0.82388600216544,0.708841595217087
"t=238",0.759028747565795,0.786115314247475,0.724588935984412,0.967945055491913
"t=239",0.791160571041562,0.742273670859651,0.92882540727374,0.728840674949606
"t=240",0.725017154971201,1.00548809915933,0.735018247204886,1.04533360540812
"t=241",1.14433287233062,0.781925368605532,1.10401374554143,1.12592246959598
"t=242",0.726076999177714,1.25508631196573,1.18582957066287,1.03582294599095
"t=243",1.12412454641484,1.14689032223133,1.04082543783228,1.25839533519812
"t=244",1.02742936976997,0.989069489287014,1.21753903748296,1.14653370008331
"t=245",0.966639893705697,1.22667742907146,1.18574017228072,1.30220111698426
"t=246",1.20884896739841,1.18667722902316,1.29641050941857,1.29746288428428
"t=247",1.20484860542184,1.29515445461563,1.29395328846479,1.42512749840863
"t=248",1.11418768205706,1.22693485377142,1.40196618839349,1.62467957726601
"t=249",1.17501065845012,1.32720286367322,1.62617275310408,1.53863763448042
"t=250",1.30281142891704,1.52246419823997,1.50054155171441,1.74591244522778
"t=251",1.50652411084508,1.53297232781942,1.78364839404865,1.84402653013332
"t=252",1.47479620456927,1.79874063635789,1.88490868254847,1.88797015858791
"t=253",1.80119709710971,1.86412071440976,1.88189783564289,2.13619906111595
"t=254",1.95346607259214,1.73638017128518,2.11169426840036,2.25228484075354
"t=255",1.66877963409738,2.07018831125869,2.14984883053445,2.68905077890311
"t=256",2.02034476541982,2.03782023045853,2.60565909663926,1.84009331936944
"t=257",1.93097441344015,2.50522159588323,1.79494776469078,1.85571877420007
"t=258",2.10125153234169,1.60458487504581,1.7787058081796,2.07903836441604
"t=259",1.40839678906895,2.04286872401101,2.16047943143728,1.92412823475595
"t=260",2.40327284749786,2.23428625115961,1.84796965804175,1.926429025745
"t=261",1.82026054309868,1.91731687181424,1.92391499195435,2.07180901661563
"t=262",1.9890559231363,1.92124705921109,2.13329355463578,2.0530444721178
"t=263",1.80683845303392,1.86255880778308,1.88467795287548,1.9497840165489
"t=264",1.95288663544228,1.94372140885008,2.01185292308253,1.9497330943184
"t=265",1.74401736256568,1.83082124600807,1.79089520043232,1.78885096505248
"t=266",1.73245500858216,1.70271452053861,1.72900511220137,2.72701854393209
"t=267",1.58871874942402,1.75389063080343,2.80592358832534,2.38120533748687
"t=268",1.73136886866745,2.93421837529898,2.44465366930891,2.02546478624891
"t=269",2.92466893518102,2.34885210534118,1.93663842047396,1.99067175828134
"t=270",2.46151598739914,2.21595389917251,2.18678675833147,1.83512090049603
"t=271",1.89873122406387,2.04241358551001,1.80406367090937,1.71111596763401
"t=272",1.92461660029863,1.77881979732301,1.6573188885604,1.43783367902157
"t=273",1.64907092364447,1.66024888901663,1.41739029688043,1.82342744387755
"t=274",1.66937785325465,1.37864233254445,1.92125606997423,2.06552118900404
