"","h1","h2","h3","h4"
"t=208",1.37547563666043,1.68080352143901,2.09743955265618,2.10172177204271
"t=209",1.66794166666631,2.11570804799037,2.06715241674326,2.2317900829739
"t=210",2.15011570452609,2.08203828723597,2.26210468537157,2.13386120554377
"t=211",2.14388678896105,2.1972792952913,2.17987263291901,2.19855294755936
"t=212",2.0234071335519,2.17931429724854,2.24093823516196,2.06677319378798
"t=213",2.28174504291898,2.18837390955641,2.02925070335852,2.05222495685814
"t=214",2.16263809049212,2.02190415989899,2.05822602747023,2.00095106746497
"t=215",1.85761685714362,2.09570451310202,1.98361214554261,2.09414541861848
"t=216",2.07842583088052,1.92990802306988,2.09919027875182,1.85785617354648
"t=217",1.7829575262017,2.06753544920345,1.79823422316465,1.7235248686235
"t=218",1.96988483875775,1.75496101145846,1.63878819102127,1.6134095973
"t=219",1.65118298368281,1.51388224538629,1.56077766704025,2.05035175972539
"t=220",1.51894166743346,1.58965759169077,1.97465126246446,1.4137553280361
"t=221",1.52168051449535,1.90528941251489,1.39198102906256,1.63560507333178
"t=222",2.05702174706903,1.44421618839327,1.72764806139349,1.40138134484351
"t=223",1.24440917718609,1.36460960908684,1.18684118949507,1.3563508805333
"t=224",1.34075967014337,1.16197360766615,1.27000720769915,1.00015645538674
"t=225",1.08717578096364,1.27044008163654,1.05625468369634,0.9935563556127
"t=226",1.27267508642902,1.05127614396008,1.0021302427068,0.939968623382811
"t=227",1.0677798361456,1.04308003816779,1.01054615632131,0.795514917000244
"t=228",0.899996989037619,0.826141957685181,0.706926505633853,1.15505787888456
"t=229",0.665421326750553,0.629381145825288,1.12833416584536,0.997903261639771
"t=230",0.534272819320493,1.38261587025862,1.12978965183234,1.0890394625307
"t=231",1.57325337237003,1.31825195563422,1.0739793907829,0.571378456310299
"t=232",0.912197761156396,1.05478216678591,0.596370704503537,0.785059164252763
"t=233",1.12397616681232,0.569825995069997,0.778909699048952,0.886316446894369
"t=234",0.691130291010761,0.823839202250956,0.892435013722087,1.50794583217685
"t=235",0.882896305821268,1.0648402347801,1.7394191628759,0.673889116900222
"t=236",0.925246200403302,1.67341432841842,0.672873285641736,0.828639792749596
"t=237",1.80928063370805,0.747352448236039,0.827277191741287,0.70806365463988
"t=238",0.750416996587759,0.793504982286235,0.728357601181722,0.966159103225631
"t=239",0.80083010006185,0.744352631891192,0.924667169144921,0.728214272498912
"t=240",0.730077542787999,0.990811620745888,0.736521106806064,1.04631231478475
"t=241",1.10339999046893,0.774932218883844,1.11558246651289,1.12518103686366
"t=242",0.712539047702307,1.25305641137718,1.19314401086766,1.03489121796867
"t=243",1.12364224010391,1.15549606162925,1.04193947032582,1.25724634245504
"t=244",1.02957146274361,0.993922957594195,1.21193851197501,1.14741680244412
"t=245",0.972243598153667,1.22270087165859,1.19040251595796,1.30404522756993
"t=246",1.20382391550849,1.19019618899179,1.29647555156238,1.29800780300847
