"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","noroBE",1,4,"ar1",204,6.72005240768048,16.5385669717217,4,9,1,16,8,2.52930213700413,0.639136594776563,0.718851225546999,2.6272034329812
"2","noroBE",2,4,"ar1",204,5.58496871126502,12.4736120034074,3,8,1,14,1,2.74315745218935,0.0245149424916109,0.0888817331302982,2.6272034329812
"3","noroBE",3,4,"ar1",204,8.8026371936527,28.8790443238633,5,12,1,22,2,3.13703312868948,0.0310273363045339,0.0744387393810001,2.6272034329812
"4","noroBE",4,4,"ar1",204,6.28245262982068,15.9970772422117,3,8,1,16,3,2.23591045888298,0.156069142390539,0.262963904639945,2.6272034329812
"5","noroBE",5,4,"ar1",204,8.15746353595693,23.2100933260169,5,11,1,20,3,2.67357224101611,0.0833150596980581,0.152320340702587,2.6272034329812
"6","noroBE",6,4,"ar1",204,7.83159689476439,23.9057517608669,4,10,1,20,4,2.39815285294375,0.177385191553844,0.268270869101621,2.6272034329812
"7","noroBE",7,4,"ar1",204,16.3308086562077,93.7989345874778,9,21,3,40,8,3.08075165612104,0.157324833415481,0.203249557487883,2.6272034329812
"8","noroBE",8,4,"ar1",204,11.0749423776684,45.0032905236205,6,14,2,28,11,2.81182173436838,0.543543504062192,0.603638918791778,2.6272034329812
"9","noroBE",9,4,"ar1",204,8.19702704451791,27.0042543014051,4,11,1,21,5,2.38689901103715,0.253758538908613,0.34567280644183,2.6272034329812
"10","noroBE",10,4,"ar1",204,18.1241010843989,132.143230487779,10,23,3,47,14,3.12012448922202,0.406632988149767,0.450784659820066,2.6272034329812
"11","noroBE",11,4,"ar1",204,11.8014770329978,46.9735390351645,7,15,2,29,3,3.43033767243236,0.0328111054705059,0.0651871119125603,2.6272034329812
"12","noroBE",12,4,"ar1",204,10.0813977718917,38.0213324156984,6,13,2,25,4,2.77212553344064,0.105552946586303,0.168081902591781,2.6272034329812
"13","noroBE",1,3,"ar1",205,6.69343902340386,16.1744042254556,4,9,1,16,8,2.52400029596581,0.641087126164772,0.721225513588556,2.64940336500723
"14","noroBE",2,3,"ar1",205,5.5540069293024,12.1950898730896,3,7,1,14,1,2.74587362973195,0.0242309586186145,0.0884231548481272,2.64940336500723
"15","noroBE",3,3,"ar1",205,8.82896930894193,27.7785424881847,5,12,1,22,2,3.17284844013129,0.0295536854153417,0.0714378088236148,2.64940336500723
"16","noroBE",4,3,"ar1",205,6.34776161190736,16.0449981498999,3,8,1,16,3,2.25302461731197,0.15061380004938,0.255694713918649,2.64940336500723
"17","noroBE",5,3,"ar1",205,8.09695117913899,22.9663312450152,5,11,1,20,3,2.66065570677288,0.0840597583364737,0.153962129592261,2.64940336500723
"18","noroBE",6,3,"ar1",205,7.80737202622008,23.0966671307164,4,10,1,19,4,2.39764734465689,0.174365794196323,0.265297426821614,2.64940336500723
"19","noroBE",7,3,"ar1",205,16.3452086900771,92.5770738214031,10,21,3,40,8,3.08689120420607,0.154218312440476,0.199861943236948,2.64940336500723
"20","noroBE",8,3,"ar1",205,10.918027130344,42.0329975287827,6,14,2,27,11,2.79451485353798,0.549862390249744,0.61100692144077,2.64940336500723
"21","noroBE",9,3,"ar1",205,7.97448591274682,24.4837844836385,4,11,1,20,5,2.3585067338866,0.259297991822053,0.353859314861661,2.64940336500723
"22","noroBE",10,3,"ar1",205,18.687689736125,133.072495303148,11,24,4,48,14,3.12912466765018,0.381425662391555,0.425181743999827,2.64940336500723
"23","noroBE",11,3,"ar1",205,11.9043510971983,46.6437121832219,7,15,2,28,3,3.47838100621518,0.0306380463549813,0.0614953747918008,2.64940336500723
"24","noroBE",12,3,"ar1",205,10.1831558261034,38.5314582455547,6,13,2,25,4,2.79607356384375,0.100268880523002,0.16131817934224,2.64940336500723
"25","noroBE",1,4,"ar1",205,5.97104044156141,13.5149934108098,3,8,1,15,9,2.85551183518261,0.784305059153874,0.841831428718364,2.46124986368465
