"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","noroBE",1,4,"geom",204,5.59920859714316,12.9994226075431,3,8,0,14,8,2.70855270979849,0.747809754965398,0.814442929468069,2.56589891947144
"2","noroBE",2,4,"geom",204,4.96493540969356,10.2552934997021,3,7,0,13,1,2.51592177649384,0.0321211335858493,0.112909542603777,2.56589891947144
"3","noroBE",3,4,"geom",204,7.52177131198367,21.6971885137168,4,10,1,19,2,2.80755540846984,0.04612991443068,0.10648226347756,2.56589891947144
"4","noroBE",4,4,"geom",204,5.33632948388287,13.0020271876415,3,7,0,14,3,2.04675790433374,0.222083798125271,0.351236749896013,2.56589891947144
"5","noroBE",5,4,"geom",204,7.29259669337738,19.7387077158012,4,10,1,18,3,2.46557063201112,0.109673630974847,0.194633978417556,2.56589891947144
"6","noroBE",6,4,"geom",204,6.94495840233069,19.1553947782875,4,9,1,18,4,2.25312113086131,0.220810015532077,0.325880788158772,2.56589891947144
"7","noroBE",7,4,"geom",204,15.0811034339943,78.5992393011319,9,20,3,37,8,2.9680488151353,0.186334232006781,0.237737742303867,2.56589891947144
"8","noroBE",8,4,"geom",204,9.49488294157548,31.9620850937518,5,12,2,23,11,2.82789107159746,0.641707467469635,0.700844906346768,2.56589891947144
"9","noroBE",9,4,"geom",204,7.20025224019142,20.4345756181908,4,10,1,18,5,2.26652718373851,0.30816690931164,0.411838497331388,2.56589891947144
"10","noroBE",10,4,"geom",204,16.7837439110661,105.569094219378,10,22,3,43,14,3.0662731314573,0.444985419325719,0.491579902510228,2.56589891947144
"11","noroBE",11,4,"geom",204,10.871122864803,41.4509725271364,6,14,2,27,3,3.22799454592663,0.0414412502623207,0.0810781593980847,2.56589891947144
"12","noroBE",12,4,"geom",204,10.2129175849724,38.3979911494585,6,13,2,25,4,2.80368109984414,0.0984824159046406,0.159069042115987,2.56589891947144
"13","noroBE",1,3,"geom",205,5.42607349701763,11.9055958829174,3,7,0,14,8,2.72763747888199,0.764779266664831,0.83015282043645,2.60758840301014
"14","noroBE",2,3,"geom",205,4.90844504059855,9.86750810591436,3,7,0,12,1,2.51274623550675,0.0318725978431745,0.112917961534339,2.60758840301014
"15","noroBE",3,3,"geom",205,7.37614146985374,20.2403060904179,4,10,1,18,2,2.79413119398513,0.0461869108018314,0.107354905177003,2.60758840301014
"16","noroBE",4,3,"geom",205,5.43113279966195,13.4176471580575,3,7,0,14,3,2.05736976927925,0.214057919619077,0.341847564118305,2.60758840301014
"17","noroBE",5,3,"geom",205,7.18432788849135,18.7062323144881,4,10,1,18,3,2.45203277868875,0.110409525506857,0.196527874412582,2.60758840301014
"18","noroBE",6,3,"geom",205,7.17497763135809,19.2963996227286,4,10,1,18,4,2.29320227508958,0.201192847683202,0.30213554513689,2.60758840301014
"19","noroBE",7,3,"geom",205,15.3855388325335,76.4790675604756,9,20,3,37,8,3.00680547304897,0.168449172077112,0.217898566212721,2.60758840301014
"20","noroBE",8,3,"geom",205,9.37986602867206,30.5957097645141,5,12,2,23,11,2.82403532290419,0.648974315068485,0.708340213206,2.60758840301014
"21","noroBE",9,3,"geom",205,6.76108996471765,18.1211505877831,4,9,1,17,5,2.21977496957713,0.338742833121877,0.447376385050639,2.60758840301014
"22","noroBE",10,3,"geom",205,17.7641061228691,106.939098131163,10,23,4,43,14,3.07803009205498,0.398542633356663,0.444592514742416,2.60758840301014
"23","noroBE",11,3,"geom",205,10.9478628163543,39.7273340383141,6,14,2,26,3,3.29264948802757,0.0375914467819788,0.0747467231918756,2.60758840301014
"24","noroBE",12,3,"geom",205,10.524071590864,39.1804338079163,6,14,2,26,4,2.87461293186717,0.0883334322976882,0.144771412917972,2.60758840301014
"25","noroBE",1,4,"geom",205,4.78810802905555,10.2313844269551,2,6,0,12,9,3.25180959608009,0.878057417046433,0.916761522671124,2.44509779738685
"26","noroBE",2,4,"geom",205,4.42818587153299,8.68482380919636,2,6,0,11,3,1.87849660599161,0.28387205001691,0.436691731352563,2.44509779738685
"27","noroBE",3,4,"geom",205,6.65966535797671,17.9534336248995,4,9,1,17,4,2.21292041136839,0.239956877586914,0.349337622433902,2.44509779738685
"28","noroBE",4,4,"geom",205,4.51913583109265,10.4935089383673,2,6,0,12,2,1.95297325783491,0.154273360145337,0.296125042481045,2.44509779738685
"29","noroBE",5,4,"geom",205,6.32030971495146,15.8390615397765,3,8,1,16,5,2.17032985968346,0.371848205780217,0.485988166309484,2.44509779738685
"30","noroBE",6,4,"geom",205,6.55059362958152,17.8786588156455,4,9,1,17,4,2.19313975424526,0.249338268591432,0.360904177186117,2.44509779738685
"31","noroBE",7,4,"geom",205,13.9475467455239,71.8045424431329,8,18,3,35,7,2.90940853275329,0.170705032426011,0.225212992435756,2.44509779738685
"32","noroBE",8,4,"geom",205,9.16957295893759,32.3640289663847,5,12,1,23,5,2.50298786935849,0.202362487253765,0.284202592662139,2.44509779738685
"33","noroBE",9,4,"geom",205,6.62011300039181,18.7861280978851,3,9,1,17,3,2.28939783624029,0.149342082612575,0.250669541823217,2.44509779738685
"34","noroBE",10,4,"geom",205,16.7145810937167,111.972095167692,9,22,3,43,16,3.20694478899831,0.544828541084773,0.585308640868283,2.44509779738685
