"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","noroBE",1,4,"pois",204,5.63847941176366,13.1413956876026,3,8,1,14,8,2.70116106212451,0.743702635955465,0.810830164200996,2.57867393475537
"2","noroBE",2,4,"pois",204,5.01072072266965,10.4478145931364,3,7,0,13,1,2.532008278603,0.0314795307497995,0.11097873406194,2.57867393475537
"3","noroBE",3,4,"pois",204,7.57690733085003,22.0059591612761,4,10,1,19,2,2.82611732588704,0.0448582896707549,0.10410071640978,2.57867393475537
"4","noroBE",4,4,"pois",204,5.39319359670246,13.2796201870815,3,7,0,14,3,2.05557548080783,0.218501641184915,0.346520783000658,2.57867393475537
"5","noroBE",5,4,"pois",204,7.331774990223,19.7567294588209,4,10,1,18,3,2.47842679002375,0.107597854745871,0.191472929702185,2.57867393475537
"6","noroBE",6,4,"pois",204,6.87119115473714,19.3252082134686,4,9,1,18,4,2.24159516060575,0.228933485214715,0.335222306553467,2.57867393475537
"7","noroBE",7,4,"pois",204,14.8623696909485,75.3523377374225,9,19,3,36,8,2.94538508834165,0.189384843606894,0.241966650882945,2.57867393475537
"8","noroBE",8,4,"pois",204,9.71029805933572,34.0566418561384,6,13,2,24,11,2.82445779503178,0.628486092112885,0.687826915110255,2.57867393475537
"9","noroBE",9,4,"pois",204,7.24170043938157,20.9866294211647,4,10,1,18,5,2.27541731969187,0.307824773224627,0.41057879143585,2.57867393475537
"10","noroBE",10,4,"pois",204,16.3430176242245,100.396594901866,9,21,3,42,14,3.06080997663847,0.462805795057497,0.509655527716195,2.57867393475537
"11","noroBE",11,4,"pois",204,10.7903057175169,40.2919277887053,6,14,2,26,3,3.22478250163396,0.0413940915038099,0.0811585208379674,2.57867393475537
"12","noroBE",12,4,"pois",204,10.1158979130983,38.1331278246086,6,13,2,25,4,2.77940856257641,0.102374096538028,0.164449306662972,2.57867393475537
