"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","noroBE",1,4,"lin",204,7.56688575923853,22.5860258457845,4,10,1,19,8,2.5312028342116,0.570918092130381,0.650481353424058,2.66273620018835
"2","noroBE",2,4,"lin",204,6.74982646382782,17.7133367274767,4,9,1,17,1,3.1271590016713,0.015544347767858,0.0593865238058409,2.66273620018835
"3","noroBE",3,4,"lin",204,8.32661381384703,27.3688555645702,5,11,1,21,2,2.98255554737837,0.0378726648615616,0.0885358609513283,2.66273620018835
"4","noroBE",4,4,"lin",204,7.13964332519227,22.507813098542,4,10,1,19,3,2.38126957618753,0.133275255527648,0.225708407584694,2.66273620018835
"5","noroBE",5,4,"lin",204,8.10394540885449,25.6901124644296,4,11,1,20,3,2.61566173692533,0.0916603529935926,0.164779739878449,2.66273620018835
"6","noroBE",6,4,"lin",204,7.01486243271619,20.448460744457,4,9,1,18,4,2.26682399844185,0.224493807157552,0.328134628491885,2.66273620018835
"7","noroBE",7,4,"lin",204,11.9785200702642,49.9921390239385,7,16,2,29,8,2.69500404507834,0.290075044259515,0.357617152820067,2.66273620018835
"8","noroBE",8,4,"lin",204,7.75366063648095,23.8559707713422,4,10,1,20,11,3.03155722760028,0.762192488235692,0.81043294646784,2.66273620018835
"9","noroBE",9,4,"lin",204,6.81235368925498,20.2703644361473,4,9,1,18,5,2.2448990308979,0.348438072110479,0.454376308432635,2.66273620018835
"10","noroBE",10,4,"lin",204,12.8925262730283,59.7641888502104,7,17,2,32,14,3.05339756016252,0.612383253634294,0.659581546263142,2.66273620018835
"11","noroBE",11,4,"lin",204,9.66868886735354,32.9514530973555,6,13,2,24,3,2.97817550469175,0.0570607385217669,0.107946328264346,2.66273620018835
"12","noroBE",12,4,"lin",204,9.46179827973921,34.5430278641934,5,12,1,24,4,2.6615024500119,0.123377712562825,0.193220919510384,2.66273620018835
"13","noroBE",1,3,"lin",205,6.98265701651924,18.7316468647536,4,9,1,17,8,2.53636131497748,0.618300370988274,0.69745426349717,2.65676426210745
"14","noroBE",2,3,"lin",205,6.35016616553289,15.5687771450193,3,8,1,16,1,3.01905344450055,0.0174940895264693,0.0663415228191507,2.65676426210745
"15","noroBE",3,3,"lin",205,7.85534717530618,23.0771312383175,4,10,1,20,2,2.90613159567066,0.0408030621284002,0.0954899342754068,2.65676426210745
"16","noroBE",4,3,"lin",205,7.36614977005982,22.3840488195444,4,10,1,19,3,2.44563358673312,0.119337789784692,0.206008993561588,2.65676426210745
"17","noroBE",5,3,"lin",205,7.78683969349073,22.1944284198409,4,10,1,19,3,2.5739836619859,0.0956652996246494,0.171896559792894,2.65676426210745
"18","noroBE",6,3,"lin",205,7.45039131106393,21.2415704543046,4,10,1,19,4,2.33987888574267,0.192173956726144,0.288513262313529,2.65676426210745
"19","noroBE",7,3,"lin",205,12.1546143994798,49.1038791819417,7,16,2,29,8,2.70415372474433,0.275571045322506,0.342497983821921,2.65676426210745
"20","noroBE",8,3,"lin",205,7.74744001517879,22.6801064496679,4,10,1,19,11,3.0085717577339,0.763174853805224,0.812536983323057,2.65676426210745
"21","noroBE",9,3,"lin",205,6.16964246068084,16.3912605568734,3,8,1,16,5,2.18606074176467,0.395860478468242,0.508218965548941,2.65676426210745
"22","noroBE",10,3,"lin",205,13.6768838039036,62.3427509969458,8,18,3,33,14,3.00817690990277,0.568448792987868,0.617830416883885,2.65676426210745
"23","noroBE",11,3,"lin",205,9.66194774485186,32.1159977145605,6,13,2,23,3,2.99476498587031,0.0551850922115133,0.105233479994378,2.65676426210745
"24","noroBE",12,3,"lin",205,9.64437489557679,33.4465319734359,5,13,2,24,4,2.71869535208024,0.110821047826192,0.176781801701224,2.65676426210745
"25","noroBE",1,4,"lin",205,6.58575667255493,17.5981789551158,4,9,1,17,9,2.78605487955982,0.731340623288833,0.79300462989862,2.44374108104135
"26","noroBE",2,4,"lin",205,6.0617764406917,15.2944088505006,3,8,1,16,3,2.18922547878106,0.170046705732064,0.282050169823103,2.44374108104135
"27","noroBE",3,4,"lin",205,7.35429883590006,22.6239667693746,4,10,1,19,4,2.31446740141581,0.206667932984239,0.305486733726693,2.44374108104135
"28","noroBE",4,4,"lin",205,6.71312623667684,20.7794654988648,3,9,1,18,2,2.49585281189297,0.0731085351733165,0.155534662601005,2.44374108104135
"29","noroBE",5,4,"lin",205,7.01944253886651,19.4447131240239,4,9,1,18,5,2.24896502457773,0.320073044468316,0.425581411107069,2.44374108104135
"30","noroBE",6,4,"lin",205,6.60837888045684,19.1448251859749,3,9,1,17,4,2.2060554662307,0.253148749075291,0.363282970061837,2.44374108104135
"31","noroBE",7,4,"lin",205,10.4750385911509,39.4287925724709,6,14,2,26,7,2.57771876535053,0.289442366415534,0.365389426037051,2.44374108104135
"32","noroBE",8,4,"lin",205,7.24284663168292,21.510208328731,4,10,1,19,5,2.28006165833486,0.311362714478352,0.413640614714446,2.44374108104135
"33","noroBE",9,4,"lin",205,5.95194181419629,16.5551339711572,3,8,0,16,3,2.15143755340429,0.189568535195289,0.305885361074317,2.44374108104135
"34","noroBE",10,4,"lin",205,11.5940915275716,50.9595222529235,7,15,2,29,16,3.38738132029747,0.765293044510106,0.799090109316974,2.44374108104135
"35","noroBE",11,4,"lin",205,8.61828795299041,27.5460922568516,5,11,1,21,7,2.44240338656685,0.398434883082102,0.485386504855151,2.44374108104135
"36","noroBE",12,4,"lin",205,8.59366737337723,30.6033849587015,5,11,1,22,7,2.4724595887698,0.414349157456957,0.498726228130898,2.44374108104135
"37","noroBE",1,2,"lin",206,7.65860495238511,20.0073591027096,4,10,1,18,8,2.46899199795241,0.552101892559798,0.636772056258864,2.66147809094166
"38","noroBE",2,2,"lin",206,6.97956782060937,16.903451857654,4,9,1,17,1,3.31794090539601,0.0120069106381693,0.0482342611872949,2.66147809094166
"39","noroBE",3,2,"lin",206,7.73021615013424,20.574821062669,4,10,1,19,2,2.94170245151489,0.0378377823103688,0.0906135862767444,2.66147809094166
"40","noroBE",4,2,"lin",206,7.76605756956241,21.5486607528844,4,10,1,19,3,2.58065731321057,0.0933048666174022,0.169029079752283,2.66147809094166
"41","noroBE",5,2,"lin",206,6.78887164294045,16.6017552396548,4,9,1,17,3,2.37053842847544,0.122528629015071,0.21595903615604,2.66147809094166
"42","noroBE",6,2,"lin",206,6.83310814236972,17.0663167096887,4,9,1,17,4,2.24056463196271,0.215847540585017,0.322245952056779,2.66147809094166
"43","noroBE",7,2,"lin",206,13.6580487651917,52.8865639941064,8,18,3,31,8,2.85308196373931,0.198929418406042,0.256595739616569,2.66147809094166
"44","noroBE",8,2,"lin",206,8.5509213880697,24.2375622048583,5,11,1,20,11,2.85792070911503,0.706578520600586,0.763966483162444,2.66147809094166
"45","noroBE",9,2,"lin",206,6.39159756905194,15.4917476912468,4,9,1,16,5,2.17299601911916,0.360905762329158,0.474741812841974,2.66147809094166
"46","noroBE",10,2,"lin",206,14.4742673042574,60.228367824872,9,19,3,33,14,2.94474372147708,0.516631407477868,0.569246949799898,2.66147809094166
"47","noroBE",11,2,"lin",206,9.32704406334779,27.957746627013,5,12,2,22,3,2.97321017399489,0.0551192232389075,0.106258105081384,2.66147809094166
"48","noroBE",12,2,"lin",206,8.48002088250599,24.355219396279,5,11,1,20,4,2.5364796192938,0.136120114066155,0.215264642881807,2.66147809094166
"49","noroBE",1,3,"lin",206,7.10802719061622,19.147669875655,4,9,1,18,9,2.69817468078679,0.68684690210399,0.754175198382863,2.46244765542421
"50","noroBE",2,3,"lin",206,6.50847742292419,16.3053727564651,4,9,1,16,3,2.29312486527886,0.140373525573706,0.241324037284944,2.46244765542421
"51","noroBE",3,3,"lin",206,7.38563077528893,20.6852547241483,4,10,1,18,4,2.32924147566781,0.193359284456286,0.290728860734483,2.46244765542421
"52","noroBE",4,3,"lin",206,7.27445178706822,22.0689294393679,4,10,1,19,2,2.68744220261836,0.0553601870950391,0.123414974394896,2.46244765542421
"53","noroBE",5,3,"lin",206,6.54087303500699,16.5276861666678,4,9,1,16,5,2.19309321847391,0.351756730018132,0.463327830539233,2.46244765542421
"54","noroBE",6,3,"lin",206,6.34976698516635,16.5766046114356,3,8,1,16,4,2.16737217134636,0.260794947885832,0.375272998581358,2.46244765542421
"55","noroBE",7,3,"lin",206,11.623456669491,43.6729899198307,7,15,2,28,7,2.68907320995895,0.226489869429284,0.294433749341461,2.46244765542421
"56","noroBE",8,3,"lin",206,8.01493400336454,24.219553226478,4,11,1,20,5,2.35864777294128,0.253472850794365,0.348020837934826,2.46244765542421
"57","noroBE",9,3,"lin",206,6.41590644772827,17.6509901592809,3,9,1,17,3,2.25003962802681,0.157318560496013,0.262713608377338,2.46244765542421
"58","noroBE",10,3,"lin",206,12.3911514912415,51.5605701125669,7,16,2,30,16,3.26468881828909,0.726699846672991,0.764908669793856,2.46244765542421
"59","noroBE",11,3,"lin",206,8.50785895492405,25.7541068419431,5,11,1,21,7,2.42334130058507,0.40053284177872,0.489157841206625,2.46244765542421
"60","noroBE",12,3,"lin",206,8.02359209236957,24.8921538404345,4,11,1,20,7,2.42552798269305,0.444985047839176,0.533416464295859,2.46244765542421
"61","noroBE",1,4,"lin",206,9.21961111061253,27.4712610119614,5,12,2,22,7,2.45090406924941,0.341467249267416,0.427682855643838,2.6077202363317
"62","noroBE",2,4,"lin",206,6.7427320145435,17.5296596219061,4,9,1,17,4,2.22430293382917,0.227919150341082,0.336061925378758,2.6077202363317
"63","noroBE",3,4,"lin",206,9.52784464514255,30.1707707175539,6,12,2,23,9,2.57651985085902,0.492104221162847,0.56814238941955,2.6077202363317
"64","noroBE",4,4,"lin",206,9.07636818872482,30.5571538451714,5,12,1,23,7,2.45961770835324,0.367616148464776,0.453083766744016,2.6077202363317
"65","noroBE",5,4,"lin",206,9.03704822485706,26.0529930299326,5,12,2,21,8,2.47505853850834,0.438885940779887,0.523044004405491,2.6077202363317
"66","noroBE",6,4,"lin",206,8.18137321740273,23.1560121830749,5,11,1,20,4,2.47789217480774,0.14825826723726,0.232178195073339,2.6077202363317
"67","noroBE",7,4,"lin",206,16.9191350052807,74.9988332438238,11,22,4,38,13,2.9608605703532,0.344076103611139,0.395850446142569,2.6077202363317
"68","noroBE",8,4,"lin",206,9.84632713495288,32.6928749905724,6,13,2,24,13,3.064280710206,0.73218496699554,0.778872378564042,2.6077202363317
"69","noroBE",9,4,"lin",206,7.73504758525852,22.7022672928251,4,10,1,19,4,2.3834144941875,0.17748696611903,0.269722069119858,2.6077202363317
"70","noroBE",10,4,"lin",206,17.3260531955546,82.5293521833713,11,22,4,39,13,2.98659979736504,0.335024258620719,0.385482973844951,2.6077202363317
"71","noroBE",11,4,"lin",206,12.199148224373,42.3193225483476,7,16,3,28,8,2.70320980213228,0.251612334899444,0.318602477074461,2.6077202363317
"72","noroBE",12,4,"lin",206,10.442873200539,35.6556978068223,6,14,2,25,5,2.71824020705975,0.137211825736184,0.203202608153043,2.6077202363317
"73","noroBE",1,1,"lin",207,8.65552722957839,21.728306278602,5,11,2,20,8,2.42472746577082,0.456000074944441,0.544502310588651,2.59721680506498
"74","noroBE",2,1,"lin",207,6.19940338761801,12.9056675984319,4,8,1,15,1,3.11069794032348,0.0149665510786758,0.0595363884742501,2.59721680506498
"75","noroBE",3,1,"lin",207,7.65145639960381,17.8671787935232,5,10,1,18,2,3.01881623025209,0.0331409398945818,0.0819999618688868,2.59721680506498
"76","noroBE",4,1,"lin",207,5.81855214509783,11.7261473397346,3,8,1,14,3,2.16672867787401,0.158300574853339,0.272852315134057,2.59721680506498
"77","noroBE",5,1,"lin",207,6.4436632127489,13.6887990717944,4,9,1,15,3,2.32080341146933,0.125738516635212,0.2239331798216,2.59721680506498
"78","noroBE",6,1,"lin",207,6.96245545280063,15.4211964254488,4,9,1,16,4,2.27281122332211,0.190395111027525,0.293417265355107,2.59721680506498
"79","noroBE",7,1,"lin",207,12.8949871867107,41.9099953369261,8,17,3,28,8,2.78184206390715,0.208592813043213,0.270517146715194,2.59721680506498
"80","noroBE",8,1,"lin",207,11.7972022357298,36.0822474249897,7,15,3,26,11,2.67985486134427,0.468654426681238,0.537227532721726,2.59721680506498
"81","noroBE",9,1,"lin",207,6.97470486001017,15.4632358142477,4,9,1,16,5,2.20905193214112,0.292451434104128,0.402256135595443,2.59721680506498
"82","noroBE",10,1,"lin",207,17.575961996934,71.4797240796956,11,22,5,37,14,2.97464918975909,0.353763502477331,0.404828847585622,2.59721680506498
"83","noroBE",11,1,"lin",207,8.7163356169741,21.9734424259027,5,11,2,20,3,2.90882644990478,0.0573534343076334,0.111893131702005,2.59721680506498
"84","noroBE",12,1,"lin",207,7.09156148378615,15.866914819907,4,9,1,16,4,2.29779221471156,0.182916946036207,0.283397384285775,2.59721680506498
"85","noroBE",1,2,"lin",207,8.03522780652342,20.989022966224,5,11,1,19,9,2.57120745564609,0.603136476118034,0.679579664035514,2.41466507567201
"86","noroBE",2,2,"lin",207,5.75600447799764,12.5044922617214,3,8,1,14,3,2.13948220173736,0.17203362288918,0.289749403159506,2.41466507567201
"87","noroBE",3,2,"lin",207,7.03461265163949,17.306730729606,4,9,1,17,4,2.27596724206245,0.198929449318376,0.301626976330628,2.41466507567201
"88","noroBE",4,2,"lin",207,5.17332101630011,11.0098873226764,3,7,0,13,2,2.17532725639704,0.104168402431057,0.217739383189644,2.41466507567201
"89","noroBE",5,2,"lin",207,6.26087749421281,14.0245614144353,4,8,1,15,5,2.14635239537724,0.363700941651038,0.480610763431953,2.41466507567201
"90","noroBE",6,2,"lin",207,6.22499232035743,14.2533003610117,3,8,1,15,4,2.1415394381289,0.252910600455754,0.37038446046795,2.41466507567201
"91","noroBE",7,2,"lin",207,10.8406178588885,34.2712827034855,7,14,2,25,7,2.6043697252568,0.243764608678927,0.317714339839259,2.41466507567201
"92","noroBE",8,2,"lin",207,10.8324633257837,34.6345256963282,7,14,2,25,5,2.81224574130702,0.117149909087057,0.177219848345087,2.41466507567201
"93","noroBE",9,2,"lin",207,6.95688222990237,17.3944423621946,4,9,1,17,3,2.40702501792783,0.116431913052009,0.206514804365806,2.41466507567201
"94","noroBE",10,2,"lin",207,15.1144736372691,60.9681017456938,9,19,4,34,16,3.04391349130719,0.582892482874672,0.63054053677285,2.41466507567201
"95","noroBE",11,2,"lin",207,7.99232376354391,20.7883676900254,5,11,1,19,7,2.36321594663965,0.42636941782798,0.520486478363532,2.41466507567201
"96","noroBE",12,2,"lin",207,6.43317454335455,15.2357328902075,4,9,1,16,7,2.37446165938578,0.573859974230993,0.666924550399621,2.41466507567201
