"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","noroBE",1,4,"pois",204,7.73246601670272,23.014304705845,4,10,1,19,8,2.52032419225132,0.55554000106268,0.63597352765888,2.66126235698977
"2","noroBE",2,4,"pois",204,6.77517711211455,17.865341828676,4,9,1,17,1,3.12937368240784,0.0155615162262168,0.0593067032809396,2.66126235698977
"3","noroBE",3,4,"pois",204,8.32679029809819,27.4031809498482,5,11,1,21,2,2.97850556938948,0.0379528893848999,0.0888216863621838,2.66126235698977
"4","noroBE",4,4,"pois",204,7.10973562657564,22.9148640555654,4,9,1,19,3,2.37154713038275,0.13750325392189,0.230839465148762,2.66126235698977
"5","noroBE",5,4,"pois",204,8.39473738378089,26.7924329854649,5,11,1,21,3,2.68103172591407,0.0843444283298369,0.152836880579988,2.66126235698977
"6","noroBE",6,4,"pois",204,6.99671611249197,20.3018678976851,4,9,1,18,4,2.26418519050382,0.224568732067692,0.328483402783118,2.66126235698977
"7","noroBE",7,4,"pois",204,12.3193667632711,52.356118572922,7,16,2,30,8,2.7200954823549,0.273738397035692,0.339606861885691,2.66126235698977
"8","noroBE",8,4,"pois",204,7.93787707408048,25.3295038184082,4,11,1,20,11,3.01158411232634,0.749644136955419,0.798857793973888,2.66126235698977
"9","noroBE",9,4,"pois",204,6.94255495815655,21.1934386944481,4,9,1,18,5,2.26048480993232,0.3403888827593,0.444688789623935,2.66126235698977
"10","noroBE",10,4,"pois",204,13.0134902083366,60.4460643605998,7,17,2,32,14,3.04772841747332,0.606128369727497,0.65359499610443,2.66126235698977
"11","noroBE",11,4,"pois",204,9.84114143972956,34.3273445793319,6,13,2,24,3,3.00827495599414,0.0549192482773683,0.104296030735523,2.66126235698977
"12","noroBE",12,4,"pois",204,9.65181774330001,36.3994694568984,5,13,1,24,4,2.69132505802288,0.118307160300878,0.186098213054968,2.66126235698977
"13","noroBE",1,3,"pois",205,7.07941595317937,19.5749886460226,4,9,1,18,8,2.53965034005193,0.611056318622649,0.689950299656327,2.64195571542748
"14","noroBE",2,3,"pois",205,6.38244179501528,15.8543221657795,3,9,1,16,1,3.01392160488457,0.017740995116951,0.0668397499222277,2.64195571542748
"15","noroBE",3,3,"pois",205,7.92577891403687,23.760907101561,4,10,1,20,2,2.91497596520524,0.0404841142032919,0.0946894480346823,2.64195571542748
"16","noroBE",4,3,"pois",205,7.4527240805624,23.4405436688882,4,10,1,19,3,2.45364720644819,0.118324790578026,0.204304219798752,2.64195571542748
"17","noroBE",5,3,"pois",205,7.78101235678248,22.3968739980465,4,10,1,19,3,2.56943131365596,0.0962378333341611,0.172816915855892,2.64195571542748
"18","noroBE",6,3,"pois",205,7.40254971961532,21.5210287429936,4,10,1,19,4,2.32809944270251,0.19686293928922,0.294343778354136,2.64195571542748
"19","noroBE",7,3,"pois",205,12.435108641644,51.6823139956744,7,16,2,30,8,2.72791109850008,0.26482813790872,0.330183806640483,2.64195571542748
"20","noroBE",8,3,"pois",205,7.80339980470402,23.6439635321465,4,10,1,20,11,3.01501032878497,0.75925451237211,0.808299841277855,2.64195571542748
"21","noroBE",9,3,"pois",205,6.19603526927536,16.9337472501202,3,8,1,16,5,2.19705290432589,0.397352082781924,0.508482270309367,2.64195571542748
"22","noroBE",10,3,"pois",205,13.2811672441777,58.0495004593857,8,17,3,32,14,3.00693035798167,0.586734600004603,0.636177819041549,2.64195571542748
"23","noroBE",11,3,"pois",205,9.68592584051822,31.8867761869637,6,13,2,23,3,3.00772241692639,0.0540302480118731,0.103434320610115,2.64195571542748
"24","noroBE",12,3,"pois",205,9.8141029614847,35.2603347504797,6,13,2,24,4,2.73942073609654,0.10762245024275,0.172230211242382,2.64195571542748
"25","noroBE",1,4,"pois",205,6.63444833734613,17.7651704923927,4,9,1,17,9,2.77787038631864,0.727053656311465,0.789224422523031,2.4456826366913
"26","noroBE",2,4,"pois",205,6.10151901357362,15.5623407532242,3,8,1,16,3,2.19540486349952,0.167763080072101,0.279076565685508,2.4456826366913
"27","noroBE",3,4,"pois",205,7.35762623104668,21.9990327405021,4,10,1,19,4,2.31654693261856,0.203339938098982,0.301953455582323,2.4456826366913
"28","noroBE",4,4,"pois",205,6.87869002552852,22.5564783898817,4,9,1,19,2,2.52893508529617,0.0698475814927805,0.149591477025101,2.4456826366913
"29","noroBE",5,4,"pois",205,6.98536765202983,19.0768671188086,4,9,1,18,5,2.24255721188702,0.32100175043146,0.427188365645107,2.4456826366913
"30","noroBE",6,4,"pois",205,6.58756863336016,19.0271508062975,3,9,1,17,4,2.20069545278087,0.254593452821079,0.365319579607818,2.4456826366913
"31","noroBE",7,4,"pois",205,10.7089456875717,40.98192886665,6,14,2,26,7,2.59587187224686,0.277764648316903,0.352345471086852,2.4456826366913
"32","noroBE",8,4,"pois",205,7.30680156639711,21.9071156432442,4,10,1,19,5,2.2846714751682,0.306855116042487,0.408662618948172,2.4456826366913
"33","noroBE",9,4,"pois",205,5.99585912569649,16.7025815568029,3,8,0,16,3,2.16029054605305,0.185249614338859,0.300541232985416,2.4456826366913
"34","noroBE",10,4,"pois",205,11.7066511359865,50.2557100342233,7,15,2,29,16,3.35848231577711,0.759372832203562,0.794160848327022,2.4456826366913
"35","noroBE",11,4,"pois",205,8.52985680119442,27.188022245314,5,11,1,21,7,2.43642764003643,0.404960281344396,0.492433059568141,2.4456826366913
"36","noroBE",12,4,"pois",205,8.68724662292567,31.8116004311087,5,11,1,23,7,2.47391891023265,0.409455425373251,0.493709452578808,2.4456826366913
"37","noroBE",1,2,"pois",206,7.80505013127165,20.8736348286134,4,10,1,19,8,2.47098788698067,0.540304923561312,0.624806263542376,2.66641522376069
"38","noroBE",2,2,"pois",206,6.95585451563464,16.9651484104853,4,9,1,17,1,3.30279902964145,0.0122372231803359,0.0490172978498626,2.66641522376069
"39","noroBE",3,2,"pois",206,7.88699429130202,21.6694924788203,5,10,1,19,2,2.97334945896484,0.0365332804804823,0.0876650399413696,2.66641522376069
"40","noroBE",4,2,"pois",206,7.85519660490728,22.6491573498834,4,10,1,19,3,2.58780955226618,0.093045405738625,0.168229953407604,2.66641522376069
"41","noroBE",5,2,"pois",206,6.94684237493074,17.4655179043043,4,9,1,17,3,2.40304956394008,0.117803174666468,0.208244899159573,2.66641522376069
"42","noroBE",6,2,"pois",206,6.81509267228032,17.2272041353037,4,9,1,17,4,2.23674252350547,0.218874100967618,0.325679956860074,2.66641522376069
"43","noroBE",7,2,"pois",206,13.7440328158264,54.3683488222283,8,18,3,31,8,2.85963165326209,0.198060894740722,0.255350753652787,2.66641522376069
"44","noroBE",8,2,"pois",206,8.70911042503058,25.7663441307679,5,11,1,21,11,2.85656040312543,0.69514797350354,0.752614054374958,2.66641522376069
"45","noroBE",9,2,"pois",206,6.51531928072683,16.3078550698501,4,9,1,16,5,2.18685399709338,0.352324033854446,0.464593427308211,2.66641522376069
"46","noroBE",10,2,"pois",206,14.4808967039653,60.2257387507965,9,19,3,33,14,2.94414333609439,0.516303569977616,0.568950711387025,2.66641522376069
"47","noroBE",11,2,"pois",206,9.3912217067241,28.129603302141,6,12,2,22,3,2.99178912807898,0.0537638162489683,0.103961362744042,2.66641522376069
"48","noroBE",12,2,"pois",206,8.50145274394212,25.3560325155959,5,11,1,21,4,2.53040998204098,0.138988366465877,0.218614734677895,2.66641522376069
"49","noroBE",1,3,"pois",206,7.10778875968046,18.7184075306533,4,9,1,18,9,2.69134362101462,0.684930105834046,0.752719900195063,2.46021576483533
"50","noroBE",2,3,"pois",206,6.40146389235374,16.1304868509025,3,9,1,16,3,2.26692919608811,0.147234051446661,0.250863970583985,2.46021576483533
"51","noroBE",3,3,"pois",206,7.4020442123847,21.5647531236263,4,10,1,19,4,2.32642350918974,0.19719696288192,0.294841310328195,2.46021576483533
"52","noroBE",4,3,"pois",206,7.28149853545897,22.2575424881805,4,10,1,19,2,2.68525907306733,0.0556400465876547,0.123843568599254,2.46021576483533
"53","noroBE",5,3,"pois",206,6.6024631811658,16.733571049025,4,9,1,16,5,2.19914927173748,0.346379400712985,0.457276862561347,2.46021576483533
