"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","noroBE",1,4,"unres",204,7.51346367433254,22.1829554979938,4,10,1,19,8,2.53609341585927,0.574506950934702,0.653682051542293,2.67028033194545
"2","noroBE",2,4,"unres",204,6.74512188379507,17.9980602314779,4,9,1,17,1,3.11337509360343,0.0158151196122211,0.0602657962983372,2.67028033194545
"3","noroBE",3,4,"unres",204,8.28707670877949,26.4343764023984,5,11,1,21,2,2.97623257381789,0.0382614506496978,0.0892460036839075,2.67028033194545
"4","noroBE",4,4,"unres",204,7.28540864145419,23.3441506577288,4,10,1,19,3,2.41081124869954,0.12931000567232,0.219052467250477,2.67028033194545
"5","noroBE",5,4,"unres",204,8.25107822868937,25.5846936596887,5,11,1,21,3,2.6575548205008,0.0866067719323876,0.156726238912206,2.67028033194545
"6","noroBE",6,4,"unres",204,7.1310285247691,21.3341911773655,4,9,1,18,4,2.28080072736928,0.218640539146442,0.32084287687996,2.67028033194545
"7","noroBE",7,4,"unres",204,12.0217457027418,49.090674900157,7,16,2,29,8,2.69792203890043,0.284999770848628,0.352345079224172,2.67028033194545
"8","noroBE",8,4,"unres",204,7.66401228352231,23.7977589568228,4,10,1,20,11,3.05282770106823,0.768137163469336,0.815362360139502,2.67028033194545
"9","noroBE",9,4,"unres",204,6.7723230149129,20.3822637292495,4,9,1,18,5,2.24783522593398,0.353928267948841,0.459555905160306,2.67028033194545
"10","noroBE",10,4,"unres",204,12.6035945683839,58.4538816853691,7,16,2,32,14,3.07313714169374,0.627285490444237,0.673561243753173,2.67028033194545
"11","noroBE",11,4,"unres",204,9.61073605294771,33.7086855827616,5,13,2,24,3,2.95089599376882,0.0593090781822525,0.111601909083304,2.67028033194545
"12","noroBE",12,4,"unres",204,9.55042035501289,36.419363075589,5,13,1,25,4,2.66447589308754,0.12290467435582,0.192540514952104,2.67028033194545
"13","noroBE",1,3,"unres",205,6.96492269957239,18.808109684795,4,9,1,17,8,2.54481771660884,0.62033739137284,0.698824748991391,2.66561425985851
"14","noroBE",2,3,"unres",205,6.3899300154639,15.8827899733903,3,9,1,16,1,3.02076838909599,0.0175161352422201,0.0662798696831352,2.66561425985851
"15","noroBE",3,3,"unres",205,7.73273003140258,23.0988750698127,4,10,1,19,2,2.85695367505793,0.0434350445256951,0.100878530043786,2.66561425985851
"16","noroBE",4,3,"unres",205,7.28556730759281,22.1899747561222,4,10,1,19,3,2.42494957141794,0.122705214427427,0.211187795408105,2.66561425985851
"17","noroBE",5,3,"unres",205,7.75511459259798,22.7380578870388,4,10,1,19,3,2.55709732483012,0.0976290717514994,0.175158528727167,2.66561425985851
"18","noroBE",6,3,"unres",205,7.44141320536404,21.7979750844839,4,10,1,19,4,2.33332430926744,0.195577984955184,0.292550827904965,2.66561425985851
"19","noroBE",7,3,"unres",205,12.4741161071555,51.178588008855,7,16,2,30,8,2.72941336724581,0.261030117127513,0.326287677791577,2.66561425985851
"20","noroBE",8,3,"unres",205,7.66084170003094,22.809855757287,4,10,1,19,11,3.03508319257578,0.769194694830888,0.817265358417807,2.66561425985851
"21","noroBE",9,3,"unres",205,6.08787591190473,16.0925801802871,3,8,1,16,5,2.18613608137157,0.404410726165581,0.5167607485209,2.66561425985851
"22","noroBE",10,3,"unres",205,13.3786264434689,60.8444601347719,8,17,3,33,14,3.0214005231291,0.584679387864677,0.633412306830252,2.66561425985851
"23","noroBE",11,3,"unres",205,9.6826389251754,32.4051918118236,6,13,2,23,3,2.99857052128685,0.0548591539871983,0.104717442801413,2.66561425985851
"24","noroBE",12,3,"unres",205,9.65670912945643,33.2415407675804,5,13,2,24,4,2.72263431845128,0.110010961087921,0.175712408806018,2.66561425985851
"25","noroBE",1,4,"unres",205,6.57102027910706,17.843720358536,4,9,1,17,9,2.79762826001419,0.733044391320983,0.793998850771443,2.44558677552685
"26","noroBE",2,4,"unres",205,6.08321197170479,15.4623854242061,3,8,1,16,3,2.19146273832791,0.169174890405712,0.280928053775676,2.44558677552685
"27","noroBE",3,4,"unres",205,7.20471370028188,21.4381542202199,4,10,1,19,4,2.29475258779773,0.213313315441869,0.314099641392583,2.44558677552685
"28","noroBE",4,4,"unres",205,6.74624824778656,21.1993775844923,3,9,1,18,2,2.50550051849663,0.0719710727948141,0.153605800861521,2.44558677552685
"29","noroBE",5,4,"unres",205,7.09680451804333,20.2055039537213,4,9,1,18,5,2.2573731569543,0.31687565852053,0.421500615960993,2.44558677552685
"30","noroBE",6,4,"unres",205,6.54920167760723,18.5163695122696,3,9,1,17,4,2.20004473530926,0.256082196773804,0.366880398433452,2.44558677552685
"31","noroBE",7,4,"unres",205,10.4651882958355,39.9060685609675,6,14,2,26,7,2.57791821294639,0.292848039039191,0.368779952712716,2.44558677552685
"32","noroBE",8,4,"unres",205,7.16630363690362,21.1101827475899,4,10,1,18,5,2.27029046142205,0.316528631867563,0.419810808105612,2.44558677552685
"33","noroBE",9,4,"unres",205,5.89381711486129,16.5422320771555,3,8,0,16,3,2.14121017722764,0.195499012375554,0.313011558305303,2.44558677552685
"34","noroBE",10,4,"unres",205,11.3628841694074,48.9742897474327,6,15,2,29,16,3.41286626982175,0.774355307652501,0.80730193862833,2.44558677552685
"35","noroBE",11,4,"unres",205,8.45843116497537,26.8081947451592,5,11,1,21,7,2.43391832436026,0.410344941259817,0.498037491921089,2.44558677552685
"36","noroBE",12,4,"unres",205,8.63847811387188,29.9462359007827,5,11,1,22,7,2.46352403993307,0.406362066580448,0.491496471248498,2.44558677552685
"37","noroBE",1,2,"unres",206,7.55790677342083,19.6877261702382,4,10,1,18,8,2.47373979676106,0.561485796630631,0.645754916219081,2.66847228331561
"38","noroBE",2,2,"unres",206,6.91016588463349,16.7684495621966,4,9,1,17,1,3.28624993231405,0.0124700956970032,0.049863911828353,2.66847228331561
"39","noroBE",3,2,"unres",206,7.82158915520644,21.2741673593241,4,10,1,19,2,2.95715892490575,0.0371936246388259,0.0891599725783136,2.66847228331561
"40","noroBE",4,2,"unres",206,7.82459158581374,22.7488131896954,4,10,1,19,3,2.57607415303786,0.0949671832645585,0.17103924912066,2.66847228331561
"41","noroBE",5,2,"unres",206,6.93546455533551,17.537155430973,4,9,1,17,3,2.39785923967285,0.118942203483621,0.209854570190414,2.66847228331561
"42","noroBE",6,2,"unres",206,6.86569261484042,17.4469040572725,4,9,1,17,4,2.24509913495108,0.215922607848559,0.321839647621069,2.66847228331561
"43","noroBE",7,2,"unres",206,13.8235433848888,55.9845270236722,8,18,3,32,8,2.86445685556155,0.197179980176736,0.254194069786232,2.66847228331561
