"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","noroBE",1,1,"lin",208,5.36311834586543,10.1789589630743,1,0,0,0,0,0,0,0,0,0,0,0,9,1.13992817335204,1.3984741071784
"2","noroBE",2,1,"lin",208,2.78320696694282,4.08017224685341,0,1,0,0,0,0,0,0,0,0,0,0,3,0.107326279015523,1.3984741071784
"3","noroBE",3,1,"lin",208,4.00334106443619,6.68672321803471,0,0,1,0,0,0,0,0,0,0,0,0,4,-0.00129204660165842,1.3984741071784
"4","noroBE",4,1,"lin",208,2.63012685386024,3.78834598790518,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.323745074802105,1.3984741071784
"5","noroBE",5,1,"lin",208,4.27699896606603,7.33977778398263,0,0,0,0,1,0,0,0,0,0,0,0,5,0.266868590935722,1.3984741071784
"6","noroBE",6,1,"lin",208,4.44467558309654,7.75230982251137,0,0,0,0,0,1,0,0,0,0,0,0,4,-0.159708386712346,1.3984741071784
"7","noroBE",7,1,"lin",208,9.89281482705892,26.2789715562246,0,0,0,0,0,0,1,0,0,0,0,0,7,-0.564308318594701,1.3984741071784
"8","noroBE",8,1,"lin",208,11.0162204565168,31.3352321936763,0,0,0,0,0,0,0,1,0,0,0,0,5,-1.07474957844964,1.3984741071784
"9","noroBE",9,1,"lin",208,6.23645664284159,12.7484381579209,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.906444676224755,1.3984741071784
"10","noroBE",10,1,"lin",208,16.9873616360581,65.3031654427761,0,0,0,0,0,0,0,0,0,1,0,0,16,-0.122182535151959,1.3984741071784
"11","noroBE",11,1,"lin",208,6.36914760147631,13.1611834803736,0,0,0,0,0,0,0,0,0,0,1,0,7,0.173892273980765,1.3984741071784
"12","noroBE",12,1,"lin",208,4.86135277428919,8.81822129527241,0,0,0,0,0,0,0,0,0,0,0,1,7,0.720192602259128,1.3984741071784
"13","noroBE",1,2,"lin",208,8.31743956057756,20.383848425496,1,0.004,0.002,0.001,0.008,0.004,0.005,0.014,0.014,0.02,0.01,0.002,7,-0.291801560330706,1.60881288037417
"14","noroBE",2,2,"lin",208,4.42355680907366,7.85293917483462,0.004,1,0.008,0.003,0.008,0.009,0.013,0.007,0.004,0.009,0.01,0.01,4,-0.151145614638906,1.60881288037417
"15","noroBE",3,2,"lin",208,6.6403716708117,14.5034817152068,0.002,0.008,1,0.007,0.004,0.004,0.013,0.007,0.003,0.004,0.004,0.011,9,0.619594374055033,1.60881288037417
