"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","noroBE",1,1,"unres",208,5.26858092232154,9.89309150330988,1,0,0,0,0,0,0,0,0,0,0,0,9,1.18633683352538,1.38165432809677
"2","noroBE",2,1,"unres",208,2.73356650702588,3.97847593752236,0,1,0,0,0,0,0,0,0,0,0,0,3,0.133576620201451,1.38165432809677
"3","noroBE",3,1,"unres",208,3.88416890033362,6.39764454222164,0,0,1,0,0,0,0,0,0,0,0,0,4,0.0457946902742577,1.38165432809677
"4","noroBE",4,1,"unres",208,2.66411722286796,3.84657360012353,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.33861619076206,1.38165432809677
"5","noroBE",5,1,"unres",208,4.12584700185308,6.96183707067904,0,0,0,0,1,0,0,0,0,0,0,0,5,0.331303118505065,1.38165432809677
"6","noroBE",6,1,"unres",208,4.2850791448266,7.3441966764824,0,0,0,0,0,1,0,0,0,0,0,0,4,-0.105194564014189,1.38165432809677
"7","noroBE",7,1,"unres",208,9.86178818530156,26.0645783738844,0,0,0,0,0,0,1,0,0,0,0,0,7,-0.560547131325085,1.38165432809677
"8","noroBE",8,1,"unres",208,10.6206869802215,29.4131492080342,0,0,0,0,0,0,0,1,0,0,0,0,5,-1.03637907740657,1.38165432809677
"9","noroBE",9,1,"unres",208,6.03749398644625,12.1103346987893,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.872845452817725,1.38165432809677
"10","noroBE",10,1,"unres",208,16.2903607242256,60.5023310561077,0,0,0,0,0,0,0,0,0,1,0,0,16,-0.037329469419285,1.38165432809677
"11","noroBE",11,1,"unres",208,6.14465711800886,12.4349921134545,0,0,0,0,0,0,0,0,0,0,1,0,7,0.242559053082265,1.38165432809677
"12","noroBE",12,1,"unres",208,4.79864771418755,8.63497988342458,0,0,0,0,0,0,0,0,0,0,0,1,7,0.749132922886499,1.38165432809677
"13","noroBE",1,2,"unres",208,8.32299476022904,20.3987119309471,1,0.004,0.002,0.001,0.008,0.004,0.005,0.015,0.014,0.02,0.011,0.002,7,-0.29292521117621,1.61852941193175
"14","noroBE",2,2,"unres",208,4.49828926477819,8.03794720875278,0.004,1,0.008,0.003,0.008,0.009,0.014,0.007,0.005,0.009,0.01,0.011,4,-0.175755512753097,1.61852941193175
"15","noroBE",3,2,"unres",208,6.74845144392617,14.8636176519856,0.002,0.008,1,0.007,0.005,0.005,0.015,0.007,0.004,0.004,0.004,0.012,9,0.584008347437698,1.61852941193175
"16","noroBE",4,2,"unres",208,6.0389044464336,12.4345816499971,0.001,0.003,0.007,1,0.002,0.003,0.005,0.003,0.002,0.002,0.002,0.01,7,0.272553007615308,1.61852941193175
"17","noroBE",5,2,"unres",208,7.12073885604294,16.0425113392289,0.008,0.008,0.005,0.002,1,0.005,0.014,0.018,0.008,0.009,0.011,0.005,8,0.219523846549316,1.61852941193175
"18","noroBE",6,2,"unres",208,6.29576725440296,13.5703023099264,0.004,0.009,0.005,0.003,0.005,1,0.006,0.004,0.004,0.01,0.013,0.013,4,-0.623208109134343,1.61852941193175
"19","noroBE",7,2,"unres",208,13.3661331370527,47.044804771923,0.005,0.014,0.015,0.005,0.014,0.006,1,0.022,0.008,0.004,0.006,0.007,13,-0.053380569322151,1.61852941193175
"20","noroBE",8,2,"unres",208,11.1017933249719,35.8809739891411,0.015,0.007,0.007,0.003,0.018,0.004,0.022,1,0.025,0.01,0.008,0.004,13,0.316892079568987,1.61852941193175
"21","noroBE",9,2,"unres",208,7.34530534594864,17.9846828172222,0.014,0.005,0.004,0.002,0.008,0.004,0.008,0.025,1,0.033,0.01,0.003,4,-0.788831733180667,1.61852941193175
"22","noroBE",10,2,"unres",208,18.5100235429084,89.2272588149748,0.02,0.009,0.004,0.002,0.009,0.01,0.004,0.01,0.033,1,0.028,0.005,13,-0.583317060980757,1.61852941193175
"23","noroBE",11,2,"unres",208,9.44634984414631,25.7121462744061,0.011,0.01,0.004,0.002,0.011,0.013,0.006,0.008,0.01,0.028,1,0.006,8,-0.285235901864499,1.61852941193175
"24","noroBE",12,2,"unres",208,6.95582526006578,16.165303934468,0.002,0.011,0.012,0.01,0.005,0.013,0.007,0.004,0.003,0.005,0.006,1,5,-0.486449894602547,1.61852941193175
"25","noroBE",1,3,"unres",208,8.57610853859997,22.1569970379524,1,0.01,0.006,0.003,0.019,0.011,0.012,0.031,0.032,0.043,0.026,0.006,6,-0.547278903497835,2.12307239939005
"26","noroBE",2,3,"unres",208,5.02852875670205,9.66764508651726,0.01,1,0.02,0.008,0.019,0.021,0.03,0.017,0.011,0.019,0.023,0.023,3,-0.65241031590595,2.12307239939005
"27","noroBE",3,3,"unres",208,7.51332940826288,18.3907162273518,0.006,0.02,1,0.019,0.011,0.011,0.032,0.016,0.009,0.009,0.011,0.027,4,-0.819255846551763,2.12307239939005
"28","noroBE",4,3,"unres",208,6.83907195937705,15.7944458217825,0.003,0.008,0.019,1,0.005,0.009,0.011,0.007,0.004,0.005,0.005,0.024,8,0.292114493160047,2.12307239939005
"29","noroBE",5,3,"unres",208,7.84704069204129,19.3958096989952,0.019,0.019,0.011,0.005,1,0.012,0.031,0.036,0.017,0.019,0.025,0.011,7,-0.192331455070722,2.12307239939005
"30","noroBE",6,3,"unres",208,6.78946898175138,16.0411420856704,0.011,0.021,0.011,0.009,0.012,1,0.014,0.01,0.011,0.021,0.028,0.029,15,2.04999878341138,2.12307239939005
"31","noroBE",7,3,"unres",208,14.4611102900881,58.480088573544,0.012,0.03,0.032,0.011,0.031,0.014,1,0.045,0.018,0.01,0.014,0.016,15,0.0704686383766767,2.12307239939005
"32","noroBE",8,3,"unres",208,10.9472477403257,38.4665519966446,0.031,0.017,0.016,0.007,0.036,0.01,0.045,1,0.049,0.024,0.019,0.01,19,1.29838266543931,2.12307239939005
"33","noroBE",9,3,"unres",208,7.83606460404711,21.4608081315698,0.032,0.011,0.009,0.004,0.017,0.011,0.018,0.049,1,0.066,0.023,0.007,1,-1.47564918551387,2.12307239939005
"34","noroBE",10,3,"unres",208,18.7564331742489,105.677219588698,0.043,0.019,0.009,0.005,0.019,0.021,0.01,0.024,0.066,1,0.055,0.011,19,0.0236934033136488,2.12307239939005
