"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.6272034329812
"t=205",NA,NA,2.64940336500723,2.46124986368465
"t=206",NA,2.69539820227698,2.49173575885759,2.58757745116747
"t=207",2.79764529059152,2.51801134106889,2.59969827267754,3.05111531097648
"t=208",2.28843418783076,2.48991861830945,3.03765756815326,2.86335582809299
"t=209",2.51402714965175,3.02720912336737,2.85840442206047,2.97057239855004
"t=210",3.00218472360617,2.87848192156129,2.98632197960329,3.05756881315008
"t=211",2.90277909054586,2.94952641316128,3.06811205172269,3.04092500588552
"t=212",2.82647877837405,3.02987254448583,3.03290999478171,2.95117685757114
"t=213",3.05351705800652,3.01391529165236,2.94819883137978,2.68671450273563
"t=214",2.97217242936994,2.92773851853694,2.68702157290766,2.81760202637754
"t=215",2.75976804517645,2.73612392866033,2.8223970036461,2.96843474654649
"t=216",2.79119836788135,2.77264651703409,2.94555929122605,2.57680712447356
"t=217",2.78254221491465,2.94749232659737,2.56609339681318,2.55470849678653
"t=218",2.76226173534546,2.54842367375955,2.53300958423593,2.49774909606005
"t=219",2.46921005652022,2.47168180495021,2.49334815274578,2.66159426972281
"t=220",2.47696705121459,2.53360215954242,2.65304874889538,2.30727452561278
"t=221",2.4193992278055,2.60941721640178,2.30740994312806,2.42700834458029
"t=222",2.8724112196439,2.35750789962351,2.45756803961431,2.16772900470313
"t=223",2.11345338469319,2.30061126754481,2.09251354221554,2.26229139120933
"t=224",2.30229039636175,2.08769604851618,2.26083528002372,1.68023577824327
"t=225",1.95331113052785,2.23018568392878,1.72236679194978,1.65405038161413
"t=226",2.21473894388711,1.7363628181598,1.67110780324082,1.40728039718165
"t=227",1.79129326020175,1.69521413349272,1.44064882257439,1.53696855291745
"t=228",1.58761234294745,1.3167681577727,1.52188309878453,1.94070777112085
"t=229",1.21866296199689,1.51391465923264,1.95115976465773,1.7237026965981
"t=230",1.5480440787974,2.00696256574221,1.72688834725369,1.93213021282795
"t=231",1.98870323263165,1.74243445774143,1.91601348250916,1.34213747422196
"t=232",1.60313351935422,1.89591889439188,1.34051216338464,1.70049711399117
"t=233",1.97761162004105,1.32069281835334,1.70447578908332,1.72633094600889
"t=234",1.48596920892713,1.69302421351488,1.71778171037973,2.0087730978508
"t=235",1.75918782303741,1.77962035864799,2.02487951104516,1.65724616749263
"t=236",1.66879667005609,2.01750159524906,1.65082457643912,1.57286266533785
"t=237",2.05494274477941,1.65460780155713,1.58217922715638,1.40743619371597
"t=238",1.59356450845363,1.58243176885761,1.40433229767639,1.65042886151761
"t=239",1.58649359779852,1.40527270989913,1.64544903036773,1.68911626330608
"t=240",1.39765344577926,1.65307361122891,1.69018004287583,1.91240679292915
"t=241",1.66424617933641,1.70202114986388,1.91129805146777,1.99674734631582
"t=242",1.67811594705666,1.91618251332452,2.00449360820215,1.95053412596442
"t=243",1.92642457999578,1.9979925814554,1.9457565110599,2.18068473740154
"t=244",1.92653019980662,1.93032983655717,2.1785441900011,1.89625403864322
"t=245",1.86913877674483,2.16871980926997,1.91587113464435,2.032015992192
"t=246",2.14323023038071,1.90890858433177,2.02596357876065,2.13924058862472
"t=247",1.9714791835558,2.03121312923215,2.14113137355924,2.31099585584994
"t=248",1.90767771505066,2.12514527579152,2.31616167457072,2.47499478527462
"t=249",2.07156967503371,2.30139947061709,2.47282768309313,2.44303171031245
"t=250",2.26300780127098,2.45338519809208,2.43788621182627,2.41981175125155
"t=251",2.42933935836027,2.43669798361094,2.45169363805551,2.63893001647335
"t=252",2.36762561408695,2.44645241496584,2.65031231047299,2.60324490188382
"t=253",2.49509936356116,2.6451293096442,2.59099933494131,2.87660252208953
"t=254",2.75024369580606,2.52949826159374,2.84290320983017,2.86010411414448
"t=255",2.50027978514793,2.84893382600685,2.8941393649152,3.26285591673226
"t=256",2.77945573953065,2.81106333307497,3.2203513787889,2.76488014213897
"t=257",2.72330699947043,3.1772929086661,2.73919857402938,2.66307029546443
"t=258",2.86707279729811,2.57602249105197,2.60678886477677,2.91092573896781
"t=259",2.44925228530629,2.56901222111067,2.91223894621619,2.63239415182444
"t=260",2.68578847568756,3.01752411219297,2.55876754261771,2.93325547494471
"t=261",2.72250681557973,2.62279173870688,2.9230932898749,2.62897260938043
"t=262",2.80374405977656,2.91372908375248,2.71551116194804,2.74087281119376
"t=263",2.92835454297388,2.46296983558822,2.6507670701463,2.65348947919909
"t=264",2.76862848009989,2.7369055214545,2.73510583914333,2.62840005104186
"t=265",2.60549394869868,2.56709660852043,2.52611620358657,2.68448311044134
"t=266",2.59477878971473,2.52882880297351,2.68091612045628,3.46868266384899
"t=267",2.45417725454305,2.69654767137061,3.50268271274378,3.06087557934304
"t=268",2.65751273631446,3.47238478326491,3.12326810087277,2.79922361390119
"t=269",3.46691377004689,3.06721130014898,2.77545235986175,2.62581885888732
"t=270",3.26282298323051,2.84855505264307,2.67914932539616,2.66718067051326
"t=271",2.66602545856824,2.6515667824949,2.67079573448364,2.42378425951643
"t=272",2.64413848694973,2.66482131717304,2.40705909242782,2.28345494805361
"t=273",2.59475131786098,2.36925553224311,2.26280686516962,2.49337512299392
"t=274",2.42889360317048,2.23945305680352,2.53031342312868,2.63889156859111
"t=275",2.2561881588291,2.48509796348262,2.77067688457038,1.81740214759122
"t=276",2.44006416396018,2.61961830037187,1.81626837765625,2.01112756705491
"t=277",2.62863649402559,1.76776748039579,2.00700128340984,2.50205525739177
"t=278",1.97119343157159,1.99636608978843,2.39387627949996,1.84062705999073
"t=279",2.03767868378007,2.51339204438508,1.84471347695209,1.60919957148626
"t=280",2.30925943638776,1.82990184428449,1.64023395881808,1.47255808874701
"t=281",1.6945478834559,1.68518594283024,1.47946101521869,1.43079402430527
"t=282",1.61453866181402,1.4860731340644,1.41736363959364,1.42935236667064
"t=283",1.57320303382905,1.38864081654277,1.40913708235895,1.88359299361161
"t=284",1.46392091982985,1.41759020500164,1.90026171767617,2.11872936910476
"t=285",1.39369491564156,1.87606263416674,2.11583835011151,1.89703808740109
"t=286",1.81330672783091,2.10179671802722,1.88801223447612,1.56283532095075
"t=287",1.97003475655431,1.86738549086934,1.55210509235176,1.38542309626629
"t=288",1.77120469072466,1.53157669491116,1.40562415805302,1.3224553917911
"t=289",1.45758408778571,1.38493449875416,1.3211538692738,1.44313268410604
"t=290",1.3711682431978,1.33095285688536,1.4447536838503,1.64523168936631
"t=291",1.26237779281298,1.40664116260544,1.64132940844415,2.18510125388616
"t=292",1.38153151925053,1.64277586123324,2.19192066496579,1.76158577707199
"t=293",1.60657845036231,2.19249641693139,1.76137790294379,1.92592658330509
"t=294",2.16908077656095,1.76290913545831,1.92653359584392,2.3333260864351
"t=295",1.74798956840727,1.92049335161371,2.32294603315189,2.46829612613934
"t=296",1.91513466972945,2.30741544121324,2.478555702927,2.13285009806681
"t=297",2.36973582755548,2.49565509613873,2.13010475682498,2.25734426237633
"t=298",2.46616030097511,2.10515102758378,2.24858317180193,3.38504708065897
"t=299",2.07106231755577,2.2174429030733,3.33386350946925,3.01110602288617
"t=300",2.19754990502197,3.35641535608148,3.00245004458208,3.28249333511078
"t=301",3.30283393001768,2.97744985927809,3.25928924790488,3.35725514159744
"t=302",2.83301725018682,3.04894753372746,3.16217132543424,3.78946263357439
"t=303",2.96190642287331,3.18538844123389,3.89311222553106,3.77198892766372
"t=304",2.95107264339953,3.74988576091177,3.68006074410601,3.78226354747022
"t=305",3.44287321733126,3.50962860205139,3.64688943161443,3.19566422383373
"t=306",3.13605097184597,3.43018969921064,3.14019336648522,3.30087228460858
"t=307",3.2772200986496,3.08842438116948,3.23609951624987,3.71995076659345
"t=308",3.03117198477586,3.19819167846691,3.69689707557835,3.06478728331156
"t=309",3.30228699304495,3.77384350811241,3.04835352377497,3.13793140442465
"t=310",3.69511176072769,3.15523448234228,3.06406187642528,3.21173123787032
"t=311",3.17754992120285,2.98520316345884,3.19436228695445,3.37837058758785
"t=312",3.40567654927286,3.30030927329543,3.3635549922753,3.12977385549996
"t=313",3.21308476396087,3.3496927669985,3.18895078030215,3.20940113738948
"t=314",3.31394579797947,3.24856038602445,3.2046124744797,3.15108136037933
"t=315",3.24647880144054,3.16659871004552,3.16853231400634,3.05295921335253
"t=316",3.23021510590981,3.18152842043838,3.01778837648011,2.98220480721859
"t=317",3.12157560610259,3.01732458881693,2.9695009304773,3.18632179630109
"t=318",2.96958843305676,2.94110691293028,3.18544368567628,3.0568667564232
"t=319",2.90677260424523,3.21658357754386,3.0249783066092,3.03421827700525
"t=320",3.13145082468008,3.00566162612461,2.99913974653157,2.82960258260039
"t=321",3.03774596848102,3.00337084794432,2.79993904857284,3.55665547862804
"t=322",3.08211442292538,2.85712785897933,3.61012173565532,2.57993781726737
"t=323",2.85905862131258,3.55453518773337,2.60744613245675,2.52953989329865
"t=324",3.63229195893737,2.63070928467401,2.50225141158435,2.5005912885853
"t=325",2.85841548830246,2.62260202710255,2.58092647915141,2.56705347325965
"t=326",2.27193215998967,2.41767546858526,2.59656028835231,2.4910118167446
