"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.56589891947144
"t=205",NA,NA,2.60758840301014,2.44509779738685
"t=206",NA,2.63061921580382,2.45691402483837,2.57738281192182
"t=207",2.6465302382827,2.4616592778762,2.5863367461618,3.0207268158331
"t=208",2.28501721600534,2.4706180838948,3.0163457330461,2.82624781705294
"t=209",2.47248195809761,3.00753997349845,2.81433509827772,2.91587148304639
"t=210",3.01261342500594,2.84317405216836,2.94772149634831,3.05012149699853
"t=211",2.87775674843702,2.86725907969037,3.06459351431895,3.01026923143145
"t=212",2.76803713002332,3.02780787627162,3.02482633283835,2.92472046136151
"t=213",3.07143688550713,3.00881026463294,2.91747719851124,2.69296247751874
"t=214",2.97204084559042,2.9013105185519,2.71751005793649,2.79813808647791
"t=215",2.75187196083831,2.78512780745191,2.78071279821161,2.95377137516196
"t=216",2.81323413450033,2.72729418051527,2.95056029318372,2.55336466296026
"t=217",2.65578876550164,2.91663715310881,2.54595083682878,2.52277154977438
"t=218",2.77909026886465,2.5151192318425,2.45736791725104,2.48914934648944
"t=219",2.4633287533145,2.3582649698015,2.45390851999489,2.58288036742948
"t=220",2.36605005762069,2.51494148195254,2.5698746603618,2.26444838101572
"t=221",2.44638570483003,2.53574369506999,2.25578418038314,2.35287613795706
"t=222",2.67799881496415,2.33165705439252,2.41992530067401,2.12415373385418
"t=223",2.14551337634532,2.22818979929609,1.99673540233105,2.25088009892334
"t=224",2.22894317454765,1.97681278958943,2.20411710863233,1.7075750380579
"t=225",1.90532641185502,2.19372657564368,1.77255849274231,1.7320618044927
"t=226",2.20348447178578,1.80963196562193,1.76897237478025,1.50830837739907
"t=227",1.80620077936862,1.8075197740811,1.55387749858473,1.56497250768693
"t=228",1.68878109364291,1.40938275944521,1.53463287780524,1.91807438194388
"t=229",1.27171289849593,1.50907686095139,1.91691280280637,1.71901940843235
"t=230",1.52528080920597,2.03262708886486,1.74841059686702,2.00576502704534
"t=231",2.03983935045635,1.79335384040594,1.96835125900701,1.32905491163835
"t=232",1.61366807821631,1.93404787252522,1.30776761854392,1.74611754238801
"t=233",2.00494397044597,1.29817607205553,1.74885485175247,1.74981686478523
"t=234",1.42777510038714,1.73178016713857,1.71818059709281,1.98683410900346
"t=235",1.76949864203274,1.82160654210563,2.04977822970213,1.66325962873368
"t=236",1.71147783333817,2.07863467620275,1.64910361801868,1.56611522983934
"t=237",2.11382917830449,1.67060750306193,1.58803060308329,1.40000182621331
"t=238",1.6073915157078,1.58588034166095,1.40280144603796,1.66745955090803
"t=239",1.59597876909975,1.41692871695606,1.66058151991366,1.6873901105237
"t=240",1.40490269188829,1.69351597771455,1.69117788681748,1.89158462928141
"t=241",1.7122092546942,1.7172065757762,1.89533187196878,2.00254502946036
"t=242",1.68624981782003,1.91233304905141,2.02222675144953,1.94642160074543
"t=243",1.9276527386738,2.01523437325265,1.95069808549001,2.18455571430994
"t=244",1.93394144979686,1.90276821208674,2.17679813035698,1.91311784900392
"t=245",1.8490780745196,2.17304430939202,1.94860202606973,2.06058818528305
"t=246",2.14640570736583,1.95384930920462,2.0419670694028,2.14990305533725
"t=247",1.98767582146172,2.04897143835505,2.13845017356133,2.29917184000898
"t=248",1.91543340389402,2.10405153761383,2.30075495525645,2.46329011772218
"t=249",2.06243581873432,2.27374060048029,2.45937335362137,2.42236491346715
"t=250",2.24502451506731,2.41450365099973,2.39888264924696,2.42835961232581
"t=251",2.40513541444454,2.40456780143287,2.48062937781379,2.62973257373764
"t=252",2.34711340553161,2.48448964971526,2.67479839666219,2.61793873789077
"t=253",2.51699306954124,2.68269871317892,2.63452215264261,2.89590482078041
"t=254",2.75854233705541,2.56485104964072,2.86075851462738,2.85333769060566
"t=255",2.4810110941761,2.81844121812733,2.83756707545613,3.23881586017242
"t=256",2.76650426846471,2.77955982379172,3.16925813884745,2.67957735663551
"t=257",2.69179871903944,3.12468882649699,2.64699799209987,2.59096528952184
"t=258",2.86434986215456,2.45352899774665,2.53493225618938,2.91426768269563
"t=259",2.33342093911561,2.56285923792941,2.93339819671379,2.45971043403239
"t=260",2.74261156495657,3.08927327541456,2.41894681113498,2.95769389450725
"t=261",2.76062607400431,2.44668795175433,2.89760615241378,2.47222503590969
"t=262",2.5968228846113,2.84882582712096,2.58361357489107,2.70098600261655
"t=263",2.87454532815473,2.39346434506124,2.61808357233392,2.60519641397018
"t=264",2.58379975632539,2.68112653702782,2.70583260241802,2.58027215388749
"t=265",2.61321737574591,2.59982555577765,2.5062157358798,2.71116871096401
"t=266",2.57133212299867,2.47597135886457,2.69577456109542,3.53881433165242
"t=267",2.42260493704399,2.73025446924731,3.57186215235158,3.12290724502984
"t=268",2.71022917215088,3.59339894383038,3.1803909900542,2.82325838659017
"t=269",3.54687781784687,3.10289812518721,2.78633338485901,2.60556389752176
"t=270",3.23301927163838,2.88022473148469,2.74992354705965,2.70463533357515
"t=271",2.69434674195826,2.67387783574353,2.6920002671287,2.47002225384584
"t=272",2.65544624861356,2.69414419112794,2.45978940099254,2.33153369609402
"t=273",2.61017945675474,2.40484531647857,2.28519303843912,2.53774539995752
"t=274",2.41333342467826,2.23497611488598,2.61240226089116,2.61381127769682
"t=275",2.20643801988466,2.58253579790731,2.76450448119837,1.84768214559626
"t=276",2.49241912870153,2.66618331040701,1.85422393232658,1.99740182149353
"t=277",2.57031341615159,1.77289547540421,1.96245352792811,2.48984157027277
"t=278",1.89288701725429,1.93335525141776,2.29350164866342,1.79383215264112
"t=279",1.96419104073734,2.4139771899625,1.79459735713382,1.61333892457491
"t=280",2.28818450513675,1.79105118662441,1.64867582638629,1.46673027163319
"t=281",1.67390673424164,1.68102297399991,1.4938576994356,1.42315588025745
"t=282",1.63474485873287,1.51873473378927,1.41541189286072,1.42762793750267
"t=283",1.57119135897763,1.38123753670779,1.38702625403475,1.89324606841944
"t=284",1.43284729142434,1.38284829112384,1.90160049561656,2.1268599738307
"t=285",1.37289838859286,1.87359490752504,2.12960035693592,1.90767867499633
"t=286",1.81842081037134,2.10146178243569,1.88853310448016,1.57500077167146
"t=287",1.9771926923783,1.84354448907119,1.52350422912962,1.35832278432208
"t=288",1.74720614255472,1.48865756735095,1.40546946172869,1.32283075727046
"t=289",1.42878929165693,1.39084386841375,1.32988590545701,1.42547040789894
"t=290",1.36945318387395,1.3518093303789,1.4219926966156,1.6256773045843
"t=291",1.29474957702073,1.36516160903819,1.61612533200002,2.17060199440144
"t=292",1.34644615691182,1.62978495123364,2.19381612266712,1.74300469577385
"t=293",1.59924777915575,2.19504382468343,1.74275484384376,1.923896486774
"t=294",2.17302640700033,1.75369478271263,1.91034845494438,2.352053100644
"t=295",1.72859679599498,1.91319794490705,2.29252833496827,2.42743525436597
"t=296",1.90685832005902,2.25386554630658,2.42894877554789,2.10503580432534
"t=297",2.32614638261574,2.47076284825391,2.12580162986125,2.24811741586398
"t=298",2.46162611714853,2.08005750533636,2.21789519865497,3.3448587749137
"t=299",2.04872059542821,2.18969844166981,3.3122995918754,2.92494813219168
"t=300",2.17044824248923,3.29347093676935,2.92739401322761,3.18595059484199
"t=301",3.25284909341574,2.90956699814308,3.13640924222998,3.22862072577448
"t=302",2.80631256454155,2.96862674366189,3.02227548836242,3.62917600121627
"t=303",2.86676154812011,3.01870509686992,3.66633713402263,3.56964900229887
"t=304",2.89273154040176,3.5917193533314,3.51654280876387,3.67580306606224
"t=305",3.37934727180063,3.39863448839267,3.57497358392951,3.12815566637969
"t=306",3.11924467264586,3.4139552385817,3.12497498618186,3.20371018231322
"t=307",3.29498812646402,3.09895974032612,3.14295871618071,3.68237378669569
"t=308",3.05276433221275,3.11816477808563,3.64557419517887,3.13184625889147
"t=309",3.15810480073478,3.71805973463028,3.10991246609976,3.1325662421102
"t=310",3.72361197989164,3.20092909244149,3.07791692846425,3.17983954528005
"t=311",3.21100044953888,2.95175967460452,3.15540567969142,3.49676758019473
"t=312",3.05800769490702,3.19581950536018,3.42868446265187,3.11766197116615
"t=313",3.21328110219327,3.42171090026584,3.20345365775534,3.17270049215768
"t=314",3.34543323637749,3.2589163222896,3.18558323447922,3.11668097686302
"t=315",3.27299047080441,3.10659318773444,3.17665676072375,3.06442981998612
"t=316",3.10461233983836,3.18439408164971,2.98707431220399,2.93420963983231
"t=317",3.14277465955407,2.92976307957801,2.91555088707887,3.1390127464599
"t=318",2.90989272114953,2.87514272212655,3.14239102588199,3.04448595720877
"t=319",2.84615660786285,3.1808319662286,2.97005444884657,2.99055672344359
"t=320",3.12904148861646,2.9582339699192,2.93424050255423,2.81241587318048
"t=321",2.97197928623881,2.9723396856055,2.74351172865868,3.55805161594703
"t=322",2.99338375676855,2.83337319686533,3.64480812314583,2.57701868055442
"t=323",2.84203542086589,3.61882925788698,2.5911106521668,2.72370049888701
"t=324",3.64082408852306,2.63872011643147,2.74492072935669,2.66372541945809
"t=325",2.77333706348515,2.76633197409123,2.75264035016868,2.55888223821407
"t=326",2.46647782262266,2.56774602388309,2.58514862037698,2.44441844427781
"t=327",2.47003339148963,2.72476449661004,2.53571063757419,2.038631269449
"t=328",2.66952354972847,2.51559941791837,2.0009592822414,2.74990647517045
"t=329",2.20028276361559,2.06340715154608,2.65538009048949,1.87462202170771
"t=330",1.99207100026432,2.40818869819748,1.80907948283631,1.72174286686136
"t=331",2.43452667923551,1.77276668676432,1.77159079487172,2.07695724532075
"t=332",1.68267924890691,1.82150037055903,1.97965247203982,1.86387945798252
"t=333",1.85774492641685,1.99980568451063,1.86325777040154,1.80344851014012
"t=334",1.97136108724417,1.83695388236705,1.84093892767131,1.53635294510852
"t=335",1.79466091955477,1.81196869145928,1.54177495182206,1.80592629051391
"t=336",1.7772383093303,1.59172311975388,1.75314796582734,1.37549168053062
"t=337",1.66414497392145,1.74167119301951,1.37843428189851,2.40869312593464
"t=338",1.80763029166415,1.37483248765534,2.46608236682962,2.13673199022422
"t=339",1.36668109253207,2.32765730284239,2.11965087506651,1.58107635893668
"t=340",2.42332480362249,2.09884749423678,1.57655814816516,1.70571045156437
"t=341",1.97592425620103,1.61169224097266,1.75926244713133,1.50475433403876
"t=342",1.65846105301487,1.74569433344786,1.48529273825189,1.80644964358146
"t=343",1.74259143713181,1.4724237518942,1.78810224327438,1.71360495184644
"t=344",1.45100247437296,1.74571666359548,1.73534611042376,1.56146711107551
"t=345",1.77950451239022,1.74875339735284,1.55575252434314,1.86965807729056
"t=346",1.71078269069522,1.56267587015651,1.88853075452165,1.8370196650218
"t=347",1.5717563796419,1.92758533192149,1.8424582559488,2.19408177058328
"t=348",1.87703276367588,1.82525802428836,2.20459220389588,2.06987874845008
"t=349",1.80980981635959,2.19962718597487,2.06517531559299,2.74423036629635
"t=350",2.15492139420643,2.06610714243596,2.75632866131958,2.7361776679531
"t=351",2.04970717983203,2.74558217636172,2.68117719347238,2.49666762712261
"t=352",2.69493267254753,2.74806667717803,2.49309511229125,2.42710012786714
"t=353",2.72410927781766,2.41796716420284,2.45469116693984,2.61732136044315
"t=354",2.39280278244216,2.5425000963938,2.63811930361569,2.68493619732878
"t=355",2.53677250834775,2.61860850191437,2.65513741391494,3.14335917830336
"t=356",2.54019486267529,2.63871059641001,3.17912725970776,3.11723470636819
"t=357",2.65541775590872,3.17729352977658,3.11525294356796,2.90452915153344
"t=358",3.12619511154036,3.06636316617617,2.84132905855562,3.53068227425636
"t=359",2.91141941359041,2.7962825524736,3.46012467896079,3.75922798174999
"t=360",2.77337127688052,3.40384052522007,3.72618725852932,3.91341297339341
"t=361",3.49653164211797,3.81226842260048,4.00828738125405,NA
"t=362",3.58887113866178,3.98684455247444,NA,NA
"t=363",3.65552265537668,NA,NA,NA
