"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.57867393475537
"t=205",NA,NA,2.61361632827586,2.44420301973164
"t=206",NA,2.65462541233328,2.46758965550297,2.57425307144928
"t=207",2.65068465909535,2.47183201770603,2.5847486153441,3.02526079576433
"t=208",2.29266951633361,2.46789605839749,3.02183410526037,2.82439341375305
"t=209",2.46715703594526,3.02032759069267,2.8178607438277,2.92033406152612
"t=210",3.02080822033172,2.85472351040664,2.94984240410206,3.05066352117642
"t=211",2.88417894904066,2.87646271437277,3.06506265251791,3.0122557431299
"t=212",2.77166314127606,3.02896270607077,3.02644356338901,2.93071429949604
"t=213",3.06681770532909,3.00904746516448,2.92202556947542,2.69432668347178
"t=214",2.97549163446654,2.90766235608804,2.73286244685423,2.80832247953357
"t=215",2.76141144578544,2.7908853819233,2.78802476285948,2.96310093975106
"t=216",2.82137215710908,2.7284908392132,2.94424275228265,2.56617620401491
"t=217",2.65266981661619,2.92198816966646,2.5558490380536,2.52789474904654
"t=218",2.78530386272084,2.51730868127154,2.47183510852155,2.48337162805648
"t=219",2.46123555708826,2.35119627788527,2.46129898859723,2.60031559907766
"t=220",2.36155733922428,2.5252017123721,2.57759767315839,2.2723347463031
"t=221",2.45483669919293,2.54406840291703,2.25887200885686,2.36993207087718
"t=222",2.68653472186919,2.34491847488794,2.42555934835095,2.13049561577947
"t=223",2.15838759493026,2.22192047553563,2.00381408650611,2.25115778544687
"t=224",2.21933085681382,1.97727068307404,2.20780819787818,1.7068912785698
"t=225",1.91001820602356,2.1954273581015,1.77662225444171,1.70948110739766
"t=226",2.20537927385715,1.81178794914542,1.76437441962986,1.50491370705269
"t=227",1.80937709845506,1.80620105670453,1.53321295107434,1.56202197180302
"t=228",1.68360746058775,1.38947351270012,1.52904766457873,1.918008575127
"t=229",1.24850330498095,1.51183911306739,1.92634489085759,1.72047716763746
"t=230",1.54185719213514,2.06918864989139,1.75533540628586,2.00928079163549
"t=231",2.06517509311644,1.80506264166064,1.9602885018641,1.33458104822714
"t=232",1.62826163913608,1.92883887183943,1.31772591311439,1.73545379900819
"t=233",1.99654270248548,1.29826955711821,1.7423448850151,1.74996376310453
"t=234",1.42359320628227,1.72774071735437,1.714111743809,2.00103832290497
"t=235",1.75830114518179,1.82205529721201,2.05816077455491,1.67133626246469
"t=236",1.72113331021386,2.07813468511628,1.65304574179062,1.56477728186951
"t=237",2.11149498172022,1.67496979220134,1.59356342221674,1.40074127801902
"t=238",1.61362814281636,1.5879849498808,1.40380556665822,1.6698648761414
"t=239",1.59886171408088,1.41512055092624,1.66347482661592,1.68976585554791
"t=240",1.40329060325537,1.69409873415103,1.6926241885797,1.89487375118701
"t=241",1.71827814308357,1.72309589328187,1.89823531030433,2.00710015695325
"t=242",1.69358725877079,1.91745274867568,2.02155780998837,1.94314814472464
"t=243",1.92996585751864,2.01261421553382,1.94565227523542,2.1847626517857
"t=244",1.93138886582043,1.89722706768892,2.17180697608724,1.90861149138575
"t=245",1.8446089748154,2.16806752487476,1.9415068241096,2.05586155646537
"t=246",2.14553237014494,1.94734312000743,2.04337603002439,2.14558596885074
"t=247",1.98181637053342,2.04778874127218,2.13440078689257,2.30103902088794
"t=248",1.9133405160263,2.10405201848785,2.30663300293298,2.45974209521057
"t=249",2.06403852757719,2.27839083155327,2.45843311585543,2.42451443600619
"t=250",2.24677884459993,2.41058776494529,2.40656634545218,2.4249691103789
"t=251",2.39965989118905,2.40729407283688,2.48126618771182,2.63491337551893
"t=252",2.35274585716704,2.48202329742602,2.67395595805022,2.62691765315344
"t=253",2.51575388522971,2.67891389117418,2.63502652813801,2.89786477382671
"t=254",2.75624355206142,2.56212585601152,2.86362393452687,2.85223745440987
"t=255",2.47363490374013,2.81207579295786,2.84613657033292,3.21640340242325
"t=256",2.76365407383246,2.78295312018924,3.16200348927369,2.67302533964087
"t=257",2.6922952353818,3.13187881028111,2.66978061649143,2.60169129194348
"t=258",2.87543842789228,2.45153203593265,2.51966288224903,2.91559652015917
"t=259",2.32617726191627,2.57964599993521,2.94818046483973,2.44914355840206
"t=260",2.74909721219033,3.09930768494601,2.41310827018393,2.95376932613451
"t=261",2.77884971848905,2.44697896344691,2.89686188852851,2.48426007055156
"t=262",2.60272417888579,2.84939438893181,2.62056728310286,2.7085229319549
"t=263",2.86178262669765,2.40081394000039,2.6187647384351,2.61307132410783
"t=264",2.57756953848791,2.68879338443762,2.70753679047277,2.58622247661831
"t=265",2.6118790327651,2.59145186507872,2.50895930636063,2.70679434131569
"t=266",2.56150646113468,2.46774940199405,2.69781154101193,3.54051575704219
"t=267",2.42214068869326,2.722243242651,3.600704099935,3.10017520609295
"t=268",2.7129654059424,3.59055781020698,3.17959131692763,2.81214927152649
"t=269",3.54076417893722,3.09936765861415,2.78761168038688,2.61155178648864
"t=270",3.22318146433133,2.89057856031424,2.74228467346333,2.69475695589388
"t=271",2.70792226293104,2.66764967449089,2.6860651102338,2.47859974430986
"t=272",2.65046307056559,2.68387737975098,2.45224547230671,2.31476499231898
"t=273",2.60421023194965,2.38245552860578,2.28386648720039,2.52461617269428
"t=274",2.4001526104642,2.22395551377574,2.60656843648781,2.62812211047514
"t=275",2.19624567518213,2.58495584762545,2.76596606882157,1.83908305804416
"t=276",2.48558916151541,2.68271735811805,1.83760470778945,2.00149219102982
"t=277",2.57362379193727,1.75714734646,1.96732826580215,2.4997741983282
"t=278",1.87939319836429,1.94076438320321,2.3062414325095,1.80259206585899
"t=279",1.96490323780585,2.42522605071644,1.80783508128574,1.61535481421938
"t=280",2.31496046447445,1.7965511207768,1.64199581092296,1.46723701313605
"t=281",1.68167825627071,1.68337886522677,1.49339008683536,1.42949774727473
"t=282",1.64207766044263,1.52012706068825,1.41491851109956,1.42368579405379
"t=283",1.57248175438987,1.37300838356557,1.3884757771678,1.89965983477777
"t=284",1.42793885154945,1.38047827965447,1.89802284873855,2.12718179714718
"t=285",1.37301190581481,1.8772013308214,2.14189649256998,1.90397585748849
"t=286",1.81506363720233,2.10213759695727,1.88848613868879,1.57653692183371
"t=287",1.97285151485109,1.83820363534488,1.52324453886789,1.3637153467718
"t=288",1.74872697832671,1.48609201288884,1.40612075379361,1.32466026987404
"t=289",1.43124746057753,1.39350937735529,1.33132549571469,1.42688122742777
"t=290",1.37240473189488,1.3532270164869,1.42526883318083,1.6225778757993
"t=291",1.29214245490564,1.36144828156169,1.61381781830279,2.17474910211403
"t=292",1.34408543890111,1.62780324935367,2.19801741681107,1.74504488055629
"t=293",1.60148007522589,2.19304836632695,1.74349125978737,1.91948113327086
"t=294",2.1696359260444,1.75339793858683,1.91059234740103,2.34923392078353
"t=295",1.73311510358161,1.91572219916546,2.29764662600427,2.42390343033299
"t=296",1.90720032499193,2.24983332280111,2.43472159716666,2.10668497218232
"t=297",2.32044188503893,2.48608275475807,2.12469032137293,2.25052056131702
"t=298",2.46742035825122,2.07528099123014,2.22630279128597,3.32034245368264
"t=299",2.0438298657297,2.1856366455137,3.29142707990885,2.93085815310158
"t=300",2.17109611763426,3.29621996956757,2.93232724759997,3.19047804998133
"t=301",3.25147820240021,2.91679521797355,3.16119726349189,3.24379849069691
"t=302",2.80777548778864,2.96861897348379,3.01715154308544,3.62936220414694
"t=303",2.86343034882681,3.00771160122478,3.66674790755535,3.55825134651223
"t=304",2.90105973857338,3.60192329066663,3.55797222523786,3.65867422831208
"t=305",3.38202918017313,3.39792701554898,3.56719062603929,3.1304342643288
"t=306",3.1207767516952,3.40838679469071,3.12773602342581,3.19952755972371
"t=307",3.29668803821695,3.09543917160648,3.14194764653273,3.68571652900315
"t=308",3.05229790048588,3.11237335913958,3.64479761443882,3.13330980626158
"t=309",3.16224632320961,3.71646522667612,3.08472909337895,3.14555936114041
"t=310",3.72450517582775,3.18775018773102,3.08344596016487,3.18191970594105
"t=311",3.21082798851759,2.94747857259694,3.16256435681665,3.48291030272373
"t=312",3.04924741535701,3.22316145245688,3.42944669840942,3.10304448009911
"t=313",3.2269657943677,3.40244832670158,3.19056264520484,3.17994298276404
"t=314",3.3315251491798,3.26045311647995,3.18821704698058,3.11585862421944
"t=315",3.28818110453717,3.11148043127387,3.17800343884938,3.06665036842245
"t=316",3.09616892746459,3.19051083961113,2.99028445304993,2.94450067691168
"t=317",3.14741672424708,2.92428870649988,2.92121419693078,3.15562030851596
"t=318",2.90969624495791,2.88585323358519,3.15256795185964,3.0613210009881
"t=319",2.85312452194791,3.180769965652,2.97743690616159,3.00534151523706
"t=320",3.1373553700431,2.96223518041563,2.93277035573021,2.8152034902264
"t=321",2.97311353009353,2.99178836708535,2.74541838563685,3.56570530829206
"t=322",3.00153016737319,2.84603328709946,3.67738467116059,2.54328078183148
"t=323",2.84855847767539,3.60277288618856,2.58363944287381,2.67140521363796
"t=324",3.63587079680942,2.66249160212558,2.69551485601028,2.64467187558038
