"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.57174156000156
"t=205",NA,NA,2.61216710441681,2.44137702082718
"t=206",NA,2.63310460704714,2.45567886689223,2.57581758929588
"t=207",2.64134586025993,2.4593333215391,2.58611622304056,3.02679374181261
"t=208",2.29181131124402,2.46809796778698,3.01309615030425,2.82220086604298
"t=209",2.46903999200222,3.01411731730261,2.81708354644424,2.91688503110884
"t=210",3.02547270166753,2.85065723871549,2.95396923324241,3.05202927814554
"t=211",2.88027309089349,2.88157237503892,3.07088168935038,3.01243152766802
"t=212",2.77833322603118,3.02848759136662,3.02328971160485,2.93275301244771
"t=213",3.07190188606535,3.01158043802095,2.91762409337186,2.70764562894684
"t=214",2.9818390659522,2.90410228709941,2.72867730714955,2.80521160790969
"t=215",2.75834489972041,2.79126936605781,2.79211087659748,2.96837834980992
"t=216",2.82014441438945,2.72848701239933,2.94826773063965,2.56111333340644
"t=217",2.6542943354633,2.92043884182035,2.56155682076767,2.53084169927657
"t=218",2.78747765161653,2.51597514543222,2.46914163117906,2.47617879755852
"t=219",2.4644935040046,2.35770273376738,2.45307308339781,2.6011470029432
"t=220",2.36369095590948,2.51485858337683,2.57760033220659,2.2723731048977
"t=221",2.45145709180779,2.54558027785949,2.25831699726416,2.35814644111284
"t=222",2.67905382072739,2.33843860018947,2.43406817311518,2.12878432045694
"t=223",2.15180140964482,2.23804304584905,1.99507991308903,2.24925004039725
"t=224",2.23174559540945,1.96910837857352,2.200310570212,1.70852832932933
"t=225",1.90568454369688,2.19313049416179,1.78729369051656,1.72759098636628
"t=226",2.19884610885579,1.81897256833353,1.76871936778868,1.49504462873843
"t=227",1.81623049038869,1.81052557358637,1.55133404593155,1.55927011834963
"t=228",1.68491107738324,1.39413264210508,1.52695493457848,1.92706822767306
"t=229",1.25968911884629,1.51168382041257,1.92625274086665,1.72645466612671
"t=230",1.54555037141137,2.05746614839546,1.76489610899905,2.01053025368726
"t=231",2.0555666729811,1.80532202961988,1.96154025498525,1.33299009210946
"t=232",1.62321354845512,1.93208658303774,1.3145274732226,1.7395793378448
"t=233",1.98951738576564,1.29999849810293,1.74006387860041,1.75140514531037
"t=234",1.42443829941664,1.72402063579204,1.7144718451704,1.98812889516327
"t=235",1.76214355112477,1.8153294157134,2.05677813001247,1.66492898984842
"t=236",1.71135453495339,2.07187513630454,1.65070869681374,1.56819330780116
"t=237",2.11823254998236,1.67443043627455,1.59603401210126,1.40110989558873
"t=238",1.60941389783688,1.59644372311327,1.40468874382884,1.66547961905635
"t=239",1.60389529647951,1.41850021706652,1.65565364275763,1.68976252102567
"t=240",1.40441668660778,1.68840170331258,1.69234820558797,1.89604770957642
"t=241",1.7104222680673,1.7232781071263,1.90197049624637,1.99945996853578
"t=242",1.68959253201754,1.91904475230473,2.02414478928919,1.94394355796666
"t=243",1.93032542399161,2.01151626196316,1.94260239178805,2.18461850415571
"t=244",1.93400422203418,1.89977819833367,2.16735100852656,1.91010138002801
"t=245",1.84820637902898,2.16475162468355,1.94590152990652,2.05696154806503
"t=246",2.14347185297155,1.948356470861,2.03627162459953,2.14559883542825
"t=247",1.98570358604486,2.04630312555174,2.13577250835857,2.29698101824783
"t=248",1.91013642186208,2.1025254015571,2.30417837541843,2.4619662770317
"t=249",2.06062164783064,2.27746508105115,2.46085209402517,2.42541813082801
"t=250",2.24861785810009,2.41273736156144,2.40178129677062,2.42749905987564
"t=251",2.40362621014189,2.40413864266058,2.48768255098621,2.63383000316518
"t=252",2.34865901422257,2.48782639678142,2.67778426034038,2.61906413447188
"t=253",2.52249208836062,2.68517730956182,2.63396062672878,2.90024891048887
"t=254",2.76324757023113,2.56110660375294,2.86213866853845,2.85062956344574
"t=255",2.48069321995874,2.81264369849213,2.85100297188193,3.23335320099883
"t=256",2.76522074369896,2.78282335521605,3.15473275369545,2.66661411949995
"t=257",2.69580612972708,3.13276397096523,2.65845303908976,2.59966806539696
"t=258",2.87042646719301,2.45723654856165,2.52293865261955,2.90551805842272
"t=259",2.33496629177906,2.57552671058815,2.95396146535554,2.44776649148022
"t=260",2.76367900268709,3.1023336810313,2.41213160681801,2.9572859437306
"t=261",2.76839855920716,2.4508397933433,2.89500977335907,2.48237382197111
"t=262",2.59531091406923,2.85398806074855,2.61910976443398,2.7069609386224
"t=263",2.87106044474371,2.41495601711488,2.61306113334759,2.61072235908712
"t=264",2.60025887641826,2.67784855919382,2.71784511031001,2.59836605586319
"t=265",2.60905841582294,2.59583038250899,2.5059880017344,2.69950960809294
"t=266",2.56877714925599,2.47043619945572,2.69299814876874,3.5346406312186
"t=267",2.42115146369951,2.7323714665326,3.54661188377589,3.08756892639572
"t=268",2.70747392639116,3.58220413442966,3.17900050056616,2.82494290104669
"t=269",3.54192618975514,3.11064728435247,2.78350642838912,2.61464566457437
"t=270",3.2326060011754,2.88489971499632,2.74324989207968,2.69160824138469
"t=271",2.70389563773002,2.68514577167177,2.68139452503893,2.46507905500716
"t=272",2.66084214040606,2.68318368456224,2.44551822776349,2.32209421691287
"t=273",2.60484933646069,2.38436744267345,2.2780677975641,2.52672062085804
"t=274",2.39885951423509,2.22155521404608,2.61956748201722,2.60432291508751
"t=275",2.20004947907414,2.5826486122768,2.80283882158376,1.84266833005063
"t=276",2.49028215374364,2.69615811086869,1.84192347669823,1.9974483757408
"t=277",2.58990231122954,1.75460133469805,1.96783511978568,2.49859805903426
"t=278",1.88185898643648,1.94404409589019,2.29781344991719,1.80531703157962
"t=279",1.96616740768083,2.42013994379261,1.81254663721311,1.61626167704652
"t=280",2.31208222877538,1.80419583794716,1.64145608420741,1.46793981065253
"t=281",1.68098721443298,1.68752632082571,1.49493057732607,1.42778201511092
"t=282",1.64380428365878,1.52137435700008,1.41237485287241,1.43132707957302
"t=283",1.57274822782196,1.37270823155072,1.38860784943349,1.9021957002093
"t=284",1.42759365170377,1.38083118732668,1.90221429190086,2.12301715883536
"t=285",1.37138526161014,1.87375382654378,2.13833229821857,1.90936041745515
"t=286",1.8162127338444,2.09877342944277,1.88535076077425,1.5748952466388
"t=287",1.97413460325324,1.83854771335042,1.52365483199206,1.36427916198057
"t=288",1.74835407552014,1.48829082149435,1.41276228965631,1.32339849980122
"t=289",1.42983478266621,1.39021084051344,1.33033847211691,1.43071200854309
"t=290",1.37486504291789,1.35137712255266,1.42338768359192,1.62251921528242
"t=291",1.28986038157607,1.36375005685431,1.61390759538015,2.17724548335755
"t=292",1.34560234414692,1.63049184306946,2.1995490141686,1.74778280315916
"t=293",1.60128399449154,2.19540328724805,1.74761067926444,1.91886969340039
"t=294",2.17106138407727,1.75453025098049,1.9075323979831,2.34372912784078
"t=295",1.73314523127802,1.91431666166014,2.29294117547225,2.4328964788102
"t=296",1.90604466899412,2.24661499252511,2.43004666475323,2.10539222256498
"t=297",2.31820669190096,2.49346866386372,2.12735776694309,2.25237871517781
"t=298",2.46841919912235,2.07824549469509,2.2192142250543,3.34690184991183
"t=299",2.04519224014928,2.18716324252693,3.30780633333113,2.92399400391418
"t=300",2.17069546117588,3.25420309079026,2.93120298591485,3.1786119735784
"t=301",3.24984939234535,2.90955711361919,3.1522510537733,3.23570590216581
"t=302",2.80919096749656,2.96737399927983,3.00467055018855,3.63714446409345
"t=303",2.86434300342384,3.0076924658783,3.6660699540115,3.54981927203896
"t=304",2.89499707560518,3.59296407767703,3.5282554951655,3.64943390877863
"t=305",3.38587664704893,3.39288332157229,3.56646237347782,3.12639714458519
"t=306",3.1213368652736,3.40583965188143,3.12617319709412,3.20345353229051
"t=307",3.29680948868653,3.10027524868736,3.13872126805138,3.67744979251643
"t=308",3.05586814263783,3.11537292785322,3.6451018310162,3.11233127834006
"t=309",3.1619931250645,3.72126919251171,3.09941312322675,3.15219161393162
"t=310",3.72037190165081,3.1827352122021,3.08519313234173,3.17797205334079
"t=311",3.20355566173781,2.94530709137779,3.16241235555656,3.45499368552241
"t=312",3.05023738769146,3.21391757658797,3.42428609932565,3.10609035415562
"t=313",3.22474433034019,3.39284710688747,3.18509982364758,3.18313059290701
"t=314",3.32541525007935,3.25505010333376,3.1915640704778,3.11862029543607
"t=315",3.29233715105484,3.11270765036093,3.18778226535471,3.06905992956834
"t=316",3.10019986323484,3.19315068134318,2.98564373569174,2.9407094008642
"t=317",3.15357905136262,2.92778747887181,2.92071753736883,3.15288277109462
"t=318",2.90602926470959,2.88358169088033,3.14630368890909,3.0444077358228
"t=319",2.8541573018675,3.18648499473739,2.97604232983438,3.00455556300787
"t=320",3.13788459026526,2.95819888372206,2.94191136136176,2.81437485705441
"t=321",2.96787477457872,2.99069728134075,2.74115017193895,3.58613815311758
"t=322",2.99796994052791,2.83765879383177,3.67558624087238,2.56782788528945
"t=323",2.83824920823262,3.61487575841273,2.60547715707871,2.69713322493399
"t=324",3.64436790021348,2.65207132312688,2.70513044667622,2.63160881581101
"t=325",2.79774231665258,2.76851060006999,2.73024090145528,2.55617297618558
"t=326",2.44808287768767,2.5374700716709,2.59507465264503,2.45097963719671
"t=327",2.46949925368532,2.79284174322405,2.57331437371802,2.04897692721333
"t=328",2.74665903736711,2.56582595975478,2.01147345438058,2.82885904845591
"t=329",2.20686084213117,2.05985036264181,2.62931738428807,1.86410784172862
"t=330",1.99773819416735,2.41174784893823,1.79790889617678,1.72716439153416
"t=331",2.4207903109129,1.7587984756671,1.77224740570275,2.08388957949447
"t=332",1.67390232884695,1.82430507718146,1.97662626382525,1.86204083596345
"t=333",1.86245698541832,1.99670448880876,1.84947517805174,1.81953109413876
"t=334",1.96645497422402,1.83398417048394,1.85489631224329,1.5380604566736
"t=335",1.78680330091678,1.82569302097717,1.54254843774498,1.79557314822139
"t=336",1.78720039145879,1.59089545783133,1.74622321241849,1.38698737233698
"t=337",1.66285972917134,1.73512043232124,1.38835331542893,2.39255787627677
"t=338",1.79806416685914,1.3823552291252,2.46632286922457,2.14368914170819
"t=339",1.37251700354596,2.33868365345456,2.12237066482282,1.58235153022742
"t=340",2.42465143673408,2.0983526760965,1.57417614022377,1.70818589291792
"t=341",1.97914797395308,1.61555198871977,1.7619238767082,1.50002987444496
"t=342",1.66040511347276,1.7504143011551,1.48458194183515,1.80289072118685
"t=343",1.74174946971883,1.46564714247718,1.78243207941518,1.71908042512443
"t=344",1.44797405311384,1.74319366437628,1.74261642868469,1.56171790903683
"t=345",1.77588513143639,1.75711654760419,1.55381690179524,1.87375179970939
"t=346",1.7189429170198,1.56060354216798,1.89652425292375,1.83268046749759
"t=347",1.57155650425561,1.93092234171591,1.8409698197539,2.20056516043896
"t=348",1.88538884377656,1.82280213162848,2.20599163033687,2.07082234904619
"t=349",1.80763456375029,2.19854676287674,2.07144071444836,2.72757833237547
"t=350",2.16064670602146,2.06850324154332,2.76093325663677,2.73546225879206
"t=351",2.05066473608689,2.74987809398634,2.68436117375096,2.49458547163993
"t=352",2.69811549049467,2.75750339043148,2.49203395837327,2.43408135837765
"t=353",2.72624291057813,2.41303496153796,2.46236377901094,2.62349390627368
"t=354",2.38796351204362,2.5460481525525,2.64470336960685,2.67928745451667
"t=355",2.54472557973874,2.62717772461859,2.65355790351161,3.15205564658
"t=356",2.54345335596314,2.63887008745997,3.2078983514017,3.13333166978067
"t=357",2.65593503394653,3.19539582635849,3.12690884909016,2.90783185138674
"t=358",3.13647235232114,3.07153641460957,2.83927474977758,3.5339427396164
"t=359",2.91116193452196,2.79883190568104,3.44708048025391,3.74530439045503
"t=360",2.7753607061642,3.38487557978625,3.70598393731372,3.96207087384137
"t=361",3.47421047965675,3.79385448939331,4.00396372866403,NA
"t=362",3.57228573506258,3.9943585141218,NA,NA
"t=363",3.66572192112435,NA,NA,NA
