"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.6712291067943
"t=205",NA,NA,2.65599589960899,2.43324558802664
"t=206",NA,2.64930960840342,2.44206482921574,2.61262211122888
"t=207",2.58195727802359,2.40128041561834,2.58488419136433,3.0225328209442
"t=208",2.25933343366688,2.49917557480034,2.97914235383121,2.87286825413085
"t=209",2.50646308401684,2.9829410193616,2.85783059439428,2.98581290336827
"t=210",2.98854047452898,2.88122053640475,3.00894751350019,3.04477280405738
"t=211",2.91244136243672,2.91761915799633,3.07987106752373,3.01875212198723
"t=212",2.79888826146846,3.02340492239021,3.02954107662836,2.90252761660949
"t=213",3.0608862516374,3.00016726049334,2.87278357736939,2.70415156055174
"t=214",2.9867480124791,2.87600387697945,2.73962347490297,2.81213855593943
"t=215",2.72727776727728,2.77940832744143,2.80095883982177,2.99012268529651
"t=216",2.8070572788028,2.74524047875002,2.99005984981699,2.60541062065626
"t=217",2.67207012534825,2.94289190574315,2.58999759538302,2.57633861574463
"t=218",2.82578633429419,2.53921547097353,2.50123667387602,2.46530848298299
"t=219",2.48781142944971,2.38446153026722,2.44634431520147,2.67410121064582
"t=220",2.37305181135193,2.46949217320256,2.64577750558425,2.32434658268094
"t=221",2.42383959499479,2.61842195756437,2.29620294647883,2.40128263354524
"t=222",2.73507767323618,2.37251327524303,2.44987946432166,2.20313456013792
"t=223",2.15823229993317,2.27014123064505,2.05966831637339,2.23135628857983
"t=224",2.26824311309752,2.02880697046013,2.18360947383082,1.69714895492231
"t=225",1.94489687832306,2.18788017308746,1.75810472589907,1.70747507933559
"t=226",2.18740481171788,1.78152488725395,1.73424973018253,1.50962747915674
"t=227",1.77087798430208,1.78094511592806,1.56382091676569,1.5789521343336
"t=228",1.70331070685775,1.46018943996395,1.56951031346128,1.87700045822185
"t=229",1.33255772175299,1.52441597552664,1.85665892200196,1.71005646914453
"t=230",1.49633755922386,1.95452422751591,1.75519099882186,1.95306333236031
"t=231",2.01585032269712,1.83345779987494,1.933810233541,1.33801129904596
"t=232",1.62326325332138,1.93991738297323,1.32712365337962,1.75478741953925
"t=233",2.01659757986222,1.32370939948227,1.75602879462415,1.75109085876607
"t=234",1.4364247816934,1.75343334651017,1.72729529388679,2.01934749647354
"t=235",1.78352234700836,1.82400545669187,2.06702904964952,1.69255640711229
"t=236",1.7313913436088,2.0735622698111,1.66908886450546,1.56212560031963
"t=237",2.12252974516334,1.70030906381362,1.5831156237671,1.37822985859737
"t=238",1.65429641395633,1.55208007443598,1.39640950678396,1.65017672204567
"t=239",1.56156670869839,1.41362468992126,1.64519241415159,1.72149200923246
"t=240",1.43178048852975,1.70610895737261,1.73178778136494,1.91255941733838
"t=241",1.7108423285612,1.77703356869278,1.9425106714631,2.02471006255816
"t=242",1.73635872834772,1.99593026004738,2.06243713015209,1.97221206928051
"t=243",1.97381461623523,2.04297219635336,1.96216620540658,2.16362295792446
"t=244",1.93217015190622,1.90443962024643,2.12707123730674,1.86385325915309
"t=245",1.84677604646864,2.11865208620256,1.90111488516155,2.0269917619915
"t=246",2.08745453425395,1.90774954870271,2.0120575881805,2.13826365199208
"t=247",1.95578272412653,2.00471982169689,2.12807081399944,2.31816196561588
"t=248",1.87941961956268,2.10960823970314,2.32107157381033,2.48234474856657
"t=249",2.08309610751074,2.29280472456724,2.49073723864091,2.46434816008795
"t=250",2.27048397189279,2.41977035896632,2.4249832642038,2.45730588478519
"t=251",2.41163060990079,2.42979059963152,2.50086755071537,2.64643723292067
"t=252",2.36685079806967,2.50015775010991,2.70010864090272,2.65660736506524
"t=253",2.5432712545946,2.69732029375093,2.67815192564894,2.92843031250191
"t=254",2.76806753990114,2.60124239982589,2.90529810721844,2.95439755209172
"t=255",2.51289679885634,2.84350374775576,2.88666189933913,3.19905885547462
"t=256",2.79694448379465,2.81546595239454,3.13294070128846,2.57689498153065
"t=257",2.72151756629119,3.12973808193877,2.5735074201492,2.64759334564412
"t=258",2.87127949856711,2.4017067468253,2.59535932598074,2.89968704138864
"t=259",2.27856972434475,2.73924110108828,2.93486968267057,2.59375750159039
"t=260",2.91401137463108,2.97989551710081,2.5408882031372,2.9223284139835
"t=261",2.71421552088359,2.57842347602319,2.88123206480961,2.63165130553447
"t=262",2.64775014753611,2.85604849766226,2.68063734894877,2.7950487317349
"t=263",2.8357026250677,2.48577446272025,2.6827382197186,2.65588445936918
"t=264",2.61513068928025,2.74713960144397,2.72967845017784,2.62502678831393
"t=265",2.65895268695109,2.6227092746206,2.54534554373485,2.71747219097138
"t=266",2.58145961832934,2.48651080640145,2.68778097090167,3.45201333226582
"t=267",2.4335557191481,2.72019225211486,3.45782299193203,3.15936637033748
"t=268",2.69628506183778,3.48432043634941,3.21469136921759,2.87971217944032
"t=269",3.48569960892287,3.15329406152361,2.82499783405459,2.67398461848436
"t=270",3.2517335466614,2.95665764794203,2.80721936591051,2.76323383094149
"t=271",2.75585442294586,2.6926187716376,2.72537100826964,2.41759216117914
"t=272",2.67613106014439,2.69240240896852,2.41102157239623,2.2623473275094
"t=273",2.62198454969324,2.36330710101838,2.25610426342507,2.47710320299028
"t=274",2.38141381279794,2.19574566962132,2.58339195431507,2.54019173665036
"t=275",2.19607220458935,2.58131250857091,2.68673054891859,1.88052726524871
"t=276",2.48226050051632,2.5785000825714,1.90232600483932,1.95868586141094
"t=277",2.46193933373721,1.81086996396912,1.90280305000834,2.32026804796746
