"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.66273620018835
"t=205",NA,NA,2.65676426210745,2.44374108104135
"t=206",NA,2.66147809094166,2.46244765542421,2.6077202363317
"t=207",2.59721680506498,2.41466507567201,2.5914250795013,3.02350819842919
"t=208",2.27233927720852,2.49840246283977,2.984687442219,2.86171217112783
"t=209",2.50103431663082,2.99024815506471,2.84796750407728,2.98877724893091
"t=210",2.98723292962017,2.87802268277529,3.00673059218428,3.04980903178077
"t=211",2.90871435769304,2.91772681435916,3.07742771280461,3.0253684505894
"t=212",2.80807511518726,3.02272878576705,3.03144130841627,2.91365998746937
"t=213",3.0502676836326,3.00875558165837,2.87453843941806,2.72460706338028
"t=214",2.99934481792868,2.87840718968608,2.74046976713585,2.81841566883958
"t=215",2.74696436273701,2.78733548275777,2.80393457978446,2.99202697399719
"t=216",2.81185074956087,2.74454973042305,2.99493728318519,2.60991186125266
"t=217",2.65988885513988,2.94391992081591,2.59347109636497,2.57627983099132
"t=218",2.83188872358261,2.53408995156198,2.5083260100299,2.48097574924954
"t=219",2.47893163339994,2.38140168442283,2.44494079419602,2.70516372417112
"t=220",2.37095934999377,2.47276683970363,2.66557312113939,2.31470494282679
"t=221",2.42690504280164,2.62198172716562,2.29490365991574,2.4330176730046
"t=222",2.72713521381687,2.38279205970123,2.48177139410413,2.20754256219635
"t=223",2.17992150377378,2.28397082720161,2.06989112322104,2.23749468768181
"t=224",2.27119552747279,2.02405167099086,2.1958468243088,1.69241665428684
"t=225",1.95235095784885,2.18337241721036,1.76656125198523,1.70186247900632
"t=226",2.18298667819077,1.79179446405153,1.73352124359779,1.51635588398321
"t=227",1.78530421519144,1.78110356951547,1.57541050008569,1.57635779086835
"t=228",1.70580987034585,1.44914103291406,1.56241775266811,1.88775619710445
"t=229",1.32428031347938,1.52361974345909,1.8788079534701,1.7353893291449
"t=230",1.50565318160073,2.00953918823699,1.78794886477834,1.95799288716105
"t=231",2.05416425525786,1.87395838349701,1.93573536767495,1.33862982291424
"t=232",1.66049999323561,1.93478360624046,1.33395933486343,1.74375442139285
"t=233",2.00382169212904,1.32486894871779,1.74524452345825,1.73367091812728
"t=234",1.43084796574138,1.75206982258533,1.72333082518096,1.99437438923078
"t=235",1.78014186272222,1.83023069982852,2.06527708578704,1.7087388501506
"t=236",1.74724841553523,2.07947055085338,1.67241074534699,1.56619717829241
"t=237",2.11846873537294,1.7119306492224,1.59574026117497,1.37970843000566
"t=238",1.66739191504137,1.56645545332828,1.39772618362511,1.65483599203641
"t=239",1.56911206683076,1.41868252990418,1.64163191173744,1.73610470551937
"t=240",1.43117317748549,1.72179692877347,1.74532455257984,1.92660272606574
"t=241",1.73154048145495,1.81216927313478,1.96201210184155,2.04168662753438
"t=242",1.76886143201018,2.03512215299283,2.07891569330056,1.97240912278548
"t=243",1.99758306032944,2.04550086142333,1.96492573293855,2.1633489346299
"t=244",1.93349782067105,1.88837592408968,2.11407248524248,1.84981241294362
"t=245",1.83876848061876,2.10710520081832,1.88813456561706,2.01385565173125
"t=246",2.07995366030194,1.90213307150282,1.99453307792685,2.13756795016961
"t=247",1.94877173012087,1.99540720969421,2.12194163446302,2.31345828702429
"t=248",1.86869671322811,2.10780234988314,2.32484917789481,2.48662630695407
"t=249",2.09237265416546,2.29723707575793,2.48936014824818,2.46622861899851
"t=250",2.27448315865261,2.40996605193834,2.43565723111456,2.45506282070461
"t=251",2.40138101891744,2.43268321169894,2.5148025806305,2.64346389084187
"t=252",2.37487891606856,2.50708356136315,2.70244410370702,2.6554723739115
"t=253",2.54552797531346,2.70218879084816,2.67562990207798,2.93198175851611
"t=254",2.76288848540563,2.60028988750887,2.91342691146336,2.9574014877174
"t=255",2.50723193342666,2.83360111999601,2.90214211391837,3.21448859517659
"t=256",2.79299906423208,2.82028420500562,3.1177160842619,2.58564229670796
"t=257",2.72663125909284,3.12707356374968,2.59138769911072,2.62340096040425
"t=258",2.89805772212094,2.41217998179085,2.58490155909977,2.89447965361309
"t=259",2.2814957799671,2.73080641315694,2.91284325316289,2.59400311802905
"t=260",2.89732302369835,2.97205958645924,2.53266122002637,2.91743177803717
"t=261",2.73459722324956,2.57864946455467,2.88934600322687,2.66272770674133
"t=262",2.64804768757809,2.86213737656884,2.72373348132218,2.7912451894002
"t=263",2.8329978497497,2.50716041740497,2.6870772756685,2.66613454331156
"t=264",2.61108467090844,2.74402580245161,2.72581898063017,2.6300214595998
"t=265",2.65504297550627,2.60747304573021,2.54445420039032,2.69886442079568
"t=266",2.56670320680286,2.48073250178192,2.68523000279025,3.46703306315029
"t=267",2.43237414069831,2.72029925976065,3.45565013849094,3.13805568684133
"t=268",2.70211088634753,3.5059211100273,3.20639086809758,2.86715552672305
"t=269",3.48766031317083,3.13567455415547,2.82602662893474,2.66842656609241
"t=270",3.22156969224494,2.94991931092379,2.79334122685967,2.71632582451666
"t=271",2.77096691161157,2.67446724165731,2.68247335875924,2.41084673808063
"t=272",2.65483430162385,2.67081354400944,2.38716597949581,2.2561606441119
"t=273",2.61046788196602,2.35202398096483,2.24708661191248,2.48847048991013
"t=274",2.36934751969125,2.18585586619759,2.59241593092907,2.55070142073509
"t=275",2.1845865937626,2.57724693468928,2.68823533518604,1.87461276875673
"t=276",2.48153271137943,2.59204908731246,1.88043347181955,1.9472048986059
"t=277",2.47573625287783,1.78827110603705,1.91293055803808,2.32193238575752
"t=278",1.91261589341584,1.9324416093897,2.17831751050673,1.75788946576412
"t=279",1.96252267734826,2.30868297087791,1.76999686656366,1.67724216487735
"t=280",2.22305887959894,1.78861478185073,1.70096501893967,1.47298795922677
"t=281",1.68412255372119,1.71642033443535,1.51391839925111,1.47278471030582
"t=282",1.6606463807986,1.54751745963353,1.45273369856751,1.47116420590844
"t=283",1.58145594498461,1.41045087748315,1.42790353538087,1.9103097997005
"t=284",1.44751017048582,1.40672714719832,1.91863888555179,2.12944102783699
"t=285",1.39775974329253,1.87246020985507,2.13611719646346,1.98262046502633
"t=286",1.83287006883029,2.09356449140696,1.9650888152788,1.59525210009795
"t=287",1.94357834078537,1.88772285106177,1.5386907933801,1.34308113893335
"t=288",1.75646364892725,1.48876190457509,1.40597056131968,1.35635979655816
"t=289",1.43175239421128,1.39823788379175,1.36351229652423,1.46870574878694
"t=290",1.36603473202532,1.37376645881051,1.46078305850965,1.6452154515521
"t=291",1.32223769606351,1.42297583475773,1.64429018272945,2.33793164704893
"t=292",1.40142390837458,1.65535032168974,2.37090283798556,1.85403213153835
"t=293",1.62549145559759,2.31836808424748,1.84103379310456,1.95618808004442
"t=294",2.27773116935872,1.83978218059651,1.93247333985639,2.42518983192568
"t=295",1.74847729851907,1.90445468721575,2.33732755598327,2.50186865767837
"t=296",1.8908292783044,2.26444848435428,2.49449709127785,2.13740023835875
"t=297",2.3430026225828,2.53927874403029,2.15713977384453,2.27623738544343
"t=298",2.48037838498021,2.09135823121053,2.23718085336844,3.39987978341754
"t=299",2.04145239869158,2.19231103141498,3.29628851176923,2.99024061570445
"t=300",2.18360459949911,3.30464459798958,2.98801741010239,3.23717460441397
"t=301",3.25196120026259,2.95905747332829,3.19097971824331,3.29868995487348
"t=302",2.84015235491162,3.01443180658587,3.09308878027934,3.82978847079443
"t=303",2.87767086287898,3.03350131889413,3.71965873748404,3.68218834831448
"t=304",2.90180953056977,3.62296420155231,3.63775290711888,3.71800188725076
"t=305",3.40284965181119,3.46531691071997,3.66070264889585,3.12949962368993
"t=306",3.18255848062739,3.49568332238133,3.1277040993169,3.3169297750734
"t=307",3.36432823625058,3.06786194886829,3.23858391474048,3.67324672587582
"t=308",3.00848917421159,3.19174862400601,3.62907562172989,3.07180505788244
"t=309",3.23430631373002,3.72959716639903,3.05886354344935,3.26276837638667
"t=310",3.71356735600225,3.10657165111824,3.13491856727643,3.22088780323015
"t=311",3.12904764070997,2.98324748809126,3.21624463095377,3.39136840831965
"t=312",3.07502626603237,3.27957761886599,3.40591446387773,3.14694157945261
"t=313",3.27315158400215,3.38073065028167,3.23106958026066,3.12703268193456
"t=314",3.29774243463055,3.28495960549813,3.12464612213816,3.18120192829931
"t=315",3.3229523116962,3.07575642161589,3.24377224666862,3.01729154086322
"t=316",3.05047812020019,3.22122054664838,2.94773017030393,2.99121142716291
"t=317",3.20339500025366,2.85924694610921,2.97030624443518,3.14851242036863
"t=318",2.84137207772072,2.8994276170298,3.13602635501809,2.99339894242501
"t=319",2.86985668143524,3.17465950398643,2.94751168185003,3.18071556120198
"t=320",3.12805804202924,2.91451481459933,3.08686884021487,2.79658016853954
"t=321",2.93430761423979,3.12573103643936,2.73923195124264,3.4661517619469
"t=322",3.1062175824887,2.8563532360493,3.54271881891066,2.52109588168959
"t=323",2.82100058822387,3.46361631038789,2.50533539564749,2.62633366838047
"t=324",3.52410634407346,2.6026026152235,2.68386692618588,2.65230838725959
"t=325",2.75143030641322,2.73644919510744,2.72361315693988,2.58291045461157
"t=326",2.48300363311076,2.6142035328477,2.63201010266955,2.42306282431606
"t=327",2.54297226091877,2.80264681415577,2.51319013452054,2.06055032543463
"t=328",2.6709024312039,2.45746794668239,2.01370544753346,2.66945463018039
"t=329",2.17078679985686,2.08540539475196,2.52898398983307,1.83330796754578
"t=330",2.05509826335957,2.30191051929008,1.77736844967203,1.75648495300067
"t=331",2.32387878165826,1.72535801856464,1.81564457523894,2.03511843359983
"t=332",1.66749469095779,1.88725366198976,1.95254534475761,1.87265590545123
"t=333",1.91898328100285,2.00493662284928,1.87384940968446,1.81772153620423
"t=334",1.94070970208181,1.80949565422042,1.85954906787432,1.5229033476753
"t=335",1.78331308504593,1.84148295690594,1.54967324770301,1.79037231562098
"t=336",1.80752597833088,1.61140918935262,1.73973691254543,1.39311176927304
"t=337",1.69302214153047,1.71037411183808,1.4060552220567,2.35739724257309
"t=338",1.77619998059585,1.38478442773037,2.47328780236836,2.13954475178866
"t=339",1.36977465206382,2.34262655399245,2.10659575943787,1.62052080077538
"t=340",2.42019686408874,2.08607722932975,1.63583049544127,1.69471680942611
"t=341",1.91902706545363,1.62989872091604,1.78337026848333,1.49734946984522
"t=342",1.70442841450977,1.78992388115718,1.46332075155128,1.80603291986858
"t=343",1.75851646897785,1.43975202615848,1.78207289885928,1.77871260054273
"t=344",1.42687512373853,1.73785632704432,1.805064486939,1.59115032384397
"t=345",1.77412851512383,1.82716244143812,1.5839918385793,1.90617143928484
"t=346",1.77312562825494,1.6182542079886,1.93046504078129,1.8465998846217
"t=347",1.62020204758667,1.96398155897291,1.8538671886099,2.21246879298368
"t=348",1.887090838142,1.83305060116952,2.2348626994729,2.10234564810856
"t=349",1.82003464973913,2.23689458344298,2.09298298905553,2.79750998980868
"t=350",2.1891845755882,2.08565041238042,2.80211693191401,2.76531384913878
"t=351",2.0551770807144,2.77286136285085,2.67379732666189,2.50679318423551
"t=352",2.7090090454775,2.76401660316489,2.50470586498499,2.46777241388883
"t=353",2.73295377634378,2.43266817846217,2.4841818419257,2.65941312276401
"t=354",2.40619393519078,2.57307076724911,2.67033330841105,2.69843537427636
"t=355",2.56026341318535,2.65312594896585,2.66492649848231,3.14317357895977
"t=356",2.5823413189755,2.64805325053199,3.18086082681918,3.10201460811039
"t=357",2.66756698553742,3.17335931909569,3.08575164855132,2.9023371796557
"t=358",3.11371705174709,3.03165398203063,2.82523594177042,3.518205256624
"t=359",2.89910295706347,2.79497035010012,3.43429487507697,3.73396251444921
"t=360",2.78145123734746,3.36825223636858,3.69723321548749,3.76680038833721
"t=361",3.42756151136737,3.78201452832141,3.88158903608117,NA
"t=362",3.60893338944678,3.8558352185609,NA,NA
"t=363",3.54342276270468,NA,NA,NA
