"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.66126235698977
"t=205",NA,NA,2.64195571542748,2.4456826366913
"t=206",NA,2.66641522376069,2.46021576483533,2.60400085531253
"t=207",2.60460381845701,2.41764024736592,2.58868414742766,3.02254317522088
"t=208",2.26570908940864,2.49751025915408,2.98752562235423,2.86521130974057
"t=209",2.50086638533425,2.98071823976871,2.8495434649467,2.98309045944275
"t=210",2.98777030913819,2.87757884542064,3.01256408981309,3.05058048353612
"t=211",2.91256937835597,2.92484409959396,3.07088626486976,3.01738008044901
"t=212",2.80447779478826,3.02329098314916,3.02540445602388,2.91524272135111
"t=213",3.0503984862637,3.00035202577722,2.88054680422849,2.7148982235712
"t=214",2.99338944180833,2.88123377155507,2.74056613187066,2.82272608854516
"t=215",2.74347343806551,2.77858581289458,2.80166559283086,2.998220631126
"t=216",2.81003516033897,2.74290441310085,2.99434186954967,2.60618933139415
"t=217",2.66366906737459,2.94470095041176,2.59797675854198,2.5766500869463
"t=218",2.82659499954414,2.53066143202004,2.51377177578279,2.47523974991517
"t=219",2.47943382935879,2.38302262125684,2.45041161066463,2.6983801634204
"t=220",2.37338056093192,2.47640566810761,2.6665460454004,2.3217087504886
"t=221",2.4260284800575,2.62289410932046,2.29379603850357,2.42342471328024
"t=222",2.73669091490197,2.38457473200181,2.4793446261697,2.20197585513196
"t=223",2.17456997977698,2.27967234130293,2.07664793048848,2.23693874071468
"t=224",2.26914119188212,2.03290586686893,2.19457721151572,1.6966804396636
"t=225",1.95477159481889,2.18698331100253,1.75576847528389,1.701965183876
"t=226",2.18773529341745,1.7881411552002,1.73474214097775,1.50471050907281
"t=227",1.77838234383255,1.77781044538864,1.56173929874864,1.57531713669803
"t=228",1.70164380850607,1.44572777211323,1.56358053227852,1.88469440641043
"t=229",1.31797356075403,1.52329569874314,1.87618376099008,1.74092305879404
"t=230",1.50108564940081,1.99343229672218,1.77833199672449,1.95529554432902
"t=231",2.04982719300437,1.86628929671918,1.92923464534393,1.33709701400712
"t=232",1.64990611356945,1.93502752634873,1.33507937689796,1.7422650529908
"t=233",2.01124862133876,1.32569179994473,1.74792470730716,1.74431824418816
"t=234",1.43537796035272,1.75242380182536,1.72682404851928,2.0206182162414
"t=235",1.78072082563695,1.83017916082553,2.07193557319963,1.7057534965477
"t=236",1.74473077139685,2.07423871447403,1.67533996009383,1.56847167266608
"t=237",2.11558343480343,1.71453989539983,1.58612046205143,1.37002767678923
"t=238",1.66760728975252,1.55992985838558,1.39260310764162,1.65479844620659
"t=239",1.56454133180056,1.41196175866098,1.64430727216843,1.7265748742636
"t=240",1.42807508366852,1.71096363490697,1.74050783336798,1.92330532770199
"t=241",1.72793476947914,1.79774326808963,1.95723269760871,2.03175342734721
"t=242",1.76058054386697,2.02175312359266,2.06966076228786,1.96926961720178
"t=243",1.98900200280804,2.04233689549298,1.96814014285266,2.15988752045607
"t=244",1.92919097970936,1.893592066732,2.11891739408654,1.85208544009595
"t=245",1.83975336746214,2.11204933887195,1.88762403560267,2.0227225534271
"t=246",2.08274143876574,1.89800506969551,1.99787296112746,2.13295117925189
"t=247",1.94812292789665,1.9954715242139,2.12709956416707,2.31607687774909
"t=248",1.86932739242362,2.10799590692957,2.32710340728302,2.48226869464572
"t=249",2.09133580240091,2.29850727035502,2.49021304061194,2.47144633446291
"t=250",2.27283548831296,2.41770476176889,2.43300229453686,2.45346196894675
"t=251",2.40439932555832,2.43413581619731,2.50500552439866,2.64035760079533
"t=252",2.37394485424724,2.49949389925933,2.68908884623426,2.66787878067203
"t=253",2.5425350992865,2.69369745703317,2.6778605994234,2.92465407888158
"t=254",2.76191388108829,2.59920614262521,2.9101691350608,2.95902360293626
"t=255",2.50513231788733,2.84521639587054,2.91795938684811,3.22037603150174
"t=256",2.79302707543395,2.81656447534801,3.15338581478403,2.60772093951227
"t=257",2.72561726949879,3.13843167362293,2.59377814569743,2.6416082393837
"t=258",2.8877240357197,2.41579948325875,2.58713797086859,2.88114597124501
"t=259",2.2859728764751,2.6984474036042,2.91277359266856,2.60009549342774
"t=260",2.86967994897566,2.97528391339944,2.54173912575924,2.91658725952104
"t=261",2.72374775066783,2.59034158080685,2.89037632129449,2.66639413814966
"t=262",2.65904151756322,2.86088321065093,2.71354129880394,2.79890866087914
"t=263",2.83327126670067,2.50274353321647,2.68901449084002,2.67197110223409
"t=264",2.61809126065217,2.75183375286253,2.729152939127,2.62330338390983
"t=265",2.6558571986844,2.61017089947849,2.54399401059677,2.69546951659661
"t=266",2.56835563270542,2.48830386996536,2.68243264570316,3.4619022783033
"t=267",2.43321587341952,2.7194514939952,3.45785133331996,3.14138519440103
"t=268",2.69992168581254,3.50122260875931,3.2078318795958,2.86094495645888
"t=269",3.48523972295248,3.1314134244511,2.82968756088877,2.66449185051364
"t=270",3.23204458049134,2.95113082440403,2.80115554839369,2.71660190500721
"t=271",2.76460290994093,2.67731448296933,2.70255712709796,2.40745567990132
"t=272",2.65545600161436,2.67533539528973,2.39063778734966,2.25324326368236
"t=273",2.61122683571803,2.3504357404057,2.23962625240026,2.49256005859169
"t=274",2.37138759459198,2.18810729238252,2.58793130998017,2.54596411377078
"t=275",2.18712374028975,2.56839046098135,2.69369450762242,1.87388904945361
"t=276",2.47648735538043,2.57733857259516,1.88463243317086,1.95046591124777
"t=277",2.46705553068875,1.7907546985591,1.9064996263572,2.3309527570683
"t=278",1.92071589571257,1.92685610859116,2.17108263823839,1.75255206855298
"t=279",1.96220158001044,2.30413016015889,1.76172304710409,1.66705250130058
"t=280",2.21054882527863,1.78080045308956,1.69968149047801,1.47053419685969
"t=281",1.67990335643569,1.71193158087712,1.51189068766189,1.47106731763797
"t=282",1.65110482785512,1.54323947647155,1.45640778355021,1.46652294661448
"t=283",1.58106869556131,1.41205276736628,1.42776843963663,1.91191197884273
"t=284",1.45144611046589,1.40644757291021,1.91483680701323,2.12703486727064
"t=285",1.39831709929323,1.8823920903557,2.12976597638899,1.98197504877886
"t=286",1.83143718517315,2.07665862126925,1.96524974546112,1.59170137861276
"t=287",1.9423889336079,1.89072932895259,1.53908071451426,1.35461786580803
"t=288",1.75452705524423,1.49681486930077,1.4053768782885,1.35398425340274
"t=289",1.43114609500001,1.38759121846847,1.36335110723501,1.46186544209069
"t=290",1.36267869836054,1.37358592356685,1.45952865357813,1.64283706727164
"t=291",1.32258543946577,1.42040875030897,1.64336040981366,2.32411637577613
"t=292",1.3987704839325,1.65077490783835,2.34915048141137,1.84649997456563
"t=293",1.62242359515823,2.31289515320646,1.83807034447114,1.95749470043855
"t=294",2.2780146353762,1.8436532606805,1.93212322903054,2.45008874427918
"t=295",1.74598753568582,1.90879471283546,2.34094680128496,2.50244379539207
"t=296",1.89127613243795,2.27383895102683,2.50191313866616,2.13981608374164
"t=297",2.35182949150787,2.53492888546162,2.15680935103354,2.27371769065455
"t=298",2.47734216318749,2.09336064510538,2.24253885916829,3.39127656988516
"t=299",2.04271236117043,2.19157203227322,3.31769679268457,2.98435436696274
"t=300",2.18452238013779,3.30864562192511,2.98410621808286,3.2364108630865
"t=301",3.25577723916012,2.96085010657076,3.19738288560595,3.31507172836052
"t=302",2.84185489483907,3.0221927867515,3.09945351791542,3.81068649847338
"t=303",2.88337253736665,3.05157269237895,3.76516674582657,3.72668408017133
"t=304",2.9078862308953,3.66218611872678,3.63369479097101,3.72885987268761
"t=305",3.41435755616582,3.48404352427988,3.66721121703149,3.13670062111181
"t=306",3.18110601895273,3.48879459686306,3.12785277382336,3.31949769530535
"t=307",3.35743624701321,3.06204573249117,3.2335145724604,3.67728344015242
"t=308",3.00463436186591,3.19078175614231,3.6314416905378,3.07014488019274
"t=309",3.238819406307,3.73962050212818,3.05966718452978,3.24619250352854
"t=310",3.71722397071415,3.1029931575881,3.12316769302688,3.22277111595692
"t=311",3.12929555458875,2.98219341404339,3.21583170053754,3.38807023856969
"t=312",3.09022214547569,3.28010460640959,3.40121257129297,3.13909128598791
"t=313",3.27363631724333,3.3832799986779,3.22713439873685,3.11850190586389
"t=314",3.30153126325826,3.28243692367111,3.12612010259908,3.17906695421111
"t=315",3.31494976178608,3.07045261105979,3.24303158776213,3.0136434848514
"t=316",3.04629662464333,3.21381449993828,2.9458474197755,2.99197059796949
"t=317",3.20213723080931,2.85974010915136,2.97098267074252,3.14611295781646
"t=318",2.83914030453281,2.89940291897771,3.13113289749393,2.98193340223794
"t=319",2.86989142336316,3.18065684828813,2.9348948618932,3.1704895555458
"t=320",3.12278027910086,2.91030944798174,3.08409701779042,2.79975885779904
"t=321",2.93573240676108,3.11903480560994,2.73581303890187,3.42126525167118
"t=322",3.11276674458015,2.85750700999814,3.54317405337985,2.51198422049357
"t=323",2.82547963519189,3.47556918519861,2.4944317718381,2.62928212988297
"t=324",3.52036590999575,2.59058898286636,2.66719321137269,2.64954819386613
"t=325",2.74814198015618,2.72865015369928,2.7118722520067,2.58289010877397
"t=326",2.47507338533776,2.60038433959605,2.62689221444722,2.41439314914984
"t=327",2.54205968208324,2.76910948293664,2.51714142579336,2.04472010878629
"t=328",2.64503593465053,2.43817328701015,2.02084008485576,2.6210604291714
"t=329",2.16596508343876,2.08479371426037,2.53804524677274,1.83496838606526
"t=330",2.05177234094642,2.31233332086186,1.77940847958857,1.75502176406552
"t=331",2.33433624290079,1.72948662253732,1.8109752656662,2.03535304123862
"t=332",1.67006346620844,1.87813789614307,1.95965076456413,1.87790705876643
"t=333",1.91348146649819,2.01080629210716,1.87595039804779,1.80576701140038
"t=334",1.9466865365561,1.80823602002884,1.86636071997539,1.52530068738516
"t=335",1.78849276856758,1.82742135120341,1.54991941766381,1.79634492061767
"t=336",1.80348519333702,1.60837091832314,1.74275949010631,1.38802465365025
"t=337",1.69406956639647,1.71969236925207,1.39997587364365,2.37085309183465
"t=338",1.78351268633109,1.38003205330263,2.46827158383208,2.14597519536299
"t=339",1.36748863098793,2.33085919589738,2.1219261453982,1.62094370688627
"t=340",2.42107486368418,2.08157398074048,1.63503602216954,1.69369902060326
"t=341",1.9164791415157,1.62501807127838,1.77462877861224,1.49455490833767
"t=342",1.70457453931015,1.78514092253163,1.46316126742706,1.80043526981536
"t=343",1.7530025782704,1.4398084724378,1.7830233278613,1.77431030417759
"t=344",1.43053099678602,1.74380310525446,1.80676385659976,1.59149414126072
"t=345",1.77473240414444,1.8190774979236,1.58399251790426,1.89107503965949
"t=346",1.76954161794104,1.61534356983946,1.930666997738,1.85073769071192
"t=347",1.61906344620979,1.9574138290353,1.85293643254571,2.2059830504921
"t=348",1.8818282729732,1.83338440943436,2.23192975496601,2.09702743349271
"t=349",1.81989580995168,2.23050665421756,2.09034343608034,2.79060070775898
"t=350",2.184996129407,2.08858066428748,2.8072943602697,2.75890260272858
"t=351",2.05465587881679,2.7738236958316,2.68195256962074,2.50637650359541
"t=352",2.70667327011483,2.76313475026377,2.5053060684815,2.46222153850063
"t=353",2.73419413434828,2.43340675264935,2.48346778477374,2.65285639616497
"t=354",2.40747591991764,2.56576712976854,2.67072003711404,2.7067559105749
"t=355",2.55525367898464,2.65055592800499,2.66726486258354,3.14530367293953
"t=356",2.5796207747105,2.64876138915078,3.18421231501288,3.0964426984707
"t=357",2.66915518763826,3.16329548043364,3.08841161269781,2.90294390205412
"t=358",3.11002133821488,3.03069831608489,2.82487014876779,3.5003273258765
"t=359",2.89810606370207,2.79557007091446,3.42726718693789,3.73788857360193
"t=360",2.78221471661941,3.38255705151142,3.71346703128316,3.70805725510928
"t=361",3.43603469633171,3.79827032490378,3.87971178662854,NA
"t=362",3.61298308513513,3.88569651673535,NA,NA
"t=363",3.53012015018259,NA,NA,NA
