"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.67028033194545
"t=205",NA,NA,2.66561425985851,2.44558677552685
"t=206",NA,2.66847228331561,2.44956101722307,2.60609921522767
"t=207",2.58940579655773,2.4083285459382,2.59026871827577,3.01869728677473
"t=208",2.26931157337986,2.49634155962505,2.98521786892822,2.86454523470447
"t=209",2.50490218514901,2.9841271452084,2.84757755250044,2.99330486373937
"t=210",2.98965893238194,2.87578765146962,3.02023959014744,3.05413281450971
"t=211",2.90870832969565,2.9257948947233,3.08698026801457,3.02834430678928
"t=212",2.81174642187298,3.02783863377381,3.03019911152848,2.90483057785947
"t=213",3.05834705939441,3.00317022976003,2.87808742941042,2.72247121037946
"t=214",3.00105923545039,2.87875747657166,2.75561362073276,2.82108323950047
"t=215",2.73806030125875,2.79229290149873,2.804957232507,2.9905539451684
"t=216",2.81314731610351,2.75450874603431,2.99552144242,2.6036743730756
"t=217",2.66698757637289,2.94331647301374,2.59704083735522,2.56665375287095
"t=218",2.8330689075188,2.53964389457729,2.50841032343517,2.4823914927558
"t=219",2.48474922558337,2.38671916714164,2.45254121561176,2.69712177918782
"t=220",2.3764913129447,2.47868008028503,2.66712957057999,2.31646671434989
"t=221",2.42496340773757,2.62521268163551,2.29608598718183,2.43232123327919
"t=222",2.73166565353493,2.37391241221731,2.48038069322022,2.20344370888448
"t=223",2.16734017225006,2.29575779006921,2.06221999125773,2.23143135149375
"t=224",2.27961229365741,2.02842900465261,2.1971815898519,1.70010986215372
"t=225",1.9489258055927,2.18163872260274,1.76313941740376,1.69857691664701
"t=226",2.18079727151692,1.78949900542263,1.73451275460843,1.50821289046062
"t=227",1.78580998949833,1.78241615228677,1.56669599132327,1.57537108093372
"t=228",1.70209341339471,1.45537903092235,1.56467259114754,1.88857284462321
"t=229",1.32749006737655,1.52442196851495,1.87612500569347,1.73865827874607
"t=230",1.5053327410086,1.98052588735556,1.78557739614609,1.95538687499297
"t=231",2.04069045282892,1.86220009968164,1.93322658996528,1.33964459786528
"t=232",1.64546225139914,1.92958698684187,1.33472838321846,1.74304993637971
"t=233",2.0003712062701,1.32418067839448,1.7499106453071,1.74198928557468
"t=234",1.43790957531195,1.74760985497566,1.72747259433872,2.00308309576229
"t=235",1.77992971498651,1.82384614727286,2.08125772663264,1.70062983761046
"t=236",1.73360729821671,2.07691997847582,1.67382190216722,1.56870569196539
"t=237",2.12005413509161,1.70759678639676,1.59433353019466,1.37636785349888
"t=238",1.65936083069943,1.56655581333812,1.4009749381186,1.64834924845049
"t=239",1.57432981252081,1.41987105122854,1.63423441548591,1.72633494724469
"t=240",1.43292784473111,1.69811489834448,1.74442246784641,1.92485899165767
"t=241",1.71185999199179,1.78746864631318,1.96481994190424,2.03222013379913
"t=242",1.75169878335056,2.02068076532435,2.07208843882948,1.97075952416314
"t=243",1.98877678571472,2.04641827628852,1.96248994372074,2.16144837296101
"t=244",1.93196863190761,1.90070647267962,2.1174437547431,1.85417937955189
"t=245",1.84402368464045,2.10900998531553,1.8957874978459,2.01526985136469
"t=246",2.07852471056303,1.90205875983284,1.99732276822489,2.13725948125002
"t=247",1.95313155281769,1.99579153862892,2.12174720871553,2.31238708156591
"t=248",1.86482524482954,2.10979298834902,2.32386791426875,2.48898847043799
"t=249",2.08425529894717,2.29904852389892,2.48698349915921,2.46652331541247
"t=250",2.2757705082146,2.4186117969954,2.43014367528244,2.4501996900541
"t=251",2.41039490469225,2.42679193775246,2.51050732828717,2.63459492477058
"t=252",2.36834438879259,2.5084528000474,2.70303608041867,2.66261865047531
"t=253",2.55032626923112,2.70217165682657,2.67193742349314,2.932937770194
"t=254",2.77775874088119,2.60834836237746,2.91038529233041,2.94996939232226
"t=255",2.51301079233465,2.83790207914379,2.89508457893094,3.21286162820705
"t=256",2.7960384207084,2.81326264433686,3.13811901177635,2.58939589758956
"t=257",2.72573200444389,3.1232268632211,2.59812968884967,2.62719263062345
"t=258",2.8771479350377,2.43046773579031,2.59220623586282,2.88364670579231
"t=259",2.29268210334382,2.7159451732566,2.9132487997714,2.59234289941572
"t=260",2.89809180064936,2.97033192514991,2.54298564285404,2.92365767001193
"t=261",2.71859252124266,2.58769624779205,2.88694321618267,2.66380259955319
"t=262",2.65197158466273,2.85984906420112,2.71763938191643,2.79352498099513
"t=263",2.83878223453221,2.51182919136377,2.68841262236007,2.66392897137628
"t=264",2.6399274201529,2.74458501746426,2.7295098872633,2.62424693513287
"t=265",2.64811929724475,2.61157714140673,2.53950809459447,2.70068269038605
"t=266",2.57788977027117,2.48371793108006,2.67697378136588,3.45699580693797
"t=267",2.43270699327584,2.71816687847619,3.47605906700514,3.1346486750559
"t=268",2.69346097540674,3.5014183733929,3.19016379183623,2.86686499056802
"t=269",3.48379524815817,3.14400902036916,2.82652581263043,2.6471711730029
"t=270",3.24386549852487,2.9384706004988,2.81804780346924,2.71646083284272
"t=271",2.75688257646953,2.68415778139568,2.69287952802832,2.40780808844767
"t=272",2.67217606978765,2.67039713526383,2.38618689640739,2.2543964362098
"t=273",2.61360406105943,2.35174248896414,2.24602997840022,2.47193921807105
"t=274",2.37075478477112,2.18696604146495,2.60253920697639,2.53654591102298
